Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,PAT Made,PAT Miss,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,FG Miss 20-29,FG Miss 30-39,FG Miss 40-49,FG Miss 50+,Tack,Ast,Frc Fum,POS
Roberto Aguayo,,16.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,5.0,13.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,K
Dan Bailey,MIN,16.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,9.0,8.0,7.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,K
Chris Boswell,PIT,15.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,8.0,11.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,K
Matt Bryant,ATL,16.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,12.0,7.0,9.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,K
Randy Bullock,CIN,5.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,K
Chandler Catanzaro,CAR,16.0,0.0,0.0,0.0,0.0,43.0,4.0,1.0,5.0,6.0,6.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,K
Mason Crosby,GB,16.0,0.0,0.0,0.0,0.0,44.0,3.0,1.0,6.0,13.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,K
Phil Dawson,ARI,16.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,4.0,6.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,K
Kai Forbath,JAX,7.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,K
Graham Gano,CAR,16.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,4.0,9.0,14.0,3.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,K
Stephen Gostkowski,NE,16.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0,9.0,7.0,9.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,K
Robbie Gould,SF,10.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,K
Stephen Hauschka,BUF,16.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,11.0,13.0,8.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,K
Dustin Hopkins,WAS,16.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,12.0,12.0,7.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,K
Sebastian Janikowski,SEA,15.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,9.0,6.0,10.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,K
Josh Lambo,JAX,16.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,7.0,13.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,K
Wil Lutz,NO,16.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,7.0,9.0,8.0,3.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,K
Brandon McManus,DEN,16.0,0.0,0.0,1.0,6.0,32.0,1.0,0.0,9.0,10.0,7.0,3.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,K
Jason Myers,NYJ,16.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,7.0,3.0,10.0,7.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,K
Cody Parkey,CHI,14.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,6.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,K
Matt Prater,DET,16.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,10.0,4.0,10.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,K
Cairo Santos,TB,16.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,8.0,15.0,6.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,K
Caleb Sturgis,,16.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,12.0,12.0,7.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,K
Ryan Succop,TEN,16.0,0.0,0.0,0.0,0.0,39.0,2.0,1.0,4.0,6.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,K
Justin Tucker,BAL,16.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,4.0,10.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K
Adam Vinatieri,IND,16.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,3.0,7.0,10.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,K
Greg Zuerlein,LA,15.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,9.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,K
