Player,Team,Bye,Rec,Yard,TD,Att,Yard,TD,FPts
Antonio Brown,PIT,8,118,1626,12,5,28,0,237.4
Julio Jones,ATL,11,116,1629,10,0,0,0,222.9
Odell Beckham Jr.,NYG,8,94,1380,12,0,0,0,210.0
DeAndre Hopkins,HOU,9,105,1456,10,0,0,0,205.6
Allen Robinson,JAC,5,92,1248,11,0,0,0,190.8
A.J. Green,CIN,9,89,1286,10,0,0,0,188.6
Keenan Allen,SD,11,115,1380,8,0,0,0,186.0
Dez Bryant,DAL,7,82,1157,11,0,0,0,181.7
Brandon Marshall,NYJ,11,83,1177,9,0,0,0,171.7
Mike Evans,TB,6,84,1267,7,0,0,0,168.7
Jordy Nelson,GB,4,78,1145,9,0,0,0,168.5
Alshon Jeffery,CHI,9,81,1185,8,1,11,0,167.6
T.Y. Hilton,IND,10,75,1188,8,0,0,0,166.8
Amari Cooper,OAK,10,86,1165,8,0,0,0,164.5
Brandin Cooks,NO,5,82,1104,8,6,37,0,162.1
Sammy Watkins,BUF,10,80,1201,7,0,0,0,162.1
Jarvis Landry,MIA,8,93,1088,6,14,86,0,153.4
Michael Floyd,ARI,9,71,1007,8,0,0,0,148.7
Demaryius Thomas,DEN,11,80,1055,7,0,0,0,147.5
DeSean Jackson,WAS,9,69,1088,6,4,19,0,146.7
Jeremy Maclin,KC,5,83,1045,7,0,0,0,146.5
Golden Tate,DET,10,86,1067,6,5,35,0,146.2
Larry Fitzgerald,ARI,9,80,950,8,0,0,0,143.0
Donte Moncrief,IND,10,75,1010,7,0,0,0,143.0
Randall Cobb,GB,4,74,946,7,11,45,0,141.1
Eric Decker,NYJ,11,72,945,7,0,0,0,136.5
Doug Baldwin,SEA,5,69,915,7,0,0,0,133.5
Tavon Austin,LAR,8,51,511,4,53,396,3,132.7
Tyler Lockett,SEA,5,82,846,7,5,35,0,130.1
Allen Hurns,JAC,5,58,875,7,0,0,0,129.5
Michael Crabtree,OAK,10,72,855,7,0,0,0,127.5
Julian Edelman,NE,9,73,866,5,5,37,0,120.3
Torrey Smith,SF,8,66,889,5,0,0,0,118.9
Willie Snead,NO,5,64,887,5,0,0,0,118.7
John Brown,ARI,9,53,789,6,2,17,0,116.6
Kelvin Benjamin,CAR,7,60,792,6,0,0,0,115.2
Kevin White,CHI,9,49,768,6,0,0,0,112.8
Jordan Matthews,PHI,4,65,817,5,0,0,0,111.7
Stefon Diggs,MIN,6,60,816,5,0,0,0,111.6
Emmanuel Sanders,DEN,11,54,765,5,4,31,0,109.6
Marvin Jones,DET,10,57,777,5,0,0,0,107.7
Corey Coleman,CLE,13,55,745,5,0,0,0,104.5
Rishard Matthews,TEN,13,58,778,4,0,0,0,101.8
DeVante Parker,MIA,8,49,716,5,0,0,0,101.6
Markus Wheaton,PIT,8,51,745,4,5,24,0,100.9
Sterling Shepard,NYG,8,51,701,5,0,0,0,100.1
Vincent Jackson,TB,6,53,715,4,0,0,0,95.5
Steve Smith,BAL,8,49,639,5,0,0,0,93.9
Mike Wallace,BAL,8,43,675,4,0,0,0,91.5
Mohamed Sanu,ATL,11,48,613,5,0,0,0,91.3
Phillip Dorsett,IND,10,49,625,4,2,10,0,87.5
Terrance Williams,DAL,7,39,613,4,0,0,0,85.3
Ted Ginn Jr.,CAR,7,36,535,5,0,0,0,83.5
Travis Benjamin,SD,11,41,575,4,0,0,0,81.5
Chris Hogan,NE,9,47,566,4,0,0,0,80.6
Josh Gordon,CLE,13,42,596,3,0,0,0,77.6
Nelson Agholor,PHI,4,39,525,4,0,0,0,76.5
Will Fuller,HOU,9,37,525,4,0,0,0,76.5
Kamar Aiken,BAL,8,51,576,3,0,0,0,75.6
Robert Woods,BUF,10,43,575,3,0,0,0,75.5
Kenny Britt,LAR,8,36,567,3,0,0,0,74.7
Pierre Garcon,WAS,9,46,566,3,0,0,0,74.6
Tajae Sharpe,TEN,13,42,566,3,0,0,0,74.6
Anquan Boldin,DET,10,36,467,4,0,0,0,70.7
Danny Amendola,NE,9,44,497,3,0,0,0,67.7
Jaelen Strong,HOU,9,36,495,3,0,0,0,67.5
Kenny Stills,MIA,8,36,485,3,0,0,0,66.5
Laquon Treadwell,MIN,6,33,478,3,0,0,0,65.8
Seth Roberts,OAK,10,33,472,3,0,0,0,65.2
Tyler Boyd,CIN,9,35,465,3,0,0,0,64.5
Michael Thomas,NO,5,30,457,3,0,0,0,63.7
Eli Rogers,PIT,8,35,448,3,0,0,0,62.8
Jermaine Kearse,SEA,5,34,435,3,0,0,0,61.5
Cole Beasley,DAL,7,38,426,3,0,0,0,60.6
Devin Funchess,CAR,7,33,422,3,0,0,0,60.2
Quinton Patton,SF,8,36,456,2,0,0,0,57.6
Sammie Coates,PIT,8,30,381,3,0,0,0,56.1
Kendall Wright,TEN,13,36,436,2,0,0,0,55.6
Brandon LaFell,CIN,9,31,422,2,0,0,0,54.2
Chris Conley,KC,5,33,412,2,0,0,0,53.2
Josh Doctson,WAS,9,26,346,3,0,0,0,52.6
Dorial Green-Beckham,PHI,4,25,389,2,0,0,0,50.9
