Player,Team,GP,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Jay Ajayi,PHI,1.0,19.0,79.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,1.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Le'Veon Bell,PIT,1.0,17.0,57.0,1.0,0.0,9.0,77.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,1.0,7.0,17.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,1.0,21.0,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,24.0,76.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rex Burkhead,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,RB
Travaris Cadet,CAR,1.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,RB
Isaiah Crowell,NYJ,1.0,9.0,23.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Benny Cunningham,CHI,1.0,6.0,40.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,RB
James Develin,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenneth Dixon,BAL,1.0,6.0,38.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenyan Drake,MIA,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,1.0,21.0,114.0,2.0,1.0,2.0,95.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tyler Ervin,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Devonta Freeman,ATL,1.0,12.0,49.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Melvin Gordon,LAC,1.0,24.0,70.0,0.0,0.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Todd Gurley,LA,1.0,21.0,64.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeremy Hill,NE,1.0,15.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,1.0,15.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Akeem Hunt,,1.0,8.0,52.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
