Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Rob Gronkowski, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.1,5.3,68.7,12.96,0.6,0.0,9,TE
"Greg Olsen, CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8,5.0,70.3,14.06,0.4,0.0,9,TE
"Antonio Gates, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,5.0,52.4,10.48,0.6,0.1,8,TE
"Jimmy Graham, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.5,5.0,62.8,12.56,0.4,0.1,8,TE
"Cameron Brate, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.6,4.6,52.5,11.41,0.5,0.0,8,TE
"Zach Miller, CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.2,4.8,45.8,9.54,0.6,0.0,7,TE
"Delanie Walker, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,6.7,4.2,58.3,13.88,0.4,0.0,7,TE
"Jordan Reed, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.6,6.0,55.2,9.20,0.4,0.1,7,TE
"Tyler Eifert, CIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.4,4.6,43.3,9.41,0.5,0.0,7,TE
"Hunter Henry, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.9,3.4,47.4,13.94,0.5,0.1,6,TE
"Travis Kelce, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.7,4.9,52.9,10.80,0.3,0.1,6,TE
"Kyle Rudolph, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.7,3.5,34.0,9.71,0.4,0.0,5,TE
"Jason Witten, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.3,4.0,41.8,10.45,0.2,0.0,5,TE
"Martellus Bennett, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.00,0.0,5.4,3.9,30.0,7.69,0.3,0.0,4,TE
"Virgil Green, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,3.3,2.6,31.0,11.92,0.2,0.0,4,TE
"Zach Ertz, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.8,3.7,37.6,10.16,0.2,0.0,4,TE
