Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum,2PT,Tack,Ast,POS
Jerell Adams,HOU,1.0,3.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,TE
Cameron Brate,TB,1.0,7.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Vernon Davis,WAS,1.0,3.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,1.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,4.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ryan Griffin,HOU,1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Hewitt,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Josh Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,3.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Koyack,JAX,1.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,TE
Vance McDonald,PIT,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Sean McGrath,,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Greg Olsen,CAR,1.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,4.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Phillip Supernaw,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Randall Telfer,,1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hakeem Valles,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,9.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
