Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,82.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,359.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,399.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,40.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,129.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,418.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,62.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,318.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,496.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,116.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,412.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,79.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,206.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,120.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,421.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,89.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,534.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
New England Patriots,NE,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,39.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,382.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,369.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,422.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,58.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,271.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,47.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,82.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,309.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,86.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,264.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
