Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Vikings, MIN",1.4,0.0,2.9,38.7,1.0,1.4,0.2,17.3,189.0,104.0,293,14,DST
"Broncos, DEN",1.1,0.0,2.5,39.1,1.0,1.4,0.04,19.2,179.0,114.0,293,12,DST
"Cardinals, ARI",0.9,0.0,2.7,36.5,0.7,1.0,0.11,18.8,186.0,96.0,282,12,DST
"Panthers, CAR",1.2,0.0,2.7,43.0,1.1,1.6,0.16,19.9,244.0,85.0,329,12,DST
"Jets, NYJ",0.8,0.0,2.8,39.2,0.8,1.1,0.03,20.2,183.0,105.0,288,12,DST
"Falcons, ATL",1.0,0.0,1.7,39.2,0.6,0.9,0.16,18.2,194.0,96.0,290,11,DST
"Seahawks, SEA",0.6,0.0,2.3,40.1,0.8,1.1,0.05,19.4,203.0,92.0,295,11,DST
"Jaguars, JAC",0.6,0.1,2.7,42.1,0.6,0.9,0.21,22.7,175.0,89.0,264,10,DST
"Lions, DET",0.8,0.1,2.2,42.2,0.8,1.1,0.13,16.9,226.0,106.0,332,10,DST
"Bengals, CIN",0.6,0.0,3.1,39.4,0.8,1.1,0.07,15.2,232.0,95.0,327,10,DST
"Colts, IND",1.0,0.0,1.8,45.1,0.8,1.1,0.14,20.3,211.0,133.0,344,10,DST
"49ers, SF",1.3,0.0,1.8,40.3,0.7,0.9,0.04,18.0,222.0,116.0,338,10,DST
"Patriots, NE",1.0,0.0,1.9,44.5,0.7,0.9,0.08,18.4,247.0,94.0,341,9,DST
"Titans, TEN",1.1,0.0,2.8,41.1,0.5,0.8,0.26,21.1,215.0,97.0,312,9,DST
"Texans, HOU",1.2,0.0,2.6,40.4,0.7,0.9,0.17,24.0,239.0,93.0,332,9,DST
"Cowboys, DAL",0.7,0.0,1.4,42.5,0.8,1.1,0.16,19.2,239.0,87.0,326,9,DST
"Dolphins, MIA",1.0,0.2,2.3,44.4,0.7,0.9,0.2,22.9,268.0,120.0,388,9,DST
"Redskins, WAS",0.9,0.0,2.5,44.9,1.0,1.3,0.16,23.4,221.0,122.0,343,9,DST
"Eagles, PHI",1.0,0.0,2.1,43.7,1.1,1.5,0.14,21.9,284.0,103.0,387,9,DST
"Saints, NO",0.9,0.0,1.8,44.4,1.1,1.5,0.22,26.7,276.0,119.0,395,9,DST
"Raiders, OAK",0.6,0.0,2.0,41.4,0.9,1.3,0.32,26.7,227.0,123.0,350,8,DST
"Buccaneers, TB",1.1,0.0,2.1,47.1,1.1,1.6,0.06,23.9,300.0,103.0,403,8,DST
"Steelers, PIT",0.6,0.0,2.8,41.9,0.7,0.9,0.18,21.2,182.0,146.0,328,8,DST
"Packers, GB",1.0,0.0,3.1,43.4,0.4,0.6,0.09,23.7,273.0,134.0,407,8,DST
"Rams, LAR",0.7,0.0,2.1,43.2,0.7,1.0,0.18,23.3,261.0,102.0,363,7,DST
"Bears, CHI",0.6,0.1,2.9,40.6,0.5,0.7,0.11,25.2,238.0,85.0,323,7,DST
"Bills, BUF",1.0,0.0,2.1,41.5,0.5,0.7,0.09,22.1,263.0,109.0,372,7,DST
"Chargers, LAC",1.2,0.0,1.8,42.5,1.0,1.4,0.24,29.2,232.0,130.0,362,7,DST
"Chiefs, KC",0.8,0.0,1.5,42.2,0.8,1.1,0.13,21.0,240.0,113.0,353,7,DST
"Ravens, BAL",0.4,0.1,2.3,45.3,0.7,1.0,0.07,25.3,240.0,92.0,332,7,DST
"Browns, CLE",0.6,0.0,1.9,42.0,0.7,1.0,0.05,23.2,254.0,114.0,368,6,DST
