Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Matt Barkley,BUF,1.0,40.0,24.0,16.0,323.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,38.0,26.0,12.0,325.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,7.0,0.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Sam Bradford,,1.0,50.0,34.0,16.0,382.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,27.0,17.0,10.0,214.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Drew Brees,NO,1.0,34.0,23.0,11.0,299.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,31.0,21.0,10.0,232.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Cassel,DET,1.0,24.0,13.0,11.0,124.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Kirk Cousins,MIN,1.0,29.0,18.0,11.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,41.0,28.0,13.0,268.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Chase Daniel,CHI,1.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,21.0,8.0,13.0,136.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
