Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,376.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,374.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,329.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,74.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,7.0,2.0,1.0,4.0,0.0,1.0,0.0,26.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,123.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,87.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,365.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,156.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,398.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0,DST
Dallas Cowboys,DAL,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,346.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,396.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,36.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,195.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,473.0,0.0,0.0,0.0,0.0,1.0,DST
New York Giants,NYG,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,46.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,384.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,56.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,230.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,448.0,0.0,0.0,0.0,1.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,66.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,27.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,280.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,91.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,344.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,465.0,0.0,0.0,0.0,0.0,1.0,DST
Seattle Seahawks,SEA,1.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,38.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,253.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,59.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,437.0,0.0,0.0,0.0,1.0,0.0,DST
Houston Texans,HOU,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,236.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,65.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,80.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,DST
