Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,46.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,418.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,447.0,0.0,0.0,1.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,44.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,355.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,77.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,348.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,94.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,332.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,51.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,26.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,320.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,98.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,297.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,59.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,410.0,0.0,0.0,1.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,6.0,2.0,3.0,0.0,2.0,0.0,50.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,33.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,352.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,28.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,390.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,40.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,430.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,39.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,251.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,54.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,474.0,0.0,0.0,0.0,1.0,DST
New York Giants,NYG,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,403.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,109.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,283.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,148.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,324.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,418.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,211.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,54.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,393.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,61.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,472.0,0.0,0.0,0.0,1.0,DST
Baltimore Ravens,BAL,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,216.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,83.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,457.0,0.0,0.0,0.0,1.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,442.0,0.0,0.0,1.0,0.0,DST
