Player,Team,GP,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,Tack,POS
Jay Ajayi,PHI,1.0,6.0,33.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,3.0,13.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,RB
Cameron Artis-Payne,CAR,1.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Le'Veon Bell,PIT,1.0,18.0,144.0,0.0,1.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,1.0,10.0,18.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,1.0,13.0,54.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,3.0,19.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,RB
Brandon Bolden,MIA,1.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Malcolm Brown,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB
Travaris Cadet,CAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,RB
Tevin Coleman,ATL,1.0,8.0,19.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Isaiah Crowell,NYJ,1.0,16.0,120.0,1.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,RB
Benny Cunningham,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,RB
Mike Davis,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,RB
Kenyan Drake,MIA,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,RB
Ezekiel Elliott,DAL,1.0,23.0,138.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,RB
Tyler Ervin,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,RB
Josh Ferguson,HOU,1.0,3.0,-2.0,0.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,1.0,RB
Devonta Freeman,ATL,1.0,13.0,57.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Gillislee,,1.0,6.0,30.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,RB
Melvin Gordon,LAC,1.0,19.0,36.0,2.0,0.0,6.0,43.0,0.0,0.0,1.0,1.0,0.0,RB
Frank Gore,MIA,1.0,16.0,68.0,1.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,RB
Corey Grant,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,RB
Todd Gurley,LA,1.0,19.0,33.0,0.0,0.0,5.0,49.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeremy Hill,NE,1.0,21.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,1.0,23.0,111.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,RB
Carlos Hyde,JAX,1.0,15.0,74.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Ingram,NO,1.0,18.0,56.0,1.0,0.0,6.0,49.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Ivory,BUF,1.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Andy Janovich,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB
David Johnson,ARI,1.0,17.0,83.0,0.0,0.0,4.0,41.0,0.0,0.0,1.0,1.0,2.0,RB
Duke Johnson,CLE,1.0,8.0,45.0,0.0,0.0,6.0,31.0,0.0,18.0,1.0,1.0,0.0,RB
Malcolm Johnson,GB,1.0,1.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,0.0,RB
Kyle Juszczyk,SF,1.0,0.0,0.0,0.0,0.0,6.0,56.0,0.0,0.0,0.0,0.0,1.0,RB
Rob Kelley,WAS,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Daniel Lasco,NO,1.0,4.0,12.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Line,NO,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,1.0,19.0,70.0,0.0,0.0,6.0,38.0,1.0,0.0,0.0,0.0,0.0,RB
Jerick McKinnon,SF,1.0,18.0,85.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,RB
Christine Michael,,1.0,18.0,58.0,0.0,0.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,1.0,19.0,82.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,1.0,8.0,19.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Paul Perkins,NYG,1.0,2.0,8.0,0.0,0.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,RB
Bilal Powell,NYJ,1.0,4.0,26.0,0.0,0.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,RB
Jay Prosch,,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,RB
Jalen Richard,OAK,1.0,2.0,15.0,0.0,0.0,1.0,5.0,0.0,138.0,0.0,0.0,0.0,RB
Theo Riddick,DET,1.0,11.0,31.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,RB
Jacquizz Rodgers,TB,1.0,6.0,25.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,RB
Charles Sims,,1.0,15.0,28.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,1.0,RB
Keith Smith,OAK,1.0,1.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Thompson,WAS,1.0,3.0,24.0,0.0,0.0,2.0,16.0,1.0,26.0,0.0,0.0,0.0,RB
Robert Turbin,,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,RB
Spencer Ware,KC,1.0,13.0,82.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,0.0,RB
DeAndre Washington,OAK,1.0,5.0,30.0,0.0,0.0,3.0,16.0,0.0,0.0,1.0,1.0,0.0,RB
Dwayne Washington,NO,1.0,2.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,1.0,4.0,12.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,RB
Fozzy Whittaker,CAR,1.0,3.0,6.0,0.0,0.0,9.0,86.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,1.0,2.0,9.0,0.0,0.0,1.0,6.0,0.0,15.0,0.0,0.0,0.0,RB
T.J. Yeldon,JAX,1.0,14.0,71.0,0.0,0.0,4.0,46.0,0.0,0.0,0.0,1.0,0.0,RB
Zach Zenner,DET,1.0,3.0,12.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,RB
