Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,100-199 Rec Yds,2PT,Tack,Ast,POS
Dwayne Allen,NE,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Braedon Bowman,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Cameron Brate,TB,1.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Braunecker,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Garrett Celek,SF,1.0,5.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,6.0,113.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,3.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Demetrius Harris,KC,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,4.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Khari Lee,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,6.0,76.0,1.0,0.0,0.0,1.0,0.0,0.0,TE
Niles Paul,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Logan Paulsen,ATL,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MyCole Pruitt,TEN,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,9.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Randall Telfer,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,2.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Cole Wick,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
