Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Fum Rec,Fum Yds,POS
Sam Bradford,,1.0,30.0,22.0,8.0,271.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,40.0,28.0,12.0,406.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,40.0,25.0,15.0,317.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,41.0,29.0,12.0,260.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,QB
Andy Dalton,CIN,1.0,41.0,29.0,12.0,269.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,38.0,25.0,13.0,255.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,QB
Joe Flacco,BAL,1.0,46.0,30.0,16.0,210.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,31.0,18.0,13.0,162.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Jimmy Garoppolo,SF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,43.0,33.0,10.0,397.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Landry Jones,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,31.0,21.0,10.0,271.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,8.0,5.0,3.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,QB
Andrew Luck,IND,1.0,39.0,28.0,11.0,322.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,1.0,0.0,1.0,-4.0,QB
Paxton Lynch,,1.0,35.0,23.0,12.0,223.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,2.0,0.0,1.0,0.0,QB
Eli Manning,NYG,1.0,35.0,18.0,17.0,199.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,29.0,20.0,9.0,163.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,42.0,19.0,23.0,184.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,24.0,18.0,6.0,227.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,QB
Philip Rivers,LAC,1.0,30.0,21.0,9.0,359.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,45.0,23.0,22.0,259.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,47.0,34.0,13.0,380.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,28.0,15.0,13.0,267.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,25.0,19.0,6.0,180.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Drew Stanton,CLE,1.0,28.0,11.0,17.0,124.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,18.0,12.0,6.0,191.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,23.0,12.0,11.0,124.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,1.0,-3.0,QB
Carson Wentz,PHI,1.0,33.0,25.0,8.0,238.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,30.0,18.0,12.0,219.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,QB
