Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"David Johnson, ARI",0.0,0.0,0.0,0.0,0.0,0.0,18.8,74.6,3.97,0.6,4.2,2.9,33.7,11.62,0.1,0.1,14,RB
"Le'Veon Bell, PIT",0.0,0.0,0.0,0.0,0.0,0.0,16.0,63.2,3.95,0.5,5.9,4.8,42.1,8.77,0.1,0.1,13,RB
"Melvin Gordon, LAC",0.0,0.0,0.0,0.0,0.0,0.0,18.8,71.7,3.81,0.6,3.6,3.0,20.1,6.70,0.1,0.3,12,RB
"LeGarrette Blount, DET",0.0,0.0,0.0,0.0,0.0,0.0,19.3,85.0,4.40,0.7,1.4,1.3,8.9,6.85,0.1,0.1,12,RB
"C.J. Anderson, LAR",0.0,0.0,0.0,0.0,0.0,0.0,17.7,72.0,4.07,0.6,3.2,2.4,16.5,6.88,0.1,0.1,12,RB
"Ezekiel Elliott, DAL",0.0,0.0,0.0,0.0,0.0,0.0,18.6,85.5,4.60,0.4,2.4,2.0,15.0,7.50,0.1,0.2,11,RB
"DeMarco Murray, TEN",0.0,0.0,0.0,0.0,0.0,0.0,14.8,66.9,4.52,0.4,3.9,3.3,27.4,8.30,0.2,0.2,11,RB
"Jordan Howard, CHI",0.0,0.0,0.0,0.0,0.0,0.0,16.1,68.5,4.25,0.4,4.1,2.7,21.6,8.00,0.1,0.1,10,RB
"Matt Forte, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,16.8,66.8,3.98,0.4,4.2,3.0,24.7,8.23,0.1,0.1,10,RB
"Todd Gurley, LAR",0.0,0.0,0.0,0.0,0.0,0.0,20.2,75.6,3.74,0.5,2.7,2.0,17.3,8.65,0.0,0.1,10,RB
"LeSean McCoy, BUF",0.0,0.0,0.0,0.0,0.0,0.0,17.9,74.2,4.15,0.4,3.9,3.2,17.6,5.50,0.1,0.2,10,RB
"Eddie Lacy, SEA",0.0,0.0,0.0,0.0,0.0,0.0,15.6,71.0,4.55,0.4,2.2,1.5,13.9,9.27,0.1,0.2,10,RB
"Jerick McKinnon, SF",0.0,0.0,0.0,0.0,0.0,0.0,13.9,60.4,4.35,0.5,2.9,1.9,11.0,5.79,0.1,0.1,10,RB
"Lamar Miller, HOU",0.0,0.0,0.0,0.0,0.0,0.0,18.1,71.6,3.96,0.3,3.6,2.9,19.5,6.72,0.1,0.1,10,RB
"Frank Gore, MIA",0.0,0.0,0.0,0.0,0.0,0.0,14.3,57.1,3.99,0.5,4.1,2.7,18.0,6.67,0.2,0.1,10,RB
"Terrance West, NO",0.0,0.0,0.0,0.0,0.0,0.0,14.3,64.4,4.50,0.3,2,1.6,10.2,6.37,0.1,0.1,9,RB
"Devonta Freeman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,14.0,55.2,3.94,0.3,4.6,3.4,21.2,6.24,0.1,0.1,9,RB
"Theo Riddick, DET",0.0,0.0,0.0,0.0,0.0,0.0,12.5,45.5,3.64,0.2,5.5,4.1,34.6,8.44,0.2,0.1,9,RB
"Carlos Hyde, JAC",0.0,0.0,0.0,0.0,0.0,0.0,17.6,68.7,3.90,0.6,2.2,1.6,6.8,4.25,0.0,0.3,9,RB
"Isaiah Crowell, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,14.6,70.1,4.80,0.3,1.5,1.1,9.5,8.64,0.0,0.1,8,RB
"DeAndre Washington, OAK",0.0,0.0,0.0,0.0,0.0,0.0,10.8,53.3,4.94,0.4,2.6,2.5,17.2,6.88,0.1,0.2,8,RB
"Jeremy Hill, NE",0.0,0.0,0.0,0.0,0.0,0.0,13.8,56.9,4.12,0.6,1.5,1.1,8.8,8.00,0.0,0.1,8,RB
"Cameron Artis-Payne, CAR",0.0,0.0,0.0,0.0,0.0,0.0,14.6,50.1,3.43,0.5,1.1,1.0,7.1,7.10,0.1,0.1,8,RB
"Fozzy Whittaker, CAR",0.0,0.0,0.0,0.0,0.0,0.0,9.3,30.3,3.26,0.4,2.8,2.4,20.3,8.46,0.1,0.1,7,RB
"Giovani Bernard, CIN",0.0,0.0,0.0,0.0,0.0,0.0,8.3,35.4,4.27,0.2,4.7,3.6,32.2,8.94,0.1,0.1,7,RB
"Matt Jones, PHI",0.0,0.0,0.0,0.0,0.0,0.0,15.6,58.3,3.74,0.3,1.7,1.4,15.4,11.00,0.0,0.2,7,RB
"Orleans Darkwa, NYG",0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.8,4.08,0.3,3.1,1.7,12.3,7.24,0.1,0.1,7,RB
"Jalen Richard, OAK",0.0,0.0,0.0,0.0,0.0,0.0,8.4,45.2,5.38,0.3,3,2.1,15.1,7.19,0.1,0.1,7,RB
"Jacquizz Rodgers, TB",0.0,0.0,0.0,0.0,0.0,0.0,13.8,49.9,3.62,0.2,3.3,2.0,14.3,7.15,0.1,0.1,6,RB
"Matt Asiata, DET",0.0,0.0,0.0,0.0,0.0,0.0,6.3,23.1,3.67,0.5,2.1,1.6,11.3,7.06,0.1,0.1,6,RB
"James White, NE",0.0,0.0,0.0,0.0,0.0,0.0,5.1,19.9,3.90,0.2,4.8,3.3,31.1,9.42,0.2,0.1,6,RB
"Kenneth Dixon, BAL",0.0,0.0,0.0,0.0,0.0,0.0,8.6,37.7,4.38,0.3,2.6,1.7,12.7,7.47,0.1,0.1,6,RB
"Ryan Mathews, PHI",0.0,0.0,0.0,0.0,0.0,0.0,9.5,39.8,4.19,0.4,1.7,1.3,8.4,6.46,0.1,0.1,5,RB
"Jay Ajayi, PHI",0.0,0.0,0.0,0.0,0.0,0.0,7.8,33.7,4.32,0.2,1.9,1.5,13.7,9.13,0.1,0.1,5,RB
"Chris Thompson, WAS",0.0,0.0,0.0,0.0,0.0,0.0,7.2,24.4,3.39,0.1,3.9,3.0,20.9,6.97,0.2,0.1,5,RB
