Player,Team,GP,Receptions,Rec Yds,Rec TD,Return Yds,Fum,Tack,Ast,Fum Rec,POS
Jerell Adams,HOU,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Cameron Brate,TB,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,TE
Garrett Celek,SF,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,6.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,9.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,4.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,1.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jesse James,PIT,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,7.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Erik Swoope,IND,1.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,7.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
