Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Chicago Bears,CHI,1.0,5.0,0.0,0.0,2.0,0.0,0.0,33.0,10.0,1.0,0.0,0.0,0.0,0.0,258.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,27.0,0.0,0.0,1.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0,1.0,DST
Buffalo Bills,BUF,1.0,5.0,0.0,0.0,1.0,0.0,0.0,70.0,41.0,0.0,0.0,0.0,0.0,1.0,357.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,3.0,0.0,0.0,1.0,1.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,369.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,31.0,0.0,0.0,0.0,1.0,0.0,393.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,1.0,1.0,0.0,0.0,36.0,30.0,0.0,0.0,0.0,1.0,0.0,626.0,0.0,0.0,0.0,0.0,1.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,1.0,1.0,0.0,0.0,22.0,24.0,0.0,0.0,1.0,0.0,0.0,349.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,2.0,3.0,1.0,0.0,56.0,21.0,0.0,0.0,1.0,0.0,0.0,324.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,6.0,1.0,1.0,1.0,0.0,0.0,78.0,14.0,0.0,1.0,0.0,0.0,0.0,277.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,1.0,0.0,422.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,1.0,1.0,0.0,0.0,32.0,23.0,0.0,0.0,1.0,0.0,0.0,291.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,0.0,1.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,1.0,0.0,460.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,0.0,0.0,1.0,0.0,0.0,49.0,32.0,0.0,0.0,0.0,1.0,0.0,331.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,0.0,0.0,0.0,0.0,1.0,494.0,0.0,0.0,0.0,1.0,0.0,DST
New York Jets,NYJ,1.0,1.0,2.0,0.0,0.0,0.0,0.0,57.0,28.0,0.0,0.0,0.0,1.0,0.0,407.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,0.0,0.0,0.0,139.0,20.0,0.0,1.0,0.0,0.0,0.0,269.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,33.0,0.0,0.0,0.0,1.0,0.0,367.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,8.0,1.0,1.0,2.0,1.0,0.0,37.0,20.0,0.0,1.0,0.0,0.0,0.0,340.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,131.0,25.0,0.0,0.0,1.0,0.0,0.0,376.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,0.0,0.0,2.0,0.0,0.0,58.0,24.0,0.0,0.0,1.0,0.0,0.0,270.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,1.0,1.0,2.0,0.0,0.0,93.0,27.0,0.0,0.0,1.0,0.0,0.0,415.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,14.0,0.0,1.0,0.0,0.0,0.0,359.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,0.0,1.0,1.0,1.0,0.0,129.0,25.0,0.0,0.0,1.0,0.0,0.0,375.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,13.0,1.0,0.0,0.0,0.0,0.0,289.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,1.0,0.0,0.0,370.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,20.0,0.0,1.0,0.0,0.0,0.0,403.0,0.0,0.0,1.0,0.0,0.0,DST
