Player,Team,GP,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Tack,Ast,Fum Rec,POS
Jerell Adams,HOU,1.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,1.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.0,0.0,5.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,0.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,0.0,0.0,0.0,5.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,0.0,0.0,7.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,0.0,0.0,0.0,8.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gavin Escobar,,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,0.0,0.0,0.0,8.0,103.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Josh Hill,NO,1.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,0.0,3.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,0.0,0.0,0.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,0.0,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.0,0.0,3.0,84.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Greg Olsen,CAR,1.0,0.0,0.0,0.0,5.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,0.0,5.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
