Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum,Tack,Ast,Fum Rec,Blk TD,POS
Davante Adams,GB,1.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nelson Agholor,PHI,1.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,WR
Geronimo Allison,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robby Anderson,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tavon Austin,DAL,1.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,WR
Doug Baldwin,SEA,1.0,0.0,0.0,0.0,0.0,0.0,6.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Odell Beckham,NYG,1.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Travis Benjamin,LAC,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kenny Britt,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.0,0.0,0.0,0.0,0.0,7.0,85.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,WR
Aaron Burbridge,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Isaiah Burse,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,WR
Brice Butler,MIA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
