Player,Team,GP,Pass Att,Pass Inc,Pass Int,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum TD,Pass Def,Fum Yds,POS
Jerell Adams,HOU,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,14.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,342.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antony Auclair,TB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Cameron Brate,TB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,591.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,TE
Ben Braunecker,CHI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,14.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,248.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,TE
Emanuel Byrd,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,336.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,13.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,558.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,16.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,688.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,16.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,648.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,244.0,2.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,16.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,395.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,14.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,437.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,15.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,690.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,16.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,574.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,235.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,15.0,0.0,0.0,0.0,1.0,14.0,0.0,64.0,722.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,14.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,824.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LA,14.0,0.0,0.0,0.0,1.0,13.0,0.0,16.0,244.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,177.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Coby Fleener,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,295.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
