Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,287.0,1.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,372.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,268.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,214.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,84.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,249.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,48.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,290.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,367.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,321.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,371.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,373.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,233.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,8.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,264.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,392.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,10.0,1.0,3.0,3.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,203.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,408.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,97.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,225.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,57.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,537.0,0.0,0.0,0.0,0.0,1.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,350.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,63.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,225.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,80.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,356.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,470.0,0.0,0.0,0.0,1.0,0.0,DST
Seattle Seahawks,SEA,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,370.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,36.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,237.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,280.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,359.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,344.0,0.0,1.0,0.0,0.0,0.0,DST
