Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steve Smith Sr., Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Andre Johnson, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Anquan Boldin, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Larry Fitzgerald, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jerricho Cotchery, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Wes Welker, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Roddy White, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Vincent Jackson, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Joshua Cribbs, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Nate Washington, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Lance Moore, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Greg Jennings, Mia WR",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Devin Hester, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Derek Hagan, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jason Avant, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Brandon Marshall, NYG WR",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marques Colston, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Miles Austin, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Calvin Johnson, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ted Ginn Jr., NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dwayne Bowe, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jacoby Jones, Pit WR",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"James Jones, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eric Weems, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jordy Nelson, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Eddie Royal, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jerome Simpson, SF WR",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeSean Jackson, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Harry Douglas, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
