Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Kirk Cousins, MIN",36.1,26.1,307.0,1.6,0.5,106.8,2.8,10.1,3.61,0.3,0.0,0.0,0.0,0.00,0.0,0.3,22,QB
"Tom Brady, NE",38.9,25.9,300.0,2.0,0.4,102.6,2.2,3.3,1.50,0.0,0.0,0.0,0.0,0.00,0.0,0.2,22,QB
"Philip Rivers, LAC",38.0,24.4,292.0,2.1,0.9,96.2,1.2,1.9,1.58,0.0,0.0,0.0,0.0,0.00,0.0,0.2,21,QB
"Drew Brees, NO",37.5,26.4,287.0,1.8,0.7,100.9,1.8,2.3,1.28,0.1,0.0,0.0,0.0,0.00,0.0,0.2,20,QB
"Cam Newton, CAR",33.6,19.5,238.0,1.5,1.0,82.4,6.3,35.0,5.56,0.3,0.0,0.0,0.0,0.00,0.0,0.2,20,QB
"Russell Wilson, SEA",36.3,21.9,248.0,1.5,1.3,79.7,5.8,30.7,5.29,0.3,0.0,0.0,0.0,0.00,0.0,0.2,19,QB
"Blake Bortles, JAC",33.2,18.9,227.0,1.7,1.1,81.3,4.1,25.0,6.10,0.2,0.0,0.0,0.0,0.00,0.0,0.3,19,QB
"Dak Prescott, DAL",31.9,20.0,218.0,1.6,0.8,89.1,3.2,22.2,6.94,0.3,0.0,0.0,0.0,0.00,0.0,0.2,19,QB
"Marcus Mariota, TEN",31.6,18.5,222.0,1.8,1.4,80.7,3.8,18.9,4.97,0.3,0.0,0.0,0.0,0.00,0.0,0.2,18,QB
"Jameis Winston, TB",40.2,25.7,307.0,1.4,1.1,87.4,2.5,7.8,3.12,0.1,0.0,0.0,0.0,0.00,0.0,0.3,18,QB
"Derek Carr, OAK",36.3,22.6,258.0,1.6,0.8,89.1,1.8,3.7,2.06,0.0,0.0,0.0,0.0,0.00,0.0,0.2,17,QB
"Alex Smith, WAS",34.5,22.5,247.0,1.4,0.6,92.5,4.4,19.1,4.34,0.1,0.0,0.0,0.0,0.00,0.0,0.2,17,QB
"Jared Goff, LAR",31.1,18.9,236.0,1.6,0.7,92.1,1.8,3.6,2.00,0.1,0.0,0.0,0.0,0.00,0.0,0.2,17,QB
"Blaine Gabbert, TEN",42.3,24.1,267.0,1.3,1.6,70.3,5.0,24.7,4.94,0.2,0.0,0.0,0.0,0.00,0.0,0.3,17,QB
"Matt Ryan, ATL",35.1,23.2,267.0,1.5,0.8,93.6,2.1,7.0,3.33,0.0,0.0,0.0,0.0,0.00,0.0,0.2,17,QB
"Carson Wentz, PHI",35.6,21.2,240.0,1.5,0.8,84.5,4.4,17.3,3.93,0.0,0.0,0.0,0.0,0.00,0.0,0.2,17,QB
"Brett Hundley, SEA",34.2,21.7,241.0,1.5,1.6,79.4,2.1,15.2,7.24,0.2,0.0,0.0,0.0,0.00,0.0,0.3,16,QB
"Ben Roethlisberger, PIT",36.2,22.6,259.0,1.3,1.0,84.4,1.8,2.4,1.33,0.0,0.0,0.0,0.0,0.00,0.0,0.1,15,QB
"Joe Flacco, BAL",37.8,25.1,212.0,1.5,1.1,81.9,1.5,4.6,3.07,0.1,0.0,0.0,0.0,0.00,0.0,0.1,15,QB
