Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Jerell Adams,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Dwayne Allen,NE,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Antony Auclair,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Braunecker,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Daniel Brown,CHI,1.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,5.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,2.0,67.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Charles Clay,BUF,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,0.0,0.0,5.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,0.0,0.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,0.0,10.0,94.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Evan Engram,NYG,1.0,0.0,0.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
