Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,1.0,3.0,0.0,0.0,1.0,0.0,42.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,472.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,1.0,2.0,1.0,2.0,0.0,0.0,62.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,1.0,0.0,0.0,1.0,0.0,32.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,411.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,386.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,5.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,258.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,2.0,2.0,0.0,0.0,29.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,295.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,0.0,2.0,2.0,0.0,0.0,77.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,0.0,1.0,0.0,1.0,42.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,404.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
