Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,Return Yds,Return TD,Fum Lost,Fum,Tack,Ast,Frc Fum,Fum Rec,Fum Yds,POS
Ameer Abdullah,MIN,1.0,0.0,0.0,8.0,18.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Anderson,LA,1.0,0.0,0.0,18.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Cameron Artis-Payne,CAR,1.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,RB
Peyton Barber,TB,1.0,0.0,0.0,17.0,71.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,RB
Giovani Bernard,CIN,1.0,0.0,0.0,10.0,52.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,0.0,0.0,12.0,47.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,1.0,0.0,0.0,9.0,37.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,0.0,0.0,18.0,39.0,1.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,1.0,0.0,0.0,9.0,46.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Matt Breida,SF,1.0,0.0,0.0,12.0,72.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Malcolm Brown,LA,1.0,0.0,0.0,14.0,54.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Michael Burton,CHI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Cethan Carter,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Corey Clement,PHI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tarik Cohen,CHI,1.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tevin Coleman,ATL,1.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,1.0,0.0,0.0,20.0,78.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Isaiah Crowell,NYJ,1.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Benny Cunningham,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Orleans Darkwa,,1.0,0.0,0.0,20.0,154.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Davis,SEA,1.0,0.0,0.0,10.0,48.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Matt Dayes,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James Develin,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Kenyan Drake,MIA,1.0,0.0,0.0,14.0,75.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Andre Ellington,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,1.0,0.0,0.0,27.0,103.0,0.0,0.0,0.0,1.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Fluellen,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Leonard Fournette,JAX,1.0,0.0,0.0,19.0,69.0,0.0,0.0,0.0,0.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,RB
Devonta Freeman,ATL,1.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,9.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wayne Gallman,NYG,1.0,0.0,0.0,15.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,RB
Melvin Gordon,LAC,1.0,0.0,0.0,17.0,93.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Frank Gore,MIA,1.0,0.0,0.0,24.0,100.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Corey Grant,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tion Green,,1.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Ham,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
De'Angelo Henderson Sr.,NYJ,1.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,0.0,0.0,28.0,51.0,0.0,0.0,0.0,0.0,1.0,66.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brian Hill,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RB
Bronson Hill,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Akeem Hunt,,1.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Kareem Hunt,,1.0,0.0,0.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Carlos Hyde,JAX,1.0,0.0,0.0,15.0,88.0,2.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Mark Ingram,NO,1.0,0.0,0.0,13.0,35.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Duke Johnson,CLE,1.0,0.0,0.0,6.0,20.0,1.0,0.0,0.0,0.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Kyle Juszczyk,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Alvin Kamara,NO,1.0,0.0,0.0,9.0,44.0,1.0,0.0,0.0,0.0,6.0,84.0,0.0,0.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dion Lewis,TEN,1.0,0.0,0.0,26.0,93.0,1.0,0.0,0.0,0.0,6.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Line,NO,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marshawn Lynch,OAK,1.0,0.0,0.0,19.0,101.0,0.0,0.0,0.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marlon Mack,IND,1.0,0.0,0.0,7.0,28.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devante Mays,CLE,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christian McCaffrey,CAR,1.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,1.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijah McGuire,NYJ,1.0,0.0,0.0,4.0,-6.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jerick McKinnon,SF,1.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
J.D. McKissic,SEA,1.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,1.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Mixon,CIN,1.0,0.0,0.0,18.0,96.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Morris,SF,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marcus Murphy,BUF,1.0,0.0,0.0,7.0,41.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
