Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,0.0,1.0,0.0,111.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,1.0,1.0,0.0,53.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,0.0,0.0,0.0,0.0,174.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,266.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,2.0,0.0,0.0,1.0,45.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,1.0,1.0,1.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,337.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,2.0,2.0,2.0,1.0,17.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,1.0,0.0,2.0,0.0,41.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,266.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,0.0,0.0,0.0,0.0,89.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,6.0,1.0,1.0,3.0,0.0,97.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,4.0,1.0,0.0,0.0,0.0,102.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,1.0,2.0,0.0,19.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,380.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,0.0,0.0,92.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,367.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,1.0,1.0,1.0,1.0,31.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,367.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,0.0,1.0,1.0,0.0,30.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,257.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,1.0,0.0,0.0,0.0,92.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,390.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,410.0,0.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,5.0,1.0,0.0,1.0,0.0,116.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,270.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,364.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,0.0,0.0,1.0,0.0,30.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,176.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,4.0,0.0,2.0,1.0,0.0,83.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,271.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,0.0,0.0,1.0,0.0,83.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,4.0,1.0,2.0,0.0,19.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,1.0,3.0,0.0,29.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,332.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,0.0,0.0,130.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,555.0,0.0,0.0,0.0,0.0,1.0,DST
Seattle Seahawks,SEA,1.0,2.0,1.0,0.0,0.0,0.0,46.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,248.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,1.0,1.0,0.0,44.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,237.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,0.0,1.0,1.0,0.0,32.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,295.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,2.0,1.0,2.0,0.0,77.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,310.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,DST
