Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Antonio Brown, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.00,0.0,10.9,8.0,109.0,13.62,0.6,0.1,13,WR
"Julio Jones, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,6.5,108.0,16.62,0.5,0.0,13,WR
"DeAndre Hopkins, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,16.9,9.2,101.0,10.98,0.5,0.0,13,WR
"Larry Fitzgerald, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,12.9,8.8,101.0,11.48,0.4,0.1,12,WR
"Doug Baldwin, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.33,0.0,7.9,6.0,81.2,13.53,0.7,0.0,12,WR
"Brandin Cooks, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,4.00,0.0,9.0,5.9,84.0,14.24,0.6,0.0,11,WR
"Mike Evans, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,5.5,79.1,14.38,0.6,0.0,10,WR
"Michael Thomas, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,6.8,87.6,12.88,0.4,0.0,10,WR
"Jordy Nelson, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.4,6.4,75.2,11.75,0.6,0.1,10,WR
"Amari Cooper, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.0,-0.00,0.0,10.1,5.6,75.9,13.55,0.5,0.0,10,WR
"J.J. Nelson, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.5,18.33,0.1,7.0,3.7,65.9,17.81,0.5,0.1,9,WR
"A.J. Green, CIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.2,5.8,76.5,13.19,0.4,0.0,9,WR
"Ted Ginn, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.8,6.86,0.0,8.5,5.7,75.5,13.25,0.4,0.1,9,WR
"Michael Crabtree, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.0,5.4,63.9,11.83,0.5,0.0,9,WR
"Terrelle Pryor, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.00,0.0,8.6,5.3,73.1,13.79,0.3,0.0,8,WR
"Tyreek Hill, KC",0.0,0.0,0.0,0.0,0.0,0.0,1.8,16.4,9.11,0.0,6.8,4.7,53.8,11.45,0.5,0.1,8,WR
"Keenan Allen, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.1,6.0,66.8,11.13,0.5,0.1,8,WR
"Chris Hogan, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,5.50,0.0,6.2,4.4,70.7,16.07,0.3,0.1,8,WR
"Jeremy Maclin, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,9.2,5.5,63.5,11.55,0.4,0.0,8,WR
"Sammy Watkins, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.4,4.7,63.8,13.57,0.4,0.0,8,WR
"Odell Beckham, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.00,0.0,8.5,5.9,69.0,11.69,0.4,0.0,8,WR
"Allen Hurns, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,4.1,56.0,13.66,0.5,0.0,8,WR
"Davante Adams, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.1,5.1,59.4,11.65,0.5,0.1,7,WR
"Jarvis Landry, CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.3,4.60,0.0,7.5,5.1,62.1,12.18,0.3,0.1,7,WR
"Demaryius Thomas, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.5,6.2,66.8,10.77,0.3,0.1,7,WR
"Golden Tate, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,1.71,0.0,8.9,5.9,65.5,11.10,0.3,0.1,7,WR
"Tyler Lockett, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.8,17.00,0.1,5.1,3.3,52.6,15.94,0.3,0.0,7,WR
"Brandon Marshall, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.9,4.9,57.2,11.67,0.4,0.0,7,WR
"T.Y. Hilton, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.8,5.1,68.4,13.41,0.3,0.2,7,WR
"Pierre Garcon, SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.4,5.5,66.1,12.02,0.2,0.0,7,WR
"Kelvin Benjamin, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.7,3.5,54.8,15.66,0.4,0.1,7,WR
"Stefon Diggs, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.33,0.0,7.7,5.4,52.3,9.69,0.3,0.0,6,WR
"Tyrell Williams, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.6,4.0,58.3,14.57,0.3,0.0,6,WR
"DeVante Parker, MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.7,3.9,57.6,14.77,0.3,0.0,6,WR
"Randall Cobb, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.2,4.57,0.0,7.5,5.5,53.9,9.80,0.3,0.0,6,WR
"Marqise Lee, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,5.50,0.0,6.9,4.0,54.8,13.70,0.3,0.0,6,WR
"Mike Wallace, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,6.50,0.0,7.7,4.7,54.8,11.66,0.3,0.0,6,WR
"Robby Anderson, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.8,14.00,0.0,7.7,4.0,58.0,14.50,0.3,0.1,6,WR
"Martavis Bryant, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.3,16.60,0.0,7.5,3.9,51.4,13.18,0.3,0.1,6,WR
"Sterling Shepard, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,9.00,0.0,6.9,5.1,47.7,9.35,0.4,0.0,6,WR
"Donte Moncrief, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.00,0.0,6.9,3.6,41.5,11.53,0.4,0.0,6,WR
"Jamison Crowder, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.00,0.0,7.1,4.8,54.9,11.44,0.3,0.2,6,WR
"Kendall Wright, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,7.00,0.0,6.2,4.0,58.3,14.57,0.2,0.0,6,WR
"Alshon Jeffery, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.4,4.9,58.9,12.02,0.2,0.0,6,WR
"Dez Bryant, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.0,3.6,44.3,12.31,0.4,0.1,6,WR
"Emmanuel Sanders, DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,8.0,4.9,58.3,11.90,0.2,0.0,6,WR
"Rishard Matthews, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,6.2,3.8,46.0,12.11,0.4,0.1,6,WR
"Kenny Golladay, DET",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.00,0.0,7.8,4.0,50.5,12.62,0.2,0.0,6,WR
"DeSean Jackson, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.9,3.1,45.7,14.74,0.3,0.0,5,WR
"Taylor Gabriel, CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.4,12.00,0.0,3.9,2.7,42.6,15.78,0.3,0.0,5,WR
"Cooper Kupp, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,6.1,3.6,47.4,13.17,0.3,0.0,5,WR
"Brandon LaFell, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.0,6.5,3.4,41.8,12.29,0.3,0.0,5,WR
"Mohamed Sanu, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,6.50,0.0,5.4,3.9,48.8,12.51,0.3,0.1,5,WR
"Marquise Goodwin, SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.7,3.0,40.1,13.37,0.2,0.0,5,WR
"Paul Richardson, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,4.0,2.5,41.7,16.68,0.2,0.0,5,WR
"Jaron Brown, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.5,3.1,45.9,14.81,0.2,0.0,5,WR
"Zay Jones, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,10.00,0.0,6.4,3.3,40.1,12.15,0.2,0.0,5,WR
"Eric Decker, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.2,3.4,38.9,11.44,0.4,0.1,5,WR
"Jordan Matthews, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.2,4.0,46.8,11.70,0.2,0.0,5,WR
"Marvin Jones, DET",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.00,0.0,5.4,3.0,46.2,15.40,0.2,0.0,5,WR
"Breshad Perriman, CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,5.1,2.6,37.2,14.31,0.3,0.0,4,WR
"Kenny Stills, MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.2,2.2,39.2,17.82,0.3,0.0,4,WR
"Devin Funchess, CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.2,2.2,34.3,15.59,0.3,0.0,4,WR
"Seth Roberts, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.5,2.3,27.8,12.09,0.4,0.0,4,WR
"Adam Thielen, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,9.00,0.0,5.6,4.1,44.3,10.80,0.1,0.1,4,WR
"Adam Humphries, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,3.50,0.0,4.5,3.2,36.0,11.25,0.2,0.0,4,WR
"Corey Coleman, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.00,0.0,7.7,4.0,36.3,9.07,0.2,0.0,4,WR
"Jermaine Kearse, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.7,3.0,37.1,12.37,0.2,0.0,4,WR
"Robert Woods, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00,0.0,4.6,3.0,36.7,12.23,0.2,0.0,4,WR
"Chris Godwin, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,8.00,0.0,4.2,2.8,38.7,13.82,0.2,0.0,4,WR
"ArDarius Stewart, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,8.00,0.0,5.0,2.6,37.3,14.35,0.2,0.0,4,WR
"Jaelen Strong, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,6.3,4.1,39.0,9.51,0.2,0.0,4,WR
"Torrey Smith, CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.5,2.3,34.0,14.78,0.2,0.0,4,WR
"Nelson Agholor, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,2.67,0.0,5.7,3.0,32.7,10.90,0.2,0.0,4,WR
"Cole Beasley, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.00,0.0,5.1,3.5,34.2,9.77,0.2,0.1,4,WR
"Kenny Britt, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,5.8,3.5,35.8,10.23,0.2,0.1,4,WR
"Tavon Austin, DAL",0.0,0.0,0.0,0.0,0.0,0.0,2.2,16.8,7.64,0.0,3.9,2.4,22.1,9.21,0.2,0.2,3,WR
"Travis Benjamin, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.50,0.0,3.9,2.3,35.6,15.48,0.2,0.2,3,WR
"Andre Holmes, DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.2,2.0,23.4,11.70,0.3,0.0,3,WR
"Bennie Fowler, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.7,1.8,21.3,11.83,0.3,0.0,3,WR
"Chris Conley, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.7,2.8,35.7,12.75,0.1,0.0,3,WR
"Brandon Coleman, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.9,2.7,34.5,12.78,0.1,0.0,3,WR
"Terrance Williams, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.4,2.9,35.3,12.17,0.1,0.1,3,WR
"Kamar Aiken, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.3,2.2,28.6,13.00,0.2,0.0,3,WR
"Curtis Samuel, CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,5.00,0.0,3.2,1.8,28.2,15.67,0.2,0.0,3,WR
"Albert Wilson, MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1,15.50,0.0,4.7,2.9,28.9,9.97,0.2,0.0,3,WR
"Keelan Cole, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,5.00,0.0,3.2,1.8,24.2,13.44,0.2,0.0,3,WR
"Geronimo Allison, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.4,2.1,28.5,13.57,0.2,0.0,3,WR
"Corey Davis, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,3.9,2.4,28.3,11.79,0.2,0.0,3,WR
"Russell Shepard, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00,0.0,2.5,1.4,24.5,17.50,0.2,0.0,3,WR
"Phillip Dorsett, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,5.50,0.0,3.5,2.1,26.7,12.71,0.1,0.0,2,WR
"JuJu Smith-Schuster, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,8.00,0.0,2.6,1.8,23.9,13.28,0.1,0.0,2,WR
"John Ross, CIN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,8.00,0.0,3.4,2.0,25.6,12.80,0.1,0.0,2,WR
"Michael Campanaro, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.5,14.38,0.0,2.6,1.5,16.2,10.80,0.1,0.0,2,WR
"Josh Bellamy, CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.3,11.50,0.0,3.6,2.0,28.7,14.35,0.1,0.0,2,WR
"Josh Doctson, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.00,0.0,3.6,1.9,26.8,14.11,0.1,0.0,2,WR
"Braxton Miller, PHI",0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.00,0.0,4.1,2.5,21.6,8.64,0.1,0.0,2,WR
"Charone Peake, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.0,1.6,20.5,12.81,0.1,0.0,2,WR
"Laquon Treadwell, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,4.00,0.0,3.0,1.9,20.0,10.53,0.1,0.0,2,WR
"Taywan Taylor, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,3.2,2.0,23.2,11.60,0.1,0.0,2,WR
"Ryan Grant, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.8,1.9,24.8,13.05,0.1,0.0,2,WR
"Dontrelle Inman, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.0,1.9,25.9,13.63,0.1,0.0,2,WR
"Jeremy Kerley, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,4.2,2.2,26.3,11.95,0.1,0.1,2,WR
"Deonte Thompson, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,3.0,2.0,27.0,13.50,0.1,0.2,2,WR
"Arrelious Benn, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.6,1.5,18.8,12.53,0.2,0.0,2,WR
"Cordarrelle Patterson, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.4,6.80,0.0,3.2,2.1,19.7,9.38,0.1,0.0,1,WR
"Pharoh Cooper, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,2.1,1.3,13.8,10.62,0.1,0.0,1,WR
"Roger Lewis, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,1.9,1.1,12.3,11.18,0.1,0.0,1,WR
"Brian Quick, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,1.2,0.7,10.6,15.14,0.1,0.0,1,WR
"Eli Rogers, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,1.4,1.0,11.4,11.40,0.1,0.0,1,WR
"Aldrick Robinson, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.5,1.4,18.3,13.07,0.1,0.0,1,WR
"Brice Butler, MIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.2,1.1,15.6,14.18,0.1,0.0,1,WR
"T.J. Jones, DET",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.00,0.0,2.8,1.5,18.4,12.27,0.1,0.0,1,WR
"Jordan Taylor, DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.0,1.4,16.0,11.43,0.1,0.1,1,WR
"Jarius Wright, CAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.00,0.0,3.3,2.1,18.0,8.57,0.1,0.1,1,WR
"Sammie Coates, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,3.00,0.0,1.5,0.8,12.5,15.62,0.0,0.0,1,WR
"Ricardo Louis, CLE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2.7,1.4,13.7,9.79,0.0,0.0,1,WR
"Tanner McEvoy, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.4,0.3,4.6,15.33,0.1,0.0,0,WR
"Justin Hunter, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.8,0.5,7.7,15.40,0.1,0.0,0,WR
"Justin Hardy, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.6,0.4,4.7,11.75,0.1,0.0,0,WR
"Mekale McKay, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0,WR
"Trent Taylor, SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,0.4,0.2,2.7,13.50,0.0,0.0,0,WR
"Stacy Coley, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,0.4,0.3,2.8,9.33,0.0,0.0,0,WR
"Rueben Randle, CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0,WR
"Kaelin Clay, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,0.4,0.2,2.6,13.00,0.0,0.0,0,WR
"Josh Reynolds, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.0,0.4,0.2,3.0,15.00,0.0,0.0,0,WR
"Chris Moore, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,7.00,0.0,0.3,0.1,0.8,8.00,0.0,0.0,0,WR
