Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,0.0,0.0,2.0,2.0,0.0,0.0,65.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,418.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,0.0,2.0,1.0,0.0,1.0,69.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,6.0,1.0,0.0,0.0,1.0,0.0,51.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,2.0,0.0,1.0,0.0,0.0,61.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,4.0,0.0,0.0,0.0,0.0,0.0,97.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,272.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,494.0,0.0,0.0,0.0,0.0,1.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,5.0,0.0,0.0,1.0,0.0,0.0,76.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,3.0,0.0,0.0,0.0,0.0,76.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,346.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,6.0,0.0,0.0,0.0,0.0,0.0,61.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,332.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,1.0,2.0,0.0,1.0,28.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,0.0,2.0,0.0,0.0,0.0,0.0,82.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,415.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,0.0,0.0,0.0,0.0,92.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,0.0,1.0,1.0,0.0,0.0,41.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,354.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,186.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,3.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,3.0,0.0,0.0,1.0,0.0,21.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,428.0,0.0,0.0,0.0,1.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,1.0,0.0,0.0,0.0,70.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,362.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,2.0,0.0,1.0,0.0,0.0,97.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,2.0,1.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,1.0,DST
Los Angeles Rams,LA,1.0,4.0,1.0,1.0,1.0,0.0,0.0,83.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,421.0,0.0,0.0,0.0,1.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,410.0,0.0,0.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,2.0,1.0,1.0,0.0,0.0,23.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,3.0,0.0,2.0,0.0,0.0,12.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,288.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,420.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,1.0,3.0,0.0,0.0,39.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,306.0,0.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,5.0,0.0,1.0,4.0,1.0,0.0,95.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,396.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,433.0,0.0,0.0,0.0,1.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,DST
