Player,Team,GP,Receptions,Rec Yds,Rec TD,Fum Lost,Fum,Tack,Ast,Frc Fum,Pass Def,POS
Dwayne Allen,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,6.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,4.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,5.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Jack Doyle,IND,1.0,2.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,8.0,55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Coby Fleener,,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,5.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,8.0,89.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Michael Hoomanawanui,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,2.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,4.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TE
Troy Niklas,,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,,1.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Phillip Supernaw,,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Randall Telfer,,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,3.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
