Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,35.0,15.0,20.0,140.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,45.0,32.0,13.0,307.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,41.0,29.0,12.0,268.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-9.0,QB
Jacoby Brissett,IND,1.0,29.0,16.0,13.0,157.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,33.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,QB
Derek Carr,OAK,1.0,18.0,10.0,8.0,143.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Cassel,DET,1.0,10.0,4.0,6.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,24.0,14.0,10.0,220.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,QB
Jay Cutler,,1.0,28.0,20.0,8.0,164.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,30.0,25.0,5.0,286.0,4.0,0.0,3.0,0.0,1.0,1.0,4.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,QB
Joe Flacco,BAL,1.0,49.0,31.0,18.0,235.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,QB
