Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,304.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,45.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,387.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,59.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,17.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,367.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,72.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,116.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,36.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,254.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,54.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,364.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,74.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,25.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,285.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,14.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,238.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,279.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,73.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,386.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,392.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,78.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
