Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Stephen Gostkowski, NE",2.4,2.5,0,3.0,3.0,0.0,10,K
"Jake Elliott, PHI",2.1,2.6,0,3.0,3.0,0.0,9,K
"Wil Lutz, NO",2.1,2.6,0,3.0,3.0,0.0,9,K
"Randy Bullock, CIN",2.0,2.3,0,2.5,2.5,0.0,8,K
"Stephen Hauschka, BUF",1.9,2.1,0,2.4,2.4,0.0,8,K
"Harrison Butker, KC",1.9,2.2,0,2.6,2.6,0.0,8,K
"Matt Bryant, ATL",1.8,2.2,0,2.5,2.5,0.0,8,K
"Patrick Murray, TB",1.7,1.9,0,2.3,2.3,0.0,8,K
"Graham Gano, CAR",1.9,2.1,0,2.2,2.2,0.0,8,K
"Chris Boswell, PIT",1.8,2.0,0,2.3,2.3,0.0,7,K
"Blair Walsh, SEA",1.7,2.0,0,2.3,2.3,0.0,7,K
"Giorgio Tavecchio, ATL",1.6,2.0,0,2.0,2.0,0.0,7,K
"Mike Nugent, OAK",1.5,1.8,0,2.5,2.5,0.0,7,K
"Justin Tucker, BAL",1.6,1.9,0,2.0,2.0,0.0,7,K
"Kai Forbath, JAC",1.6,1.8,0,2.0,2.0,0.0,7,K
"Nick Rose, LAC",1.6,1.9,0,2.1,2.1,0.0,7,K
"Chandler Catanzaro, CAR",1.5,1.8,0,1.9,1.9,0.0,6,K
"Adam Vinatieri, IND",1.5,1.7,0,1.7,1.7,0.0,6,K
"Matt Prater, DET",1.3,1.6,0,1.8,1.8,0.0,6,K
"Robbie Gould, SF",1.4,1.5,0,1.7,1.7,0.0,6,K
"Connor Barth, CHI",1.3,1.8,0,1.9,1.9,0.0,5,K
"Nick Novak, LAC",1.3,1.5,0,1.9,1.9,0.0,5,K
"Brandon McManus, DEN",1.4,1.8,0,1.5,1.5,0.0,5,K
"Cody Parkey, CHI",1.2,1.3,0,1.7,1.7,0.0,5,K
"Ka'imi Fairbairn, HOU",1.3,1.4,0,1.3,1.3,0.0,5,K
"Zane Gonzalez, ARI",0.8,1.2,0,1.0,1.0,0.0,3,K
"Mike Meyer, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Nick Folk, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Andrew Franks, MIA",0.0,0.0,0,0.0,0.0,0.0,0,K
"Zach Hocker, TB",0.0,0.0,0,0.0,0.0,0.0,0,K
"Younghoe Koo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jon Brown, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Roberto Aguayo, LAC",0.0,0.0,0,0.0,0.0,0.0,0,K
