Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Frank Gore, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren Sproles, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Kuhn, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fred Jackson, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Marshawn Lynch, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ahmad Bradshaw, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Pierre Thomas, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Chris Johnson, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Matt Forte, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Charles, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Justin Forsett, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Tolbert, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcel Reece, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Danny Woodhead, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Donald Brown, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Arian Foster, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rashad Jennings, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jorvorskie Lane, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LeSean McCoy, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cedric Peerman, Cin RB",Ind,W 24-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcus Thigpen, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darrel Young, Car RB",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Antone Smith, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"C.J. Spiller, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ryan Mathews, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dexter McCluster, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ben Tate, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Toby Gerhart, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Boobie Dixon, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LeGarrette Blount, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James Starks, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Joique Bell, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Ivory, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James Develin, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tyler Clutts, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mark Ingram, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeMarco Murray, Ten RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Shane Vereen, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Stevan Ridley, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ryan Williams, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daniel Thomas, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bilal Powell, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Anthony Sherman, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kendall Hunter, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Taiwan Jones, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jordan Todman, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Roy Helu Jr., Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jacquizz Rodgers, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dion Lewis, Ten RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"DuJuan Harris, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Patrick DiMarco, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Asiata, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Shaun Draughn, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Chase Reynolds, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Will Johnson, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Trent Richardson, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Doug Martin, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Lamar Miller, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Isaiah Pead*, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Polk, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LaMike James, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bernard Pierce, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Robert Turbin, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ronnie Hillman, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cyrus Gray, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Vick Ballard, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Alfred Morris, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daniel Herron, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bryce Brown, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daryl Richardson, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cory Harkey, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Joe Banyard, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Derrick Coleman, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonas Gray, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Lance Dunbar, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Travaris Cadet, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Brandon Bolden, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
