Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Tack,Fum Rec,POS
Stephen Anderson,NE,1.0,1.0,11.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,4.0,29.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,4.0,64.0,0.0,0.0,1.0,0.0,TE
Daniel Brown,CHI,1.0,1.0,9.0,0.0,0.0,1.0,0.0,TE
Trey Burton,CHI,1.0,2.0,21.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,24.0,0.0,0.0,2.0,0.0,TE
Jared Cook,OAK,1.0,4.0,57.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,2.0,20.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,2.0,21.0,1.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,4.0,24.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,12.0,121.0,1.0,1.0,0.0,0.0,TE
Eric Ebron,IND,1.0,2.0,58.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,4.0,34.0,1.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,12.0,0.0,0.0,0.0,0.0,TE
Coby Fleener,,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,2.0,25.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,4.0,39.0,2.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,1.0,16.0,0.0,0.0,1.0,0.0,TE
Ryan Griffin,HOU,1.0,1.0,10.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,5.0,57.0,1.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,2.0,11.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,1.0,11.0,0.0,0.0,0.0,0.0,TE
Cole Hikutini,MIN,1.0,1.0,10.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,3.0,29.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,1.0,1.0,13.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,4.0,47.0,1.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,2.0,16.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,42.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,7.0,133.0,1.0,1.0,0.0,0.0,TE
George Kittle,SF,1.0,2.0,22.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,5.0,46.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,3.0,28.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,2.0,19.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,1.0,5.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,1.0,5.0,0.0,0.0,0.0,0.0,TE
Michael Roberts,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,6.0,27.0,1.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,5.0,28.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,3.0,15.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,1.0,21.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,1.0,18.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,2.0,2.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,1.0,7.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,2.0,20.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,20.0,1.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,1.0,8.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,2.0,6.0,1.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
