Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,69.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,368.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,123.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,150.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,419.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,407.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,39.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,41.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,288.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,52.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,226.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,473.0,0.0,0.0,0.0,0.0,1.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,57.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,307.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,140.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,355.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,82.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,395.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,55.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,319.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,257.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,40.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,78.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,244.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,DST
