Player,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Jaguars D/ST D/ST,0,44.1,13.8,9,16.5,1.7,1.3,122,DST
Eagles D/ST D/ST,0,38.4,13.9,9,14.9,1.6,1.3,113.3,DST
Vikings D/ST D/ST,0,45.5,11.1,7.2,13.3,1.4,1,109,DST
Ravens D/ST D/ST,0,36.5,13.7,8.9,14.7,1.6,1.2,108.4,DST
Patriots D/ST D/ST,0,43.1,8.9,5.8,14.7,1.5,0.8,107.3,DST
Titans D/ST D/ST,0,41.2,11.2,7.3,14.5,1.5,1,107.3,DST
Rams D/ST D/ST,0,39.3,13.5,8.8,13.7,1.4,1.1,107.1,DST
Texans D/ST D/ST,0,44.4,12.6,8.2,11.6,1.2,1.3,106.5,DST
Cardinals D/ST D/ST,0,38.8,17.8,11.5,9.5,1,1.6,103.5,DST
Chargers D/ST D/ST,0,39.4,12,7.8,12.5,1.3,1.2,103.2,DST
Broncos D/ST D/ST,0,38.8,12.4,8,12.1,1.3,1.2,101.8,DST
Panthers D/ST D/ST,0,42.4,15.4,10,12.9,1.4,1.4,96.7,DST
Bears D/ST D/ST,0,42,11,7.1,9.3,0.9,1,95.6,DST
Steelers D/ST D/ST,0,38.2,10.6,6.9,10.5,1.1,0.9,93.4,DST
Lions D/ST D/ST,0,39,11.8,7.7,14.4,1.5,1,93.2,DST
Redskins D/ST D/ST,0,38.9,12.3,8,13.3,1.4,1.1,88.6,DST
Cowboys D/ST D/ST,0,37.4,15,9.8,11.8,1.2,1.4,88,DST
Packers D/ST D/ST,0,46.3,10,6.5,12,1.2,0.9,86.7,DST
Bills D/ST D/ST,0,30,11.3,7.3,16.4,1.7,1,85.4,DST
Dolphins D/ST D/ST,0,36.4,12.7,8.2,12.6,1.3,1.2,85.2,DST
Saints D/ST D/ST,0,34.3,11.8,7.7,14.8,1.5,1,84.9,DST
Buccaneers D/ST D/ST,0,28.1,14.8,9.6,14.3,1.5,1.3,83.6,DST
Falcons D/ST D/ST,0,33.9,14.7,9.6,11.3,1.2,1.3,82.6,DST
Chiefs D/ST D/ST,0,34.4,12.3,8,11.7,1.3,1,80.9,DST
Giants D/ST D/ST,0,26.6,12.7,8.2,14,1.5,1.1,79.9,DST
Browns D/ST D/ST,0,32.7,12.8,8.3,12.6,1.3,1.1,79.5,DST
Bengals D/ST D/ST,0,35.1,8.9,5.8,13.3,1.4,0.8,77.3,DST
Seahawks D/ST D/ST,0,35.2,11.1,7.2,11,1.1,1.1,77.2,DST
Colts D/ST D/ST,0,29.5,11,7.2,12,1.2,1,72.9,DST
Raiders D/ST D/ST,0,25.8,12.8,8.3,11.9,1.2,1.2,72.2,DST
Jets D/ST D/ST,0,28.1,11.8,7.7,10.2,1,1,69.1,DST
49ers D/ST D/ST,0,26.5,11.2,7.3,11.7,1.2,1,68.5,DST
