Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,Less 100 Yds Allowed,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,16.0,37.0,2.0,5.0,11.0,1.0,2.0,0.0,1124.0,409.0,0.0,1.0,0.0,4.0,5.0,2.0,4.0,5546.0,0.0,0.0,4.0,9.0,2.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,16.0,50.0,27.0,9.0,18.0,1.0,6.0,0.0,851.0,277.0,0.0,1.0,5.0,5.0,3.0,1.0,1.0,4795.0,0.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,DST
Cincinnati Bengals,CIN,16.0,34.0,12.0,6.0,10.0,0.0,5.0,1.0,1307.0,449.0,0.0,0.0,0.0,3.0,6.0,3.0,4.0,6618.0,0.0,0.0,3.0,5.0,2.0,3.0,3.0,0.0,DST
Buffalo Bills,BUF,16.0,36.0,16.0,11.0,21.0,1.0,0.0,0.0,1014.0,344.0,0.0,1.0,4.0,2.0,5.0,2.0,2.0,4706.0,0.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,16.0,44.0,17.0,11.0,13.0,0.0,2.0,4.0,736.0,341.0,0.0,0.0,2.0,6.0,6.0,2.0,0.0,5842.0,0.0,0.0,4.0,7.0,2.0,1.0,2.0,0.0,DST
Cleveland Browns,CLE,16.0,37.0,17.0,14.0,18.0,1.0,0.0,2.0,1174.0,378.0,0.0,0.0,1.0,6.0,5.0,1.0,3.0,6288.0,0.0,0.0,4.0,4.0,3.0,4.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,16.0,38.0,9.0,8.0,12.0,0.0,1.0,0.0,794.0,438.0,0.0,0.0,1.0,3.0,4.0,5.0,3.0,6134.0,0.0,0.0,3.0,4.0,6.0,3.0,0.0,0.0,DST
Arizona Cardinals,ARI,16.0,49.0,7.0,9.0,13.0,0.0,3.0,1.0,831.0,399.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,5741.0,0.0,0.0,3.0,6.0,6.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,16.0,38.0,13.0,7.0,7.0,0.0,3.0,0.0,1011.0,317.0,0.0,1.0,3.0,5.0,3.0,2.0,2.0,5339.0,0.0,1.0,4.0,10.0,0.0,0.0,1.0,1.0,DST
Kansas City Chiefs,KC,16.0,52.0,15.0,12.0,23.0,0.0,5.0,1.0,1236.0,407.0,0.0,1.0,1.0,2.0,5.0,3.0,4.0,6488.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,0.0,DST
Indianapolis Colts,IND,16.0,38.0,15.0,11.0,15.0,0.0,0.0,2.0,554.0,318.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,5431.0,0.0,0.0,4.0,9.0,2.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,16.0,39.0,9.0,11.0,14.0,0.0,1.0,0.0,402.0,318.0,0.0,0.0,3.0,6.0,5.0,1.0,1.0,5268.0,0.0,1.0,5.0,7.0,2.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,16.0,31.0,21.0,7.0,11.0,0.0,5.0,2.0,1231.0,415.0,0.0,1.0,2.0,4.0,1.0,4.0,4.0,6257.0,0.0,0.0,2.0,5.0,6.0,3.0,0.0,0.0,DST
Philadelphia Eagles,PHI,16.0,44.0,10.0,7.0,12.0,0.0,0.0,0.0,941.0,342.0,1.0,0.0,3.0,3.0,6.0,2.0,1.0,5859.0,1.0,0.0,3.0,5.0,5.0,0.0,2.0,0.0,DST
Atlanta Falcons,ATL,16.0,37.0,15.0,4.0,8.0,0.0,2.0,1.0,836.0,405.0,0.0,0.0,1.0,5.0,2.0,5.0,3.0,6152.0,0.0,0.0,2.0,6.0,6.0,0.0,2.0,0.0,DST
New York Giants,NYG,16.0,30.0,16.0,5.0,10.0,0.0,3.0,0.0,1328.0,400.0,0.0,0.0,0.0,5.0,6.0,3.0,2.0,5942.0,0.0,0.0,2.0,9.0,4.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,16.0,37.0,11.0,6.0,7.0,2.0,3.0,0.0,866.0,310.0,1.0,0.0,3.0,6.0,3.0,2.0,1.0,4983.0,0.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,DST
New York Jets,NYJ,16.0,39.0,13.0,7.0,13.0,0.0,5.0,3.0,1562.0,421.0,0.0,0.0,2.0,2.0,5.0,4.0,3.0,6086.0,0.0,1.0,2.0,6.0,3.0,2.0,2.0,0.0,DST
Detroit Lions,DET,16.0,43.0,7.0,7.0,10.0,0.0,2.0,0.0,653.0,342.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,5360.0,0.0,1.0,4.0,7.0,3.0,0.0,1.0,0.0,DST
Green Bay Packers,GB,16.0,44.0,7.0,8.0,10.0,0.0,2.0,1.0,842.0,392.0,1.0,0.0,1.0,3.0,4.0,6.0,1.0,5670.0,0.0,1.0,3.0,6.0,5.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,16.0,35.0,13.0,10.0,13.0,0.0,1.0,0.0,747.0,376.0,0.0,0.0,2.0,3.0,6.0,4.0,1.0,5651.0,0.0,0.0,3.0,9.0,3.0,1.0,0.0,1.0,DST
New England Patriots,NE,16.0,30.0,18.0,10.0,14.0,0.0,4.0,2.0,954.0,325.0,0.0,2.0,4.0,3.0,2.0,4.0,1.0,5746.0,0.0,1.0,3.0,6.0,4.0,2.0,0.0,0.0,DST
Oakland Raiders,OAK,16.0,13.0,14.0,3.0,5.0,0.0,2.0,1.0,954.0,449.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,6102.0,0.0,0.0,2.0,7.0,4.0,3.0,0.0,0.0,DST
Los Angeles Rams,LAR,16.0,41.0,18.0,12.0,13.0,2.0,5.0,2.0,1141.0,376.0,1.0,0.0,4.0,2.0,2.0,5.0,2.0,5737.0,0.0,1.0,3.0,8.0,2.0,1.0,1.0,0.0,DST
Baltimore Ravens,BAL,16.0,43.0,12.0,5.0,9.0,0.0,4.0,0.0,1111.0,281.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,4687.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,16.0,46.0,15.0,11.0,19.0,0.0,1.0,0.0,680.0,341.0,0.0,2.0,2.0,5.0,2.0,3.0,2.0,5654.0,0.0,1.0,3.0,6.0,4.0,1.0,1.0,0.0,DST
New Orleans Saints,NO,16.0,49.0,12.0,12.0,19.0,0.0,1.0,2.0,717.0,345.0,0.0,0.0,3.0,7.0,1.0,2.0,3.0,5585.0,0.0,1.0,5.0,5.0,3.0,1.0,1.0,0.0,DST
Seattle Seahawks,SEA,16.0,43.0,12.0,14.0,18.0,0.0,2.0,1.0,812.0,335.0,0.0,1.0,2.0,5.0,5.0,2.0,1.0,5653.0,0.0,2.0,3.0,5.0,1.0,5.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,16.0,52.0,8.0,7.0,13.0,2.0,3.0,3.0,871.0,354.0,0.0,0.0,2.0,4.0,7.0,2.0,1.0,5235.0,0.0,1.0,5.0,7.0,1.0,2.0,0.0,0.0,DST
Houston Texans,HOU,16.0,43.0,15.0,14.0,20.0,0.0,4.0,1.0,814.0,316.0,0.0,1.0,3.0,4.0,6.0,2.0,0.0,5490.0,0.0,1.0,5.0,6.0,2.0,1.0,1.0,0.0,DST
Tennessee Titans,TEN,16.0,39.0,11.0,6.0,12.0,0.0,3.0,0.0,974.0,295.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,5334.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,16.0,50.0,12.0,8.0,8.0,0.0,3.0,0.0,855.0,311.0,0.0,0.0,4.0,5.0,5.0,1.0,1.0,4955.0,0.0,1.0,8.0,5.0,0.0,1.0,1.0,0.0,DST
