Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Stephen Gostkowski,NWE,Memphis,13,2006,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,34,38,0,0,0,0,0,0,0,0,0,0,154,0,K
Greg Zuerlein,LAR,Missouri Western State,7,2012,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,35,38,0,0,0,0,0,0,0,0,0,0,151,0,K
Harrison Butker,KAN,Georgia Tech,2,2017,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,38,43,0,0,0,0,0,0,0,0,0,0,146,0,K
Justin Tucker,BAL,Texas,7,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,35,38,0,0,0,0,0,0,0,0,0,0,144,0,K
Wil Lutz,NOR,Georgia State,3,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,32,36,0,0,0,0,0,0,0,0,0,0,141,0,K
Matt Bryant,ATL,Baylor,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,34,38,0,0,0,0,0,0,0,0,0,0,139,0,K
Jake Elliott,PHI,Memphis,2,2017,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,31,35,0,0,0,0,0,0,0,0,0,0,132,0,K
Robbie Gould,SFO,Penn State,14,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,36,39,0,0,0,0,0,0,0,0,0,0,131,0,K
Matt Prater,DET,UCF,12,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,30,35,0,0,0,0,0,0,0,0,0,0,128,0,K
Dustin Hopkins,WAS,Florida State,5,2013,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,33,38,0,0,0,0,0,0,0,0,0,0,124,0,K
Daniel Carlson,OAK,Auburn,0,2018,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,36,0,0,0,0,0,0,0,0,0,0,124,0,K
Mason Crosby,GNB,Colorado,12,2007,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,28,32,0,0,0,0,0,0,0,0,0,0,123,0,K
Graham Gano,CAR,Florida State,9,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,30,35,0,0,0,0,0,0,0,0,0,0,122,0,K
Josh Lambo,JAC,Texas A&M,4,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,30,34,0,0,0,0,0,0,0,0,0,0,122,0,K
Steven Hauschka,BUF,North Carolina State,11,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,30,34,0,0,0,0,0,0,0,0,0,0,121,0,K
Brandon McManus,DEN,Temple,5,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,28,34,0,0,0,0,0,0,0,0,0,0,121,0,K
Adam Vinatieri,IND,South Dakota State,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,31,35,0,0,0,0,0,0,0,0,0,0,120,0,K
Chandler Catanzaro,CAR,Clemson,5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,28,33,0,0,0,0,0,0,0,0,0,0,125,0,K
Phil Dawson,ARI,Texas,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,32,38,0,0,0,0,0,0,0,0,0,0,118,0,K
Sebastian Janikowski,SEA,Florida State,19,2000,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,29,33,0,0,0,0,0,0,0,0,0,0,117,0,K
Cody Parkey,CHI,Auburn,5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,26,30,0,0,0,0,0,0,0,0,0,0,114,0,K
Randy Bullock,CIN,Texas A&M,7,2012,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,25,30,0,0,0,0,0,0,0,0,0,0,109,0,K
Ryan Succop,TEN,South Carolina,10,2009,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,33,39,0,0,0,0,0,0,0,0,0,0,131,0,K
Aldrick Rosas,NYG,Southern Oregon,2,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,25,31,0,0,0,0,0,0,0,0,0,0,108,0,K
Ka'imi Fairbairn,HOU,UCLA,3,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,28,34,0,0,0,0,0,0,0,0,0,0,111,0,K
Brett Maher,DAL,Nebraska,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,27,33,0,0,0,0,0,0,0,0,0,0,116,0,K
Jason Sanders,MIA,New Mexico,0,2018,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,29,33,0,0,0,0,0,0,0,0,0,0,112,0,K
Mike Nugent,OAK,Ohio State,14,2005,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,8,0,0,0,0,0,0,0,0,0,0,31,0,K
Chris Boswell,PIT,Rice,4,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,39,0,0,0,0,0,0,0,0,0,0,140,0,K
Zane Gonzalez,ARI,Arizona State,2,2017,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,24,29,0,0,0,0,0,0,0,0,0,0,102,0,K
Caleb Sturgis,LAC,Florida,6,2013,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,28,33,0,0,0,0,0,0,0,0,0,0,110,0,K
Dan Bailey,MIN,Oklahoma State,7,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K
Blair Walsh,SEA,Georgia,7,2012,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,17,0,0,0,0,0,0,0,0,0,0,56,0,K
