Player,Team,GP,Pass Att,Pass Comp,Pass Yds,Pass TD,PAT Made,PAT Miss,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,FG Miss 20-29,FG Miss 30-39,FG Miss 40-49,FG Miss 50+,Tack,Ast,POS
Mike Badgley,LAC,10.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,K
Dan Bailey,MIN,13.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,5.0,11.0,4.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,K
Chris Boswell,PIT,15.0,1.0,1.0,2.0,1.0,43.0,5.0,0.0,3.0,4.0,5.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,K
Matt Bryant,ATL,13.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,4.0,5.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,K
Randy Bullock,CIN,16.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,4.0,7.0,6.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,K
Harrison Butker,KC,16.0,0.0,0.0,0.0,0.0,65.0,4.0,0.0,9.0,7.0,6.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,K
Daniel Carlson,OAK,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,3.0,9.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,K
Chandler Catanzaro,CAR,13.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,4.0,9.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,K
Mason Crosby,GB,15.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,4.0,10.0,11.0,5.0,0.0,1.0,4.0,2.0,0.0,0.0,K
Phil Dawson,ARI,8.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,K
Jake Elliott,PHI,16.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,7.0,10.0,7.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,K
Ka'imi Fairbairn,HOU,16.0,0.0,0.0,0.0,0.0,39.0,2.0,1.0,9.0,11.0,12.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,K
Sam Ficken,,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,K
Kai Forbath,JAX,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,K
Graham Gano,CAR,12.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,3.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,K
Zane Gonzalez,ARI,7.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,K
Stephen Gostkowski,NE,16.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,11.0,10.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,K
Robbie Gould,SF,16.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,9.0,13.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,K
Stephen Hauschka,BUF,15.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,3.0,8.0,7.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,K
Dustin Hopkins,WAS,14.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,5.0,7.0,10.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,K
Sebastian Janikowski,SEA,16.0,0.0,0.0,0.0,0.0,48.0,3.0,0.0,2.0,9.0,8.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,K
Greg Joseph,CLE,14.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,4.0,7.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,K
