Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,2034.41,8.03,11.86,583.09,6.36,0.0,0.0,2.14,1.09,QB
Kyle Allen,CAR,1.0,260.28,1.16,1.2,11.3,0.09,0.0,0.0,0.07,0.09,QB
Derek Anderson,BUF,0.0,465.0,0.0,4.0,-1.0,0.0,0.0,0.0,2.0,0.0,QB
Matt Barkley,BUF,1.0,246.73,2.04,0.18,-1.99,0.01,0.0,0.0,0.0,0.03,QB
C.J. Beathard,SF,1.0,1270.12,8.05,7.1,69.0,1.01,0.0,0.0,3.0,2.03,QB
Blake Bortles,JAX,1.0,2822.07,13.99,10.76,371.22,1.14,0.0,0.0,4.07,2.09,QB
Tom Brady,NE,1.0,4357.45,26.77,11.47,36.15,2.07,1.0,6.0,2.03,0.06,QB
Tyler Bray,FA,1.0,24.22,0.1,0.17,0.04,0.02,0.0,0.0,0.01,0.03,QB
Drew Brees,NO,1.0,3992.07,32.01,5.01,22.01,4.01,1.0,1.0,1.0,1.04,QB
Teddy Bridgewater,NO,1.0,252.51,1.63,0.8,15.94,0.23,0.0,0.0,0.09,0.1,QB
Jacoby Brissett,IND,1.0,10.08,0.03,0.04,-6.94,0.01,0.0,0.0,0.01,0.03,QB
Derek Carr,OAK,1.0,4106.36,20.47,8.8,51.15,1.07,1.0,-9.0,6.05,1.09,QB
Matt Cassel,DET,1.0,78.59,0.05,1.07,13.04,0.01,0.0,0.0,0.01,0.05,QB
Kirk Cousins,MIN,1.0,4418.96,30.58,10.85,125.62,1.1,1.0,-1.0,7.07,4.09,QB
Andy Dalton,CIN,0.0,2566.0,21.0,11.0,99.0,0.0,0.0,0.0,0.0,1.0,QB
Chase Daniel,CHI,1.0,532.54,3.1,2.09,3.01,0.01,1.0,8.0,0.01,1.02,QB
Sam Darnold,NYJ,1.0,2933.16,18.34,16.02,127.52,1.13,0.0,0.0,1.1,1.05,QB
Austin Davis,TEN,1.0,9.3,0.03,0.06,0.0,0.01,0.0,0.0,0.01,0.03,QB
Joshua Dobbs,PIT,1.0,53.97,0.07,1.07,11.08,0.02,0.0,0.0,0.01,0.03,QB
Jeff Driskel,CIN,1.0,1101.84,7.16,2.77,134.47,2.14,0.0,0.0,1.08,2.14,QB
David Fales,MIA,1.0,14.54,0.07,0.07,0.0,0.01,0.0,0.0,0.01,0.03,QB
Ryan Fitzpatrick,TB,1.0,2381.71,17.12,12.14,152.17,2.02,0.0,0.0,1.0,1.05,QB
Joe Flacco,BAL,1.0,2495.56,12.08,6.09,45.05,0.01,0.0,0.0,1.01,2.04,QB
Nick Foles,PHI,1.0,1441.04,6.63,3.83,17.46,0.06,1.0,10.0,2.06,0.03,QB
Blaine Gabbert,TEN,1.0,662.91,4.12,2.73,20.86,0.11,0.0,0.0,0.05,0.06,QB
Jimmy Garoppolo,SF,0.0,718.0,5.0,3.0,33.0,0.0,0.0,0.0,0.0,1.0,QB
Garrett Gilbert,CAR,1.0,30.02,0.1,0.14,0.14,0.01,0.0,0.0,0.01,0.04,QB
Mike Glennon,ARI,1.0,184.49,1.04,0.05,0.0,0.0,0.0,0.0,0.0,0.06,QB
Jared Goff,LAR,1.0,4736.02,29.7,12.65,117.15,2.1,0.0,0.0,5.06,3.09,QB
Robert Griffin III,BAL,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Griffin,TB,1.0,20.47,0.06,0.1,0.0,0.01,0.0,0.0,0.01,0.04,QB
Taylor Heinicke,CAR,0.0,320.0,1.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,QB
Chad Henne,KC,1.0,25.96,0.08,0.13,0.15,0.02,0.0,0.0,0.01,0.02,QB
Taysom Hill,NO,1.0,72.03,0.02,1.07,199.45,1.08,2.0,1.0,1.04,0.02,QB
Kevin Hogan,DEN,1.0,9.04,0.03,0.07,0.03,0.01,0.0,0.0,0.01,0.03,QB
Brian Hoyer,NE,1.0,30.26,0.09,0.07,-3.93,0.04,0.0,0.0,0.02,0.01,QB
Brett Hundley,SEA,1.0,8.45,0.07,0.05,0.05,0.02,0.0,0.0,0.01,0.03,QB
Lamar Jackson,BAL,1.0,1191.72,7.01,3.69,678.75,3.42,0.0,0.0,3.15,0.07,QB
Josh Johnson,WAS,1.0,688.04,4.16,3.99,146.88,1.19,0.0,0.0,0.16,2.07,QB
Case Keenum,DEN,1.0,3821.2,18.21,14.91,91.44,2.1,0.0,0.0,1.03,1.03,QB
Cody Kessler,JAX,1.0,725.87,2.03,2.07,123.03,0.01,0.0,0.0,3.01,0.03,QB
DeShone Kizer,GB,1.0,64.97,0.06,1.07,-0.96,0.01,0.0,0.0,1.01,0.03,QB
Kyle Lauletta,NYG,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,4583.16,37.79,15.06,145.94,0.1,1.0,4.0,1.12,2.13,QB
Patrick Mahomes,KC,1.0,5099.58,50.11,11.7,288.72,2.14,0.0,0.0,2.06,2.07,QB
Eli Manning,NYG,1.0,4226.99,20.33,10.64,18.8,1.05,0.0,0.0,3.02,2.06,QB
Sean Mannion,LAR,1.0,32.8,0.1,0.08,-0.52,0.02,0.0,0.0,0.01,0.03,QB
Marcus Mariota,TEN,1.0,2547.8,11.08,8.08,357.3,2.02,1.0,21.0,2.01,1.03,QB
Baker Mayfield,CLE,1.0,3589.99,25.48,11.98,145.94,0.1,0.0,0.0,3.09,6.15,QB
AJ McCarron,OAK,1.0,20.96,0.04,0.06,-2.0,0.0,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,549.48,1.03,4.05,32.02,0.0,0.0,0.0,0.0,0.02,QB
Colt McCoy,WAS,0.0,372.0,3.0,3.0,63.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Mullens,SF,1.0,2250.72,11.56,8.0,-7.06,0.08,0.0,0.0,0.05,0.07,QB
Cam Newton,CAR,0.0,3395.0,24.0,13.0,488.0,4.0,0.0,0.0,0.0,3.0,QB
Brock Osweiler,MIA,1.0,1258.99,6.04,4.11,21.28,0.01,0.0,0.0,2.0,1.06,QB
Nathan Peterman,OAK,0.0,296.0,1.0,7.0,50.0,1.0,0.0,0.0,0.0,1.0,QB
Dak Prescott,DAL,1.0,3614.57,18.9,8.37,310.86,6.11,0.0,0.0,6.02,1.07,QB
Philip Rivers,LAC,1.0,4393.09,32.7,10.7,8.0,0.03,0.0,0.0,1.02,6.16,QB
Aaron Rodgers,GB,1.0,4671.05,26.83,2.63,287.24,2.15,0.0,0.0,3.05,3.13,QB
Ben Roethlisberger,PIT,1.0,5138.1,34.95,15.7,102.23,3.11,1.0,-1.0,2.04,5.22,QB
Josh Rosen,ARI,1.0,2309.8,10.9,14.88,147.77,0.1,0.0,0.0,3.06,1.09,QB
Cooper Rush,DAL,1.0,63.41,0.18,0.42,3.2,0.04,0.0,0.0,0.02,0.03,QB
Matt Ryan,ATL,1.0,4827.99,34.91,6.59,125.21,3.11,0.0,0.0,5.06,5.09,QB
