Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
Player Note P. Mahomes KC - QB Final (W) 35-3 vs Oak,12,1,1,580,60.0,383,197,5097,272.0,0.0,0.0,50.0,2.0,0.0,0.0,12.0,1.0,26.0,237.0,18.0,0.0,15.0,580,60.0,5097,272.0,0.0,0.0,50.0,2.0,0.0,0.0,237.0,18.0,0.0,0.0,0.0,0.0,5097,272.0,0.0,0.0,50.0,2.0,0.0,0.0,237.0,18.0,0.0,0.0,5097,272.0,0.0,0.0,50.0,2.0,0.0,0.0,1.0,9.0,2.0,QB
No new player Notes M. Ryan Atl - QB Final (W) 34-32 @ TB,8,3,2,608,33.0,422,186,4924,125.0,5.0,0.0,35.0,3.0,1.0,0.0,7.0,1.0,42.0,236.0,15.0,1.0,9.0,608,33.0,4924,125.0,5.0,0.0,35.0,3.0,1.0,0.0,236.0,15.0,1.0,0.0,1.0,1.0,4924,125.0,5.0,0.0,35.0,3.0,1.0,0.0,236.0,15.0,1.0,0.0,4924,125.0,5.0,0.0,35.0,3.0,1.0,0.0,2.0,10.0,5.0,QB
No new player Notes B. Roethlisberger Pit - QB Final (W) 16-13 vs Cin,7,2,3,675,31.0,452,223,5129,98.0,-1.0,0.0,34.0,3.0,0.0,0.0,16.0,1.0,24.0,248.0,13.0,0.0,16.0,675,31.0,5129,98.0,-1.0,0.0,34.0,3.0,0.0,0.0,248.0,13.0,0.0,0.0,1.0,1.0,5129,98.0,-1.0,0.0,34.0,3.0,0.0,0.0,248.0,13.0,0.0,0.0,5129,98.0,-1.0,0.0,34.0,3.0,0.0,0.0,4.0,7.0,2.0,QB
Player Note A. Luck Ind - QB Final (W) 33-17 @ Ten,9,5,4,639,46.0,430,209,4593,148.0,4.0,0.0,39.0,0.0,0.0,0.0,15.0,2.0,18.0,236.0,12.0,1.0,7.0,639,46.0,4593,148.0,4.0,0.0,39.0,0.0,0.0,0.0,236.0,12.0,1.0,0.0,2.0,1.0,4593,148.0,4.0,0.0,39.0,0.0,0.0,0.0,236.0,12.0,1.0,0.0,4593,148.0,4.0,0.0,39.0,0.0,0.0,0.0,2.0,6.0,1.0,QB
No new player Notes D. Watson Hou - QB Final (W) 20-3 vs Jax,10,7,6,505,99.0,345,160,4165,551.0,0.0,0.0,26.0,5.0,0.0,0.0,9.0,0.0,62.0,202.0,33.0,0.0,8.0,505,99.0,4165,551.0,0.0,0.0,26.0,5.0,0.0,0.0,202.0,33.0,0.0,0.0,0.0,0.0,4165,551.0,0.0,0.0,26.0,5.0,0.0,0.0,202.0,33.0,0.0,0.0,4165,551.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,9.0,3.0,QB
Player Note J. Goff LAR - QB Final (W) 48-32 vs SF,12,10,9,561,43.0,364,197,4688,108.0,0.0,0.0,32.0,2.0,0.0,0.0,12.0,0.0,33.0,233.0,9.0,0.0,9.0,561,43.0,4688,108.0,0.0,0.0,32.0,2.0,0.0,0.0,233.0,9.0,0.0,0.0,0.0,0.0,4688,108.0,0.0,0.0,32.0,2.0,0.0,0.0,233.0,9.0,0.0,0.0,4688,108.0,0.0,0.0,32.0,2.0,0.0,0.0,3.0,12.0,5.0,QB
No new player Notes A. Rodgers GB - QB Q Final (L) 31-0 vs Det,7,9,10,597,43.0,372,225,4442,269.0,0.0,0.0,25.0,2.0,0.0,0.0,2.0,0.0,49.0,200.0,20.0,0.0,16.0,597,43.0,4442,269.0,0.0,0.0,25.0,2.0,0.0,0.0,200.0,20.0,0.0,0.0,0.0,0.0,4442,269.0,0.0,0.0,25.0,2.0,0.0,0.0,200.0,20.0,0.0,0.0,4442,269.0,0.0,0.0,25.0,2.0,0.0,0.0,3.0,6.0,3.0,QB
Player Note D. Brees NO - QB Final (L) 33-14 vs Car,6,11,11,489,31.0,364,125,3992,22.0,1.0,0.0,32.0,4.0,0.0,0.0,5.0,0.0,17.0,199.0,11.0,0.0,6.0,489,31.0,3992,22.0,1.0,0.0,32.0,4.0,0.0,0.0,199.0,11.0,0.0,0.0,1.0,1.0,3992,22.0,1.0,0.0,32.0,4.0,0.0,0.0,199.0,11.0,0.0,0.0,3992,22.0,1.0,0.0,32.0,4.0,0.0,0.0,1.0,5.0,1.0,QB
No new player Notes R. Wilson Sea - QB Final (W) 27-24 vs Ari,7,13,13,427,67.0,280,147,3448,376.0,-11.0,0.0,35.0,0.0,0.0,0.0,7.0,2.0,51.0,156.0,23.0,0.0,13.0,427,67.0,3448,376.0,-11.0,0.0,35.0,0.0,0.0,0.0,156.0,23.0,0.0,1.0,1.0,1.0,3448,376.0,-11.0,0.0,35.0,0.0,0.0,0.0,156.0,23.0,0.0,0.0,3448,376.0,-11.0,0.0,35.0,0.0,0.0,0.0,1.0,10.0,2.0,QB
Player Note P. Rivers LAC - QB Q Final (W) 23-9 @ Den,8,12,14,508,18.0,347,161,4308,7.0,0.0,0.0,32.0,0.0,0.0,0.0,12.0,1.0,32.0,213.0,1.0,0.0,10.0,508,18.0,4308,7.0,0.0,0.0,32.0,0.0,0.0,0.0,213.0,1.0,0.0,0.0,0.0,0.0,4308,7.0,0.0,0.0,32.0,0.0,0.0,0.0,213.0,1.0,0.0,0.0,4308,7.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,2.0,1.0,QB
No new player Notes K. Cousins Min - QB Final (L) 24-10 vs Chi,10,15,15,606,44.0,425,181,4298,123.0,-1.0,0.0,30.0,1.0,0.0,0.0,10.0,3.0,40.0,218.0,12.0,0.0,7.0,606,44.0,4298,123.0,-1.0,0.0,30.0,1.0,0.0,0.0,218.0,12.0,0.0,0.0,1.0,1.0,4298,123.0,-1.0,0.0,30.0,1.0,0.0,0.0,218.0,12.0,0.0,0.0,4298,123.0,-1.0,0.0,30.0,1.0,0.0,0.0,3.0,9.0,7.0,QB
