Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Saquon Barkley,RB,NYG,0,0,0,1336,9,38,351,2
Todd Gurley,RB,LAR,0,0,0,1264,14,61,671,2
Christian McCaffrey,RB,CAR,0,0,0,603,2,86,671,6
Ezekiel Elliott,RB,DAL,0,0,0,1549,12,41,422,2
Alvin Kamara,RB,NO,0,0,0,959,7,86,842,5
Melvin Gordon,RB,LAC,0,0,0,1244,9,56,448,3
Joe Mixon,RB,CIN,0,0,0,1103,7,43,388,1
Dalvin Cook,RB,MIN,0,0,0,1231,9,41,329,1
Leonard Fournette,RB,JAX,0,0,0,1316,11,48,391,1
David Johnson,RB,ARI,0,0,0,1277,13,77,811,3
Devonta Freeman,RB,ATL,0,0,0,1055,9,48,418,2
Derrick Henry,RB,TEN,0,0,0,911,6,29,297,1
LeSean McCoy,RB,BUF,0,0,0,1016,7,50,376,1
Phillip Lindsay,RB,DEN,0,0,0,0,0,0,0,0
Damien Williams,RB,KC,0,0,0,0,0,0,0,0
Jordan Howard,RB,CHI,0,0,0,1268,9,26,169,1
Mark Ingram,RB,NO,0,0,0,849,6,36,313,1
Dion Lewis,RB,TEN,0,0,0,913,4,41,303,2
Chris Carson,RB,SEA,0,0,0,856,6,31,255,1
Chris Thompson,RB,WAS,0,0,0,388,2,61,556,4
Duke Johnson,RB,CLE,0,0,0,351,2,64,596,3
Kenyan Drake,RB,MIA,0,0,0,1009,6,48,364,1
Isaiah Crowell,RB,NYJ,0,0,0,919,6,31,233,1
Sony Michel,RB,NE,0,0,0,778,4,37,395,3
Lamar Miller,RB,HOU,0,0,0,842,5,31,294,1
Royce Freeman,RB,DEN,0,0,0,908,7,33,259,1
Rex Burkhead,RB,NE,0,0,0,394,4,36,306,2
C.J. Anderson,RB,LAR,0,0,0,911,6,21,192,1
Kerryon Johnson,RB,DET,0,0,0,749,5,14,133,0
D'Onta Foreman,RB,HOU,0,0,0,862,6,29,263,1
Tevin Coleman,RB,ATL,0,0,0,611,6,30,322,6
Theo Riddick,RB,DET,0,0,0,302,1,59,472,3
Jamaal Williams,RB,GB,0,0,0,819,6,26,231,1
Marshawn Lynch,RB,OAK,0,0,0,711,6,18,144,0
Peyton Barber,RB,TB,0,0,0,819,5,26,231,1
Tarik Cohen,RB,CHI,0,0,0,381,2,56,392,2
Marlon Mack,RB,IND,0,0,0,646,4,31,316,1
Alfred Morris,RB,SF,0,0,0,381,1,3,14,0
Nick Chubb,RB,CLE,0,0,0,703,5,15,113,0
James White,RB,NE,0,0,0,162,1,44,414,3
Adrian Peterson,RB,WAS,0,0,0,511,3,7,44,0
Jordan Wilkins,RB,IND,0,0,0,377,2,17,151,1
Matt Breida,RB,SF,0,0,0,341,1,20,183,0
Devontae Booker,RB,DEN,0,0,0,717,4,36,329,1
Carlos Hyde,RB,JAX,0,0,0,902,6,34,224,1
Aaron Jones,RB,GB,0,0,0,519,3,18,151,1
Latavius Murray,RB,MIN,0,0,0,439,2,6,42,0
Ty Montgomery,RB,BAL,0,0,0,244,2,33,266,1
Rashaad Penny,RB,SEA,0,0,0,661,4,22,191,0
Javorius Allen,RB,BAL,0,0,0,391,1,38,233,2
T.J. Yeldon,RB,JAX,0,0,0,332,1,41,291,1
Ronald Jones,RB,TB,0,0,0,461,2,12,96,0
Doug Martin,RB,OAK,0,0,0,439,2,13,106,0
Chase Edmonds,RB,ARI,0,0,0,339,2,15,136,0
Austin Ekeler,RB,LAC,0,0,0,317,2,29,289,2
Giovani Bernard,RB,CIN,0,0,0,342,2,32,288,1
Nyheim Hines,RB,IND,0,0,0,359,2,29,329,2
Bilal Powell,RB,NYJ,0,0,0,449,2,25,188,1
Corey Clement,RB,PHI,0,0,0,482,3,17,172,1
Ameer Abdullah,RB,MIN,0,0,0,411,2,26,171,1
LeGarrette Blount,RB,DET,0,0,0,616,4,9,62,0
Jalen Richard,RB,OAK,0,0,0,342,1,30,244,1
Frank Gore,RB,MIA,0,0,0,419,1,11,75,0
Wayne Gallman,RB,NYG,0,0,0,343,1,29,194,1
Kalen Ballage,RB,MIA,0,0,0,416,3,18,171,0
Spencer Ware,RB,KC,0,0,0,372,2,16,144,0
Elijah McGuire,RB,NYJ,0,0,0,322,1,29,283,1
Jonathan Stewart,RB,NYG,0,0,0,713,5,11,93,0
Kyle Juszczyk,RB,SF,0,0,0,26,0,38,304,2
Darren Sproles,RB,PHI,0,0,0,219,1,26,213,1
Samaje Perine,RB,WAS,0,0,0,633,3,23,194,1
Tyler Ervin,RB,BAL,0,0,0,131,1,31,214,1
Kenneth Dixon,RB,BAL,0,0,0,266,1,22,154,1
Mark Walton,RB,CIN,0,0,0,239,1,19,211,1
DeAndre Washington,RB,OAK,0,0,0,241,2,41,266,1
Boston Scott,RB,PHI,0,0,0,235,1,19,182,1
Ito Smith,RB,ATL,0,0,0,351,2,11,90,0
John Kelly,RB,LAR,0,0,0,277,1,14,122,1
Chris Ivory,RB,BUF,0,0,0,322,1,15,121,0
J.D. McKissic,RB,SEA,0,0,0,194,0,39,311,2
Charcandrick West,RB,KC,0,0,0,131,1,22,154,1
Wendell Smallwood,RB,PHI,0,0,0,218,1,19,154,0
Corey Grant,RB,JAX,0,0,0,327,2,8,69,0
Alfred Blue,RB,HOU,0,0,0,359,1,10,66,0
Trenton Cannon,RB,NYJ,0,0,0,244,1,14,126,0
Gus Edwards,RB,BAL,0,0,0,0,0,0,0,0
James Conner,RB,PIT,0,0,0,328,2,5,39,0
Matt Dayes,RB,SF,0,0,0,111,1,19,149,0
Elijhaa Penny,RB,NYG,0,0,0,246,2,7,68,0
Kapri Bibbs,RB,GB,0,0,0,131,1,16,146,0
Rob Kelley,RB,WAS,0,0,0,261,2,7,39,0
Jaylen Samuels,RB,PIT,0,0,0,0,0,24,246,1
Benny Cunningham,RB,CHI,0,0,0,62,0,19,171,1
Jacquizz Rodgers,RB,TB,0,0,0,226,1,11,86,0
