Player,POS,Team,Receptions,Rec Yds,Rec TD,Bye
Rob Gronkowski,TE,NE,81,1140,9,11
Travis Kelce,TE,KC,87,1056,7,12
Zach Ertz,TE,PHI,75,845,6,9
Evan Engram,TE,NYG,60,716,5,9
Delanie Walker,TE,TEN,61,713,5,8
Jimmy Graham,TE,GB,52,516,7,7
Kyle Rudolph,TE,MIN,53,549,6,10
Trey Burton,TE,CHI,57,665,4,5
Greg Olsen,TE,CAR,56,656,4,4
Jack Doyle,TE,IND,66,605,4,9
David Njoku,TE,CLE,50,585,4,11
George Kittle,TE,SF,44,513,5,11
Vance McDonald,TE,PIT,51,556,4,7
Charles Clay,TE,BUF,51,545,4,11
Jared Cook,TE,OAK,43,545,4,7
Eric Ebron,TE,IND,50,515,4,9
Cameron Brate,TE,TB,43,506,4,5
Austin Hooper,TE,ATL,44,505,4,8
Jordan Reed,TE,WAS,47,550,3,4
O.J. Howard,TE,TB,38,485,4,5
Ricky Seals-Jones,TE,ARI,39,456,4,9
Tyler Eifert,TE,CIN,40,455,4,9
Antonio Gates,TE,LAC,40,416,4,8
Nick Vannett,TE,SEA,41,454,3,7
Vernon Davis,TE,WAS,36,429,3,4
Mike Gesicki,TE,MIA,38,427,3,11
Benjamin Watson,TE,NO,40,417,3,6
Austin Seferian-Jenkins,TE,JAX,42,451,2,9
Jake Butt,TE,DEN,32,356,3,10
Garrett Celek,TE,SF,30,366,2,11
Hayden Hurst,TE,BAL,33,335,2,10
Luke Willson,TE,DET,33,326,2,6
Nick Boyle,TE,BAL,35,325,2,10
Tyler Higbee,TE,LAR,29,315,2,12
Dallas Goedert,TE,PHI,29,305,2,9
Blake Jarwin,TE,DAL,27,300,2,8
Marcedes Lewis,TE,GB,23,235,3,7
Ryan Griffin,TE,HOU,27,286,2,10
Chris Herndon,TE,NYJ,27,285,2,11
Tyler Kroft,TE,CIN,24,256,2,9
Jonnu Smith,TE,TEN,23,248,2,8
Gerald Everett,TE,LAR,23,225,2,12
Levine Toilolo,TE,DET,25,245,1,6
Jordan Akins,TE,HOU,25,245,1,10
Logan Thomas,TE,BUF,20,245,1,11
Jesse James,TE,PIT,23,235,1,7
Virgil Green,TE,LAC,24,225,1,8
Jermaine Gresham,TE,ARI,20,215,1,9
Adam Shaheen,TE,CHI,19,205,1,5
Jordan Leggett,TE,NYJ,18,189,1,11
Jeff Heuerman,TE,DEN,16,188,1,10
Dwayne Allen,TE,NE,11,125,2,11
Demetrius Harris,TE,KC,17,182,1,12
Josh Hill,TE,NO,16,182,1,6
Seth DeValve,TE,CLE,15,156,1,11
Will Dissly,TE,SEA,16,155,1,7
Lance Kendricks,TE,GB,14,146,1,7
James O'Shaughnessy,TE,JAX,15,145,1,9
Ian Thomas,TE,CAR,13,135,1,4
David Morgan,TE,MIN,11,127,1,10
Geoff Swaim,TE,DAL,11,124,1,8
Ed Dickson,TE,SEA,12,115,1,7
Erik Swoope,TE,IND,10,100,1,9
A.J. Derby,TE,MIA,9,86,1,11
Logan Paulsen,TE,ATL,8,85,1,8
Richard Rodgers,TE,PHI,8,84,1,9
Maxx Williams,TE,BAL,12,118,0,10
Rico Gathers,TE,DAL,5,56,1,8
Tyler Conklin,TE,MIN,7,86,0,10
C.J. Uzomah,TE,CIN,9,82,0,9
Dalton Schultz,TE,DAL,7,77,0,8
Michael Roberts,TE,DET,7,77,0,6
Lee Smith,TE,OAK,5,55,0,7
Rhett Ellison,TE,NYG,4,41,0,9
Daniel Brown,TE,CHI,3,39,0,5
