Player,Team,GP,Pass Yds,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,POS
Jordan Akins,HOU,1.0,0.0,0.02,0.0,17.99,236.71,0.09,0.0,0.0,TE
Mo Alie-Cox,IND,1.0,0.0,0.14,0.0,7.16,126.85,2.11,0.0,0.0,TE
Dwayne Allen,NE,1.0,0.0,0.11,0.0,3.61,31.85,0.05,0.0,0.0,TE
Mark Andrews,BAL,1.0,0.0,0.13,0.0,31.58,518.98,3.15,0.0,0.0,TE
Dan Arnold,NO,1.0,0.0,0.14,0.0,13.55,170.76,1.15,0.0,0.0,TE
Antony Auclair,TB,1.0,0.0,0.03,0.0,7.37,50.61,0.03,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,0.03,0.0,7.84,73.84,0.05,0.0,0.0,TE
Nick Boyle,BAL,1.0,0.0,0.05,0.0,24.21,224.75,0.07,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.06,0.0,30.54,278.29,6.23,1.0,0.0,TE
Ben Braunecker,CHI,1.0,0.0,0.1,0.0,3.39,45.91,0.04,0.0,0.0,TE
Daniel Brown,CHI,1.0,0.0,0.1,0.0,0.31,2.45,0.03,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,2.0,0.0,51.73,565.69,6.23,1.0,1.0,TE
Jake Butt,DEN,0.0,0.0,0.0,0.0,8.0,85.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.02,0.0,7.5,70.31,1.04,0.0,0.0,TE
Garrett Celek,SF,0.0,0.0,0.0,0.0,5.0,90.0,2.0,0.0,0.0,TE
Orson Charles,CLE,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,TE
Charles Clay,BUF,0.0,0.0,0.0,0.0,21.0,184.0,0.0,1.0,0.0,TE
Tyler Conklin,MIN,1.0,0.0,0.03,0.0,5.34,81.07,0.04,0.0,0.0,TE
Jared Cook,OAK,1.0,0.0,0.05,0.0,68.67,916.19,6.33,0.0,0.0,TE
Jason Croom,BUF,1.0,0.0,0.11,0.0,22.51,257.15,1.13,2.0,0.0,TE
Alan Cross,TB,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,TE
Sean Culkin,LAC,1.0,0.0,0.06,0.0,1.42,30.32,0.04,0.0,0.0,TE
Jerome Cunningham,DET,1.0,0.0,0.06,0.0,0.85,7.98,0.06,0.0,0.0,TE
Darrell Daniels,ARI,1.0,0.0,0.03,0.0,0.05,0.51,0.01,0.0,0.0,TE
Vernon Davis,WAS,0.0,0.0,0.0,0.0,25.0,367.0,2.0,0.0,1.0,TE
A.J. Derby,MIA,0.0,0.0,0.0,0.0,3.0,48.0,1.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,0.0,0.02,0.0,5.45,79.1,1.05,0.0,0.0,TE
Garrett Dickerson,NYG,1.0,0.0,0.04,0.0,0.15,1.72,0.02,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.07,0.0,13.58,162.61,3.14,0.0,0.0,TE
Will Dissly,SEA,0.0,0.0,0.0,0.0,8.0,156.0,2.0,0.0,0.0,TE
Jack Doyle,IND,0.0,0.0,0.0,0.0,26.0,245.0,2.0,1.0,0.0,TE
Ross Dwelley,SF,1.0,0.0,0.02,0.0,1.5,11.54,0.04,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,-6.61,1.01,66.28,736.61,12.38,1.0,0.0,TE
Tyler Eifert,CIN,0.0,0.0,0.0,0.0,15.0,179.0,1.0,0.0,0.0,TE
Alex Ellis,KC,12.0,0.0,0.32,0.0,0.86,9.04,0.19,0.0,0.0,TE
Rhett Ellison,NYG,0.0,0.0,0.0,0.0,25.0,272.0,1.0,0.0,1.0,TE
Evan Engram,NYG,1.0,0.0,39.49,0.02,44.89,555.88,2.4,0.0,0.0,TE
Donnie Ernsberger,TB,1.0,0.0,0.05,0.0,0.35,3.7,0.04,0.0,0.0,TE
Zach Ertz,PHI,1.0,0.0,0.07,0.0,118.88,1210.27,8.45,0.0,0.0,TE
Gerald Everett,LA,1.0,0.0,17.68,0.01,36.21,355.4,3.25,0.0,1.0,TE
Darren Fells,CLE,1.0,0.0,0.05,0.0,10.56,119.42,3.06,0.0,0.0,TE
Anthony Firkser,TEN,1.0,0.0,0.02,0.0,19.62,235.96,1.12,0.0,0.0,TE
Matt Flanagan,WAS,1.0,0.0,0.04,0.0,0.66,7.13,0.05,0.0,0.0,TE
Jordan Franks,CIN,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,0.0,0.09,0.0,29.24,350.25,2.08,1.0,2.0,TE
Rico Gathers,DAL,1.0,0.0,0.02,0.0,3.21,47.02,0.03,0.0,0.0,TE
Mike Gesicki,MIA,1.0,0.0,0.03,0.0,21.74,192.12,0.06,1.0,0.0,TE
Dallas Goedert,PHI,1.0,0.0,0.06,0.0,31.85,325.78,4.13,0.0,0.0,TE
Jimmy Graham,GB,1.0,0.0,0.11,0.0,54.9,647.26,2.21,0.0,0.0,TE
Virgil Green,LAC,1.0,0.0,0.1,0.0,20.37,225.77,1.1,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.06,0.0,9.88,104.33,0.08,1.0,0.0,TE
Ryan Griffin,HOU,1.0,0.0,0.04,0.0,25.13,318.76,0.11,0.0,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.03,0.0,5.27,73.17,0.04,1.0,0.0,TE
Rob Gronkowski,NE,1.0,0.0,0.16,0.0,47.57,692.93,3.23,1.0,0.0,TE
Clark Harris,CIN,1.0,0.0,0.03,0.0,0.05,0.62,0.01,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.1,0.0,12.95,175.03,3.08,0.0,0.0,TE
Temarrick Hemingway,DEN,1.0,0.0,0.02,0.0,0.21,3.08,0.03,0.0,0.0,TE
Chris Herndon,NYJ,1.0,0.0,0.05,0.0,41.92,544.45,4.29,0.0,0.0,TE
Jeff Heuerman,DEN,0.0,0.0,0.0,0.0,31.0,281.0,2.0,0.0,0.0,TE
Ryan Hewitt,IND,1.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.07,0.0,24.46,273.6,2.1,0.0,0.0,TE
Josh Hill,NO,1.0,0.0,6.12,0.0,17.62,203.09,1.11,0.0,0.0,TE
Jacob Hollister,NE,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,TE
Gabe Holmes,ARI,8.0,0.0,0.23,0.0,0.74,4.28,0.14,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.02,0.0,69.22,624.04,4.22,0.0,1.0,TE
O.J. Howard,TB,0.0,0.0,0.0,0.0,34.0,565.0,5.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,0.0,0.1,0.0,11.86,130.32,1.06,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.03,0.0,31.13,434.73,2.11,0.0,0.0,TE
Blake Jarwin,DAL,1.0,0.0,0.12,0.0,21.34,203.26,0.09,1.0,0.0,TE
