Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Travis Kelce,KAN,Cincinnati,6,2013,3,1,0,0,0,0,0,0,0,86,1121,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.5,0,TE
Zach Ertz,PHI,Stanford,6,2013,2,3,0,0,0,0,0,0,0,83,929,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.9,0,TE
George Kittle,SFO,Iowa,2,2017,5,2,0,0,0,0,0,0,0,58,584,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4,0,TE
David Njoku,CLE,Miami (FL),2,2017,1,29,0,0,0,0,0,0,0,51,671,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.1,0,TE
Rob Gronkowski,NWE,Arizona,9,2010,2,10,0,0,0,0,0,0,0,76,1131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.1,0,TE
O.J. Howard,TAM,Alabama,2,2017,1,19,0,0,0,0,0,0,0,41,616,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.6,0,TE
Evan Engram,NYG,Mississippi,2,2017,1,23,0,0,0,0,0,0,0,61,709,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.9,0,TE
Jared Cook,OAK,South Carolina,10,2009,3,25,0,0,0,0,0,0,0,51,629,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.9,0,TE
Greg Olsen,CAR,Miami (FL),12,2007,1,31,0,0,0,0,0,0,0,71,884,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.4,0,TE
Delanie Walker,TEN,Central Missouri,13,2006,6,6,0,0,0,0,0,0,0,69,781,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.1,0,TE
