Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Antonio Brown, Pit WR",0/0,0,0,0,0,0,0,110.9,1584.9,8.6,321.9,WR
"Julio Jones, Atl WR",0/0,0,0,0,2,12.4,0.1,94.6,1489.1,7.8,291.7,WR
"DeAndre Hopkins, Hou WR Q",0/0,0,0,0,0,0,0,94.3,1320.3,9.2,281.3,WR
"Keenan Allen, LAC WR",0/0,0,0,0,2.1,12.7,0,101.6,1309.9,7.6,278.7,WR
"Michael Thomas, NO WR",0/0,0,0,0,0,0,0,100.4,1270.4,8.5,278.1,WR
"Odell Beckham Jr., NYG WR Q",0/0,0,0,0,3.5,20.6,0.1,98.4,1288,7.7,275.8,WR
"A.J. Green*, Cin WR IR",0/0,0,0,0,0,0,0,89.7,1298.2,8,266.3,WR
"Davante Adams, GB WR Q",0/0,0,0,0,0,0,0,86.1,1084.5,9.5,251.5,WR
"Larry Fitzgerald, Ari WR",0/0,0,0,0,0,0,0,103.8,1058.6,5.5,241.9,WR
"T.Y. Hilton, Ind WR Q",0/0,0,0,0,0,0,0,75.1,1249,7,241.1,WR
"Adam Thielen, Min WR",0/0,0,0,0,2.1,12.9,0,82.3,1142.1,6.5,236,WR
"Mike Evans, TB WR",0/0,0,0,0,0,0,0,75.7,1059,8.3,231.8,WR
"Tyreek Hill, KC WR",0/0,0,0,0,18.2,122.7,0.6,80,1036.2,4.8,231.3,WR
"Stefon Diggs, Min WR",0/0,0,0,0,8.3,47.2,0.2,82.7,1044.5,5.8,227.4,WR
"Demaryius Thomas*, Hou WR IR",0/0,0,0,0,0,0,0,88.1,1026,6.2,227.2,WR
"Doug Baldwin, Sea WR",0/0,0,0,0,4.1,22.5,0.1,80.2,1032.4,6.3,224.2,WR
"Allen Robinson, Chi WR",0/0,0,0,0,0,0,0,72.5,1044.9,7.6,222.2,WR
"Amari Cooper, Dal WR",0/0,0,0,0,1.8,11.3,0,79.3,1060.7,5.9,221.7,WR
"Golden Tate, Phi WR",0/0,0,0,0,5.3,28.2,0.1,88.9,990.6,4.2,215.9,WR
"Jarvis Landry, Cle WR",0/0,0,0,0,1.9,10.3,0,89.4,893.2,5,209.2,WR
"Marvin Jones Jr.*, Det WR IR",0/0,0,0,0,0,0,0,61.7,987.8,7.4,204.8,WR
"JuJu Smith-Schuster, Pit WR",0/0,0,0,0,0,0,0,71.6,919.1,6,200.1,WR
"Josh Gordon, NE WR SSPD",0/0,0,0,0,1.9,11.7,0,62.3,985,6.3,200,WR
"Chris Hogan, NE WR",0/0,0,0,0,5.2,32.2,0.2,60.7,913.9,7.1,198.5,WR
"Corey Davis, Ten WR",0/0,0,0,0,0,0,0,71.8,907,5.8,196.8,WR
"Brandin Cooks, LAR WR",0/0,0,0,0,8.2,46.8,0.3,63.7,947.4,5.3,196.3,WR
"Michael Crabtree, Bal WR",0/0,0,0,0,0,0,0,77.2,828.1,5.9,194.9,WR
