Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Bye
Antonio Brown,WR,PIT,0,0,101,1366,10,7
DeAndre Hopkins,WR,HOU,0,0,92,1266,11,10
Julio Jones,WR,ATL,0,0,96,1517,6,8
Odell Beckham,WR,NYG,16,0,92,1275,9,9
Davante Adams,WR,GB,0,0,85,1126,9,7
Michael Thomas,WR,NO,0,0,97,1188,7,6
Tyreek Hill,WR,KC,85,1,74,1015,7,12
A.J. Green,WR,CIN,0,0,77,1096,8,9
Keenan Allen,WR,LAC,0,0,90,1206,6,8
Mike Evans,WR,TB,0,0,78,1082,7,5
Doug Baldwin,WR,SEA,0,0,80,1046,7,7
Stefon Diggs,WR,MIN,16,0,80,1040,6,10
Allen Robinson,WR,CHI,0,0,72,968,7,5
T.Y. Hilton,WR,IND,0,0,70,1085,5,9
JuJu Smith-Schuster,WR,PIT,0,0,68,945,7,7
Larry Fitzgerald,WR,ARI,0,0,92,989,6,9
Marquise Goodwin,WR,SF,36,0,59,885,6,11
Chris Hogan,WR,NE,0,0,67,905,6,11
Adam Thielen,WR,MIN,0,0,69,945,5,10
Robby Anderson,WR,NYJ,23,0,62,860,6,11
Michael Crabtree,WR,BAL,0,0,74,878,6,10
Brandin Cooks,WR,LAR,65,1,54,813,5,12
Devin Funchess,WR,CAR,0,0,63,865,6,4
Marvin Jones,WR,DET,0,0,54,855,6,6
Emmanuel Sanders,WR,DEN,0,0,63,845,5,10
Kenny Stills,WR,MIA,0,0,60,845,5,11
Jarvis Landry,WR,CLE,0,0,68,845,5,11
Randall Cobb,WR,GB,36,0,69,716,6,7
Cooper Kupp,WR,LAR,0,0,62,802,5,12
Keelan Cole,WR,JAX,0,0,50,802,5,9
Pierre Garcon,WR,SF,0,0,63,797,5,11
Corey Davis,WR,TEN,0,0,62,771,5,8
Robert Woods,WR,LAR,15,0,56,755,5,12
Sammy Watkins,WR,KC,0,0,54,764,5,12
Jamison Crowder,WR,WAS,0,0,71,813,4,4
Alshon Jeffery,WR,PHI,0,0,55,731,5,9
Nelson Agholor,WR,PHI,0,0,65,725,5,9
Tyrell Williams,WR,LAC,0,0,45,705,5,8
Dede Westbrook,WR,JAX,0,0,58,765,4,9
Tyler Lockett,WR,SEA,65,1,46,632,4,7
Jordy Nelson,WR,OAK,0,0,56,690,5,7
DeSean Jackson,WR,TB,27,0,42,645,5,5
Julian Edelman,WR,NE,36,0,59,692,4,11
Danny Amendola,WR,MIA,0,0,73,759,3,11
Will Fuller,WR,HOU,0,0,43,636,5,10
Allen Hurns,WR,DAL,0,0,56,688,4,8
DeVante Parker,WR,MIA,0,0,52,677,4,11
Mohamed Sanu,WR,ATL,0,0,63,677,4,8
Josh Doctson,WR,WAS,0,0,44,615,5,4
Ted Ginn,WR,NO,0,0,46,660,4,6
Kenny Golladay,WR,DET,0,0,36,562,5,6
