Player,Team,GP,Pass Yds,Pass TD,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.0,0.0,0.05,0.0,117.14,1470.43,13.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,15.0,0.0,33.35,0.01,61.95,737.55,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,0.0,0.0,75.81,0.0,98.79,1211.82,6.48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geronimo Allison,GB,0.0,0.0,0.0,0.0,0.0,20.0,303.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,28.0,1.0,0.62,0.03,58.45,590.15,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,0.0,0.0,-7.79,0.0,51.28,797.03,6.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcell Ateman,OAK,1.0,0.0,0.0,0.13,0.0,16.33,179.63,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tavon Austin,DAL,1.0,0.0,0.0,63.7,0.07,7.68,138.12,2.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.0,0.0,0.13,0.0,51.79,656.65,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Batson,TEN,1.0,0.0,0.0,1.1,0.0,8.39,86.96,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.0,0.0,0.33,0.0,61.56,604.34,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Odell Beckham,NYG,0.0,106.0,2.0,19.0,0.0,77.0,1052.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Beebe,MIN,0.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.0,0.0,0.37,0.0,14.42,130.4,1.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.0,0.0,0.3,0.0,24.77,382.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,0.0,0.0,32.02,0.01,13.48,206.44,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Saeed Blacknall,OAK,6.0,0.0,0.0,2.22,0.01,5.19,68.66,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Victor Bolden,BUF,1.0,0.0,0.0,0.1,0.0,1.27,13.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kendrick Bourne,SF,1.0,0.0,0.0,0.08,0.0,40.75,479.18,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Boyd,CIN,0.0,0.0,0.0,3.0,0.0,76.0,1028.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Brown,PIT,1.0,0.0,0.0,0.19,0.0,110.36,1382.16,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaron Brown,SEA,1.0,0.0,0.0,0.03,0.0,13.63,167.87,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,0.0,0.0,4.79,0.0,43.06,743.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Noah Brown,DAL,1.0,0.0,0.0,0.02,0.0,4.58,58.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Martavis Bryant,OAK,0.0,0.0,0.0,23.0,0.0,19.0,266.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deontay Burnett,NYJ,1.0,0.0,0.0,0.11,0.0,6.4,87.6,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deante Burton,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,WR,0.0
Brice Butler,MIA,1.0,0.0,0.0,0.03,0.0,6.71,71.53,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damiere Byrd,CAR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,0.0,0.0,7.35,0.0,41.66,543.04,4.19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Austin Carr,NO,0.0,0.0,0.0,0.0,0.0,10.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Leonte Carroo,MIA,1.0,0.0,0.0,14.21,0.0,2.13,97.81,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Carter,HOU,1.0,0.0,0.0,8.11,0.01,20.76,216.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
D.J. Chark,JAX,0.0,0.0,0.0,0.0,0.0,14.0,174.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jehu Chesson,WAS,1.0,0.0,0.0,-3.27,0.01,0.29,5.55,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Randall Cobb,GB,1.0,0.0,0.0,1.32,0.0,40.8,396.55,2.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.0,0.0,0.03,0.0,34.66,459.95,1.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Coleman,NYG,1.0,0.0,0.0,5.43,0.0,5.9,85.57,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.0,0.0,0.29,0.0,34.53,368.32,5.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,0.0,0.0,69.96,1.01,79.21,1206.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,0.0,0.0,22.12,0.01,73.65,1031.83,7.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Core,CIN,1.0,0.0,0.0,0.21,0.0,15.13,190.28,1.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keke Coutee,HOU,1.0,0.0,0.0,0.72,0.0,30.32,311.78,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.0,0.0,0.11,0.0,53.95,617.2,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
River Cracraft,DEN,1.0,0.0,0.0,0.09,0.0,0.31,4.64,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jamison Crowder,WAS,1.0,0.0,0.0,32.06,0.02,31.88,432.61,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,0.0,0.0,56.9,0.01,63.97,898.72,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.0,0.0,0.12,0.0,0.24,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jawill Davis,NYG,1.0,0.0,0.0,0.17,0.0,4.66,47.73,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Gehrig Dieter,KC,1.0,0.0,0.0,0.38,0.0,0.52,7.26,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,0.0,0.0,64.56,0.01,99.04,1038.33,8.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.0,0.0,0.25,0.0,45.11,542.14,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.0,0.0,15.88,0.02,27.42,265.13,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,43.0,0.0,86.52,0.03,74.88,851.19,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bruce Ellington,DET,0.0,0.0,0.0,2.0,0.0,31.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,0.0,0.0,0.0,0.0,0.0,38.0,449.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,0.0,0.0,23.12,0.01,15.57,123.17,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.0,0.0,0.07,0.0,84.8,1498.02,6.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,32.0,1.0,0.13,0.0,69.38,752.39,5.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
