Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
DeAndre Hopkins,HOU,Clemson,6,2013,1,27,0,0,0,0,0,0,0,106,1521,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.1,0,WR
Michael Thomas,NOR,Ohio State,3,2016,2,16,0,0,0,0,0,0,0,102,1266,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.6,0,WR
Antonio Brown,PIT,Central Michigan,9,2010,6,26,0,0,0,0,0,0,0,121,1597,11,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.3,0,WR
Davante Adams,GNB,Fresno State,5,2014,2,21,0,0,0,0,0,0,0,82,1027,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.7,0,WR
Julio Jones,ATL,Alabama,8,2011,1,6,0,0,0,0,0,0,0,94,1491,9,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.0,0,WR
Tyreek Hill,KAN,West Alabama,3,2016,5,28,0,0,0,0,0,0,0,86,1241,8,0,0,18,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.2,0,WR
Odell Beckham Jr.,NYG,LSU,5,2014,1,12,0,0,0,0,0,0,0,108,1486,13,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.3,0,WR
JuJu Smith-Schuster,PIT,USC,2,2017,2,30,0,0,0,0,0,0,0,78,1051,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.1,0,WR
Mike Evans,TAM,Texas A&M,5,2014,1,7,0,0,0,0,0,0,0,89,1221,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1,0,WR
Keenan Allen,LAC,California,6,2013,3,14,0,0,0,0,0,0,0,96,1329,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.4,0,WR
