Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Jacksonville Jaguars,DST,JAX,17.6,298,1.2,1.2,3.5,0.0,0.33
Denver Broncos,DST,DEN,17.5,248,1.1,0.5,3.1,0.1,0.21
Baltimore Ravens,DST,BAL,14.4,255,1.2,0.7,3.1,0.0,0.32
Tennessee Titans,DST,TEN,18.8,273,1.3,0.8,2.6,0.1,0.26
Detroit Lions,DST,DET,15.7,289,1.0,0.8,2.4,0.0,0.31
Pittsburgh Steelers,DST,PIT,16.5,333,0.3,1.3,5.0,0.0,0.21
Miami Dolphins,DST,MIA,19.7,298,1.1,0.7,2.1,0.0,0.25
New Orleans Saints,DST,NO,18.4,328,1.4,0.9,2.4,0.0,0.34
New England Patriots,DST,NE,19.7,403,1.1,0.7,3.2,0.0,0.3
Arizona Cardinals,DST,ARI,17.8,293,0.6,0.9,2.3,0.0,0.2
Green Bay Packers,DST,GB,16.8,313,0.8,0.9,3.3,0.1,0.25
Chicago Bears,DST,CHI,25.2,299,0.6,0.9,3.7,0.0,0.23
Dallas Cowboys,DST,DAL,21.4,293,1.1,0.9,2.1,0.0,0.28
Indianapolis Colts,DST,IND,20.4,296,0.7,0.7,1.7,0.0,0.21
Los Angeles Rams,DST,LAR,19.5,310,0.8,1.0,2.2,0.0,0.31
Seattle Seahawks,DST,SEA,19.2,320,0.7,1.2,2.4,0.0,0.24
Minnesota Vikings,DST,MIN,19.7,336,0.8,0.6,2.7,0.0,0.25
Carolina Panthers,DST,CAR,19.8,323,0.6,0.9,2.5,0.0,0.25
Washington Redskins,DST,WAS,22.8,340,1.2,0.6,3.6,0.0,0.24
Cincinnati Bengals,DST,CIN,23.9,339,1.0,0.4,3.9,0.1,0.2
Philadelphia Eagles,DST,PHI,18.9,345,0.7,0.8,1.6,0.0,0.22
New York Giants,DST,NYG,20.8,367,0.9,0.8,1.2,0.0,0.21
Buffalo Bills,DST,BUF,24.8,292,1.0,0.5,1.5,0.0,0.19
Los Angeles Chargers,DST,LAC,22.6,370,0.9,0.6,2.6,0.0,0.24
Kansas City Chiefs,DST,KC,23.6,384,1.1,0.7,1.0,0.0,0.31
New York Jets,DST,NYJ,25.1,313,0.8,0.7,2.2,0.0,0.2
Atlanta Falcons,DST,ATL,23.9,345,0.5,1.1,1.8,0.0,0.21
Houston Texans,DST,HOU,27.0,341,0.5,0.6,2.5,0.1,0.16
San Francisco 49ers,DST,SF,24.8,316,0.7,0.7,1.6,0.0,0.2
Tampa Bay Buccaneers,DST,TB,29.4,444,0.8,1.3,1.0,0.0,0.25
Cleveland Browns,DST,CLE,23.0,349,0.8,0.4,1.0,0.0,0.16
