Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,0.0,0.0,0.0,93.5,0.9,4.1,46.6,0.3
Alvin Kamara,RB,NO,0.0,0.0,0.0,67.2,0.6,4.5,49.1,0.3
David Johnson,RB,ARI,0.0,0.0,0.0,64.4,0.5,4.8,57.5,0.2
Melvin Gordon,RB,LAC,0.0,0.0,0.0,74.2,0.6,2.9,27.5,0.2
Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,88.5,0.5,2.4,24.9,0.1
Saquon Barkley,RB,NYG,0.0,0.0,0.0,77.2,0.5,3.5,23.6,0.1
Leonard Fournette,RB,JAX,0.0,0.0,0.0,74.9,0.5,2.2,19.9,0.1
Dalvin Cook,RB,MIN,0.0,0.0,0.0,61.4,0.5,2.5,18.6,0.1
Joe Mixon,RB,CIN,0.0,0.0,0.0,47.0,0.6,2.1,24.2,0.1
Lamar Miller,RB,HOU,0.0,0.0,0.0,66.1,0.2,2.5,23.5,0.1
Devonta Freeman,RB,ATL,0.0,0.0,0.0,57.0,0.4,2.9,24.8,0.1
Alex Collins,RB,BAL,0.0,0.0,0.0,65.1,0.4,1.7,11.7,0.1
LeSean McCoy,RB,BUF,0.0,0.0,0.0,50.7,0.3,3.6,24.4,0.1
Christian McCaffrey,RB,CAR,0.0,0.0,0.0,37.8,0.2,5.2,39.8,0.4
James Conner,RB,PIT,0.0,0.0,0.0,59.0,0.6,1.4,9.7,0.1
Derrick Henry,RB,TEN,0.0,0.0,0.0,52.5,0.4,1.1,12.0,0.1
Tevin Coleman,RB,ATL,0.0,0.0,0.0,41.4,0.2,2.0,22.2,0.2
Jordan Howard,RB,CHI,0.0,0.0,0.0,54.6,0.4,1.9,13.5,0.0
Jay Ajayi,RB,PHI,0.0,0.0,0.0,70.6,0.3,1.5,9.9,0.0
Jamaal Williams,RB,GB,0.0,0.0,0.0,51.0,0.3,1.6,14.9,0.1
Jordan Wilkins,RB,IND,0.0,0.0,0.0,50.4,0.4,1.4,10.9,0.0
Kenyan Drake,RB,MIA,0.0,0.0,0.0,42.8,0.4,2.3,16.4,0.1
Peyton Barber,RB,TB,0.0,0.0,0.0,55.7,0.5,1.0,7.2,0.0
Rex Burkhead,RB,NE,0.0,0.0,0.0,37.9,0.4,1.7,15.8,0.2
Marshawn Lynch,RB,OAK,0.0,0.0,0.0,53.0,0.4,0.6,4.7,0.0
Royce Freeman,RB,DEN,0.0,0.0,0.0,49.1,0.3,2.0,16.2,0.1
Spencer Ware,RB,KC,0.0,0.0,0.0,41.3,0.2,1.0,13.0,0.1
Kerryon Johnson,RB,DET,0.0,0.0,0.0,34.3,0.3,2.3,18.7,0.1
Isaiah Crowell,RB,NYJ,0.0,0.0,0.0,40.7,0.2,2.0,13.0,0.0
Carlos Hyde,RB,JAX,0.0,0.0,0.0,44.4,0.2,2.4,13.5,0.0
Matt Breida,RB,SF,0.0,0.0,0.0,37.8,0.2,1.8,14.2,0.1
Giovani Bernard,RB,CIN,0.0,0.0,0.0,25.2,0.2,2.0,21.5,0.1
Austin Ekeler,RB,LAC,0.0,0.0,0.0,28.8,0.2,1.7,20.2,0.2
Dion Lewis,RB,TEN,0.0,0.0,0.0,39.1,0.2,1.8,11.0,0.1
Chris Thompson,RB,WAS,0.0,0.0,0.0,16.6,0.1,3.3,35.5,0.2
Ty Montgomery,RB,BAL,0.0,0.0,0.0,28.0,0.3,2.8,18.8,0.1
Corey Clement,RB,PHI,0.0,0.0,0.0,25.1,0.3,1.5,16.4,0.1
Adrian Peterson,RB,WAS,0.0,0.0,0.0,40.7,0.3,0.9,6.0,0.0
Bilal Powell,RB,NYJ,0.0,0.0,0.0,36.9,0.2,2.3,15.6,0.0
Tarik Cohen,RB,CHI,0.0,0.0,0.0,17.0,0.1,4.3,30.3,0.1
Duke Johnson,RB,CLE,0.0,0.0,0.0,16.0,0.1,3.3,30.4,0.1
Nyheim Hines,RB,IND,0.0,0.0,0.0,27.5,0.2,1.9,15.5,0.1
Chris Carson,RB,SEA,0.0,0.0,0.0,32.1,0.2,0.8,6.4,0.1
Theo Riddick,RB,DET,0.0,0.0,0.0,11.2,0.1,2.9,22.6,0.2
Doug Martin,RB,OAK,0.0,0.0,0.0,36.3,0.3,0.4,2.5,0.0
James White,RB,NE,0.0,0.0,0.0,16.4,0.1,3.3,25.6,0.2
C.J. Anderson,RB,LAR,0.0,0.0,0.0,36.2,0.2,0.6,4.7,0.0
Frank Gore,RB,MIA,0.0,0.0,0.0,22.0,0.1,1.7,12.2,0.1
Alfred Morris,RB,SF,0.0,0.0,0.0,38.9,0.2,1.3,8.6,0.0
Javorius Allen,RB,BAL,0.0,0.0,0.0,23.5,0.2,1.9,9.1,0.1
Darren Sproles,RB,PHI,0.0,0.0,0.0,20.3,0.1,2.0,17.4,0.1
Jalen Richard,RB,OAK,0.0,0.0,0.0,20.3,0.1,1.6,13.2,0.1
Devontae Booker,RB,DEN,0.0,0.0,0.0,25.8,0.2,1.9,17.5,0.0
Latavius Murray,RB,MIN,0.0,0.0,0.0,26.7,0.3,0.5,3.8,0.0
Jeremy Hill,RB,NE,0.0,0.0,0.0,29.7,0.3,0.7,5.3,0.0
LeGarrette Blount,RB,DET,0.0,0.0,0.0,25.5,0.3,0.4,2.7,0.0
Alfred Blue,RB,HOU,0.0,0.0,0.0,36.2,0.1,0.9,7.6,0.0
Chase Edmonds,RB,ARI,0.0,0.0,0.0,22.9,0.2,0.9,7.3,0.0
Rod Smith,RB,DAL,0.0,0.0,0.0,22.4,0.2,0.7,7.9,0.0
Corey Grant,RB,JAX,0.0,0.0,0.0,27.2,0.2,0.4,3.4,0.0
Raheem Mostert,RB,SF,0.0,0.0,0.0,21.0,0.2,0.3,2.2,0.0
Marcus Murphy,RB,BUF,0.0,0.0,0.0,21.9,0.1,0.9,5.9,0.0
Jacquizz Rodgers,RB,TB,0.0,0.0,0.0,20.3,0.1,0.8,6.7,0.0
C.J. Prosise,RB,SEA,0.0,0.0,0.0,9.9,0.1,1.6,20.3,0.0
T.J. Yeldon,RB,JAX,0.0,0.0,0.0,18.4,0.1,1.6,13.0,0.0
Wayne Gallman,RB,NYG,0.0,0.0,0.0,17.0,0.0,2.2,12.4,0.1
Chris Ivory,RB,BUF,0.0,0.0,0.0,24.2,0.1,0.7,5.0,0.0
Jaylen Samuels,RB,PIT,0.0,0.0,0.0,18.6,0.2,1.2,9.8,0.0
Nick Chubb,RB,CLE,0.0,0.0,0.0,21.2,0.1,1.2,8.8,0.0
Kyle Juszczyk,RB,SF,0.0,0.0,0.0,2.1,0.0,2.4,20.9,0.1
Malcolm Brown,RB,LAR,0.0,0.0,0.0,19.3,0.2,0.2,1.8,0.0
Kenneth Dixon,RB,BAL,0.0,0.0,0.0,11.5,0.1,1.0,4.3,0.0
Rob Kelley,RB,WAS,0.0,0.0,0.0,10.2,0.1,0.6,4.2,0.0
Rashaad Penny,RB,SEA,0.0,0.0,0.0,17.6,0.1,0.9,6.6,0.0
Wendell Smallwood,RB,PHI,0.0,0.0,0.0,11.7,0.1,0.5,3.7,0.0
Cameron Artis-Payne,RB,CAR,0.0,0.0,0.0,17.4,0.1,0.4,2.6,0.0
Phillip Lindsay,RB,DEN,0.0,0.0,0.0,14.7,0.1,0.7,5.8,0.0
Keith Smith,RB,OAK,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0
Anthony Sherman,RB,KC,0.0,0.0,0.0,1.5,0.0,0.3,1.8,0.0
Jonathan Williams,RB,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damien Williams,RB,KC,0.0,0.0,0.0,1.8,0.0,0.1,1.1,0.0
Derek Watt,RB,LAC,0.0,0.0,0.0,0.6,0.0,0.1,1.2,0.0
Roosevelt Nix,RB,PIT,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
Derrick Coleman,RB,ARI,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0
Trenton Cannon,RB,NYJ,0.0,0.0,0.0,1.9,0.0,0.1,0.8,0.0
James Develin,RB,NE,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0
Benny Cunningham,RB,CHI,0.0,0.0,0.0,0.1,0.0,0.3,2.9,0.0
Tre Madden,RB,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevan Ridley,RB,PIT,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.0
C.J. Ham,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Line,RB,NO,0.0,0.0,0.0,0.7,0.0,0.1,0.4,0.0
Taiwan Jones,RB,BUF,0.0,0.0,0.0,-0.1,0.0,0.1,0.5,0.0
Tommy Bohanon,RB,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamize Olawale,RB,DAL,0.0,0.0,0.0,1.9,0.0,0.2,2.1,0.0
Andy Janovich,RB,DEN,0.0,0.0,0.0,0.3,0.0,0.1,0.9,0.0
Alex Armah,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Ervin,RB,BAL,0.0,0.0,0.0,0.1,0.0,0.2,1.1,0.0
Patrick DiMarco,RB,BUF,0.0,0.0,0.0,-0.0,0.0,0.2,0.9,0.0
Ito Smith,RB,ATL,0.0,0.0,0.0,2.1,0.0,0.1,0.9,0.0
Michael Burton,RB,CHI,0.0,0.0,0.0,0.2,0.0,0.1,0.4,0.0
John Kelly,RB,LAR,0.0,0.0,0.0,2.4,0.0,0.1,0.9,0.0
Brandon Bolden,RB,MIA,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
David Fluellen,RB,TEN,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
Jonathan Stewart,RB,NYG,0.0,0.0,0.0,6.1,0.0,0.1,0.6,0.0
