Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,76.4,0.7,4.1,36.9,0.2
Melvin Gordon,RB,LAC,73.2,0.6,3.7,30.1,0.1
David Johnson,RB,ARI,72.6,0.5,4.6,39.7,0.1
Ezekiel Elliott,RB,DAL,76.3,0.6,2.6,23.1,0.1
Saquon Barkley,RB,NYG,73.5,0.4,4.5,33.6,0.2
Sony Michel,RB,NE,84.7,0.7,1.2,8.9,0.0
Leonard Fournette,RB,JAX,68.2,0.6,3.0,23.4,0.1
Alvin Kamara,RB,NO,52.4,0.4,3.7,33.0,0.3
James Conner,RB,PIT,62.5,0.7,2.4,17.4,0.1
Christian McCaffrey,RB,CAR,47.8,0.4,4.8,38.2,0.2
Devonta Freeman,RB,ATL,56.1,0.6,3.2,27.3,0.1
Joe Mixon,RB,CIN,60.9,0.6,3.0,23.6,0.1
Dalvin Cook,RB,MIN,61.2,0.5,3.4,23.2,0.1
Derrick Henry,RB,TEN,67.2,0.6,1.4,10.9,0.0
LeSean McCoy,RB,BUF,57.8,0.4,3.1,21.9,0.1
Jamaal Williams,RB,GB,62.5,0.3,2.3,17.5,0.1
Jordan Howard,RB,CHI,61.3,0.5,1.8,13.7,0.0
Royce Freeman,RB,DEN,57.9,0.4,2.0,15.4,0.1
Kenyan Drake,RB,MIA,47.8,0.4,3.3,23.9,0.1
Chris Carson,RB,SEA,61.1,0.4,1.7,12.3,0.1
Peyton Barber,RB,TB,61.6,0.3,1.8,13.3,0.0
Adrian Peterson,RB,WAS,57.2,0.5,1.3,8.8,0.0
Lamar Miller,RB,HOU,54.0,0.2,2.2,18.2,0.1
Rex Burkhead,RB,NE,32.8,0.5,1.9,16.3,0.1
Marlon Mack,RB,IND,49.1,0.3,1.5,10.6,0.1
Jaylen Samuels,RB,PIT,33.4,0.3,2.6,20.4,0.1
James White,RB,NE,22.1,0.1,4.3,34.7,0.2
Tevin Coleman,RB,ATL,38.2,0.2,2.1,19.5,0.1
Dion Lewis,RB,TEN,37.3,0.2,2.8,19.4,0.1
Carlos Hyde,RB,JAX,37.4,0.4,1.3,9.7,0.0
Tarik Cohen,RB,CHI,22.5,0.1,3.9,32.1,0.1
Rod Smith,RB,DAL,37.7,0.3,1.6,10.4,0.0
Doug Martin,RB,OAK,38.1,0.2,1.4,10.0,0.0
Devontae Booker,RB,DEN,31.0,0.1,2.6,20.1,0.1
Damien Williams,RB,KC,30.4,0.2,1.9,14.0,0.1
Nick Chubb,RB,CLE,38.5,0.2,1.0,7.4,0.0
Alfred Morris,RB,SF,31.2,0.3,0.7,5.0,0.0
Chris Thompson,RB,WAS,18.6,0.1,3.2,26.8,0.1
C.J. Anderson,RB,LAR,33.5,0.2,1.1,7.8,0.0
Nyheim Hines,RB,IND,23.2,0.1,2.5,19.0,0.1
Theo Riddick,RB,DET,14.8,0.1,4.0,27.0,0.1
Corey Clement,RB,PHI,25.8,0.2,1.4,13.9,0.1
Giovani Bernard,RB,CIN,22.9,0.1,2.4,19.5,0.1
Spencer Ware,RB,KC,28.0,0.2,1.1,10.2,0.1
Austin Ekeler,RB,LAC,24.9,0.1,1.6,14.8,0.1
Duke Johnson,RB,CLE,17.8,0.1,2.9,25.4,0.1
Jordan Wilkins,RB,IND,31.5,0.2,1.0,8.0,0.0
Kalen Ballage,RB,MIA,32.2,0.1,1.6,10.0,0.0
LeGarrette Blount,RB,DET,30.6,0.2,0.6,3.3,0.0
Latavius Murray,RB,MIN,29.2,0.2,0.9,5.7,0.0
Alfred Blue,RB,HOU,30.4,0.1,1.0,8.2,0.0
Darren Sproles,RB,PHI,17.2,0.1,2.4,18.7,0.1
Jalen Richard,RB,OAK,15.0,0.1,2.6,21.7,0.1
Ty Montgomery,RB,BAL,17.9,0.1,2.0,15.2,0.0
Jacquizz Rodgers,RB,TB,20.0,0.1,1.7,12.7,0.0
T.J. Yeldon,RB,JAX,18.6,0.1,1.7,14.0,0.0
Javorius Allen,RB,BAL,16.7,0.1,1.6,11.7,0.1
Rashaad Penny,RB,SEA,22.2,0.1,1.1,7.6,0.0
Kenneth Dixon,RB,BAL,20.8,0.1,1.1,7.9,0.0
Chris Ivory,RB,BUF,20.2,0.1,0.8,7.1,0.0
Chase Edmonds,RB,ARI,19.2,0.1,1.1,7.3,0.0
