Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,POS,TD
Ameer Abdullah,MIN,1.0,6.05,0.05,0.49,3.94,0.03,0.05,0.0,RB,0.01
Jay Ajayi,PHI,1.0,60.01,0.35,1.78,14.36,0.08,0.1,0.01,RB,0.0
Javorius Allen,BAL,1.0,27.14,0.25,1.47,11.92,0.06,0.05,0.0,RB,0.0
C.J. Anderson,LAR,1.0,45.65,0.25,1.36,11.27,0.05,0.08,0.01,RB,0.0
Alex Armah,CAR,1.0,0.61,0.01,0.16,1.78,0.01,0.01,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,2.46,0.02,0.06,0.85,0.0,0.01,0.0,RB,0.0
Kalen Ballage,MIA,1.0,4.39,0.03,0.45,3.82,0.02,0.02,0.0,RB,0.0
Peyton Barber,TB,1.0,57.8,0.49,1.92,14.85,0.06,0.09,0.01,RB,0.0
Saquon Barkley,NYG,1.0,68.14,0.43,3.24,27.17,0.13,0.13,0.01,RB,0.0
Giovani Bernard,CIN,1.0,18.04,0.11,2.57,20.07,0.07,0.04,0.01,RB,0.0
LeGarrette Blount,DET,1.0,29.54,0.26,0.31,2.0,0.02,0.05,0.0,RB,0.0
Alfred Blue,HOU,1.0,24.12,0.15,1.13,8.58,0.03,0.05,0.0,RB,0.01
Tommy Bohanon,JAX,1.0,0.16,0.0,0.46,3.41,0.02,0.01,0.0,RB,0.0
Brandon Bolden,MIA,1.0,3.03,0.03,0.16,1.41,0.01,0.01,0.0,RB,0.01
Devontae Booker,DEN,1.0,26.15,0.19,2.31,20.01,0.08,0.07,0.0,RB,0.0
Mike Boone,MIN,1.0,7.17,0.06,0.47,3.93,0.03,0.02,0.0,RB,0.02
Matt Breida,SF,1.0,40.06,0.26,1.8,16.06,0.08,0.08,0.0,RB,0.0
Malcolm Brown,LAR,1.0,7.96,0.05,0.23,1.74,0.0,0.02,0.0,RB,0.0
Rex Burkhead,NE,1.0,37.97,0.4,2.39,20.46,0.12,0.07,0.0,RB,0.0
Michael Burton,CHI,1.0,2.98,0.02,0.28,2.07,0.01,0.01,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,7.18,0.06,0.6,4.42,0.02,0.03,0.0,RB,0.02
Chris Carson,SEA,1.0,48.83,0.26,1.65,13.38,0.07,0.09,0.0,RB,0.0
Nick Chubb,CLE,1.0,12.48,0.1,0.37,3.01,0.01,0.03,0.0,RB,0.0
Corey Clement,PHI,1.0,13.15,0.11,1.8,17.13,0.11,0.04,0.01,RB,0.01
Tarik Cohen,CHI,1.0,17.63,0.09,3.08,21.45,0.07,0.07,0.0,RB,0.03
Derrick Coleman,ARI,1.0,0.0,0.0,0.41,3.18,0.02,0.0,0.01,RB,0.0
Tevin Coleman,ATL,1.0,39.39,0.23,1.69,14.78,0.09,0.06,0.0,RB,0.0
Alex Collins,BAL,1.0,74.35,0.53,2.02,18.01,0.07,0.11,0.01,RB,0.0
James Conner,PIT,1.0,70.2,0.45,1.83,15.07,0.06,0.12,0.01,RB,0.0
Dalvin Cook,MIN,1.0,72.24,0.51,2.71,23.26,0.11,0.14,0.01,RB,0.0
Isaiah Crowell,NYJ,1.0,43.46,0.27,1.47,10.93,0.03,0.08,0.01,RB,0.0
Benny Cunningham,CHI,1.0,0.25,0.0,1.55,12.71,0.07,0.02,0.0,RB,0.0
James Develin,NE,1.0,0.15,0.0,0.48,3.43,0.02,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.0,0.0,0.64,4.18,0.01,0.01,0.0,RB,0.0
Kenneth Dixon,BAL,1.0,34.29,0.25,1.87,14.49,0.07,0.06,0.0,RB,0.0
Kenyan Drake,MIA,1.0,55.1,0.34,2.58,23.67,0.1,0.1,0.01,RB,0.01
Chase Edmonds,ARI,1.0,14.43,0.1,0.61,5.12,0.03,0.03,0.0,RB,0.0
Austin Ekeler,LAC,1.0,16.16,0.12,1.43,13.02,0.08,0.04,0.0,RB,0.01
Ezekiel Elliott,DAL,1.0,88.27,0.61,3.33,28.77,0.12,0.15,0.0,RB,0.0
Tyler Ervin,BAL,1.0,4.5,0.03,0.94,7.18,0.03,0.03,0.0,RB,0.0
David Fluellen,TEN,1.0,1.95,0.01,0.16,1.29,0.0,0.01,0.0,RB,0.0
Leonard Fournette,JAX,1.0,75.85,0.54,2.75,23.54,0.08,0.13,0.0,RB,0.0
Devonta Freeman,ATL,1.0,55.87,0.38,2.8,23.9,0.13,0.09,0.0,RB,0.0
Royce Freeman,DEN,1.0,62.68,0.43,2.31,19.85,0.09,0.12,0.0,RB,0.0
Wayne Gallman,NYG,1.0,23.57,0.13,1.79,13.97,0.06,0.05,0.01,RB,0.0
Mike Gillislee,FA,1.0,38.73,0.36,0.38,2.82,0.02,0.07,0.01,RB,0.0
Melvin Gordon,LAC,1.0,79.63,0.63,3.75,32.37,0.15,0.13,0.0,RB,0.0
Frank Gore,MIA,1.0,24.7,0.15,1.19,8.13,0.04,0.04,0.01,RB,0.0
Corey Grant,JAX,1.0,8.98,0.06,0.37,2.65,0.01,0.04,0.0,RB,0.01
Todd Gurley,LAR,1.0,84.32,0.76,4.98,45.74,0.27,0.15,0.01,RB,0.0
C.J. Ham,MIN,1.0,1.04,0.01,0.35,2.76,0.02,0.01,0.0,RB,0.0
Derrick Henry,TEN,1.0,69.76,0.46,1.99,17.6,0.08,0.11,0.0,RB,0.0
Jeremy Hill,NE,1.0,23.35,0.16,0.76,5.68,0.03,0.06,0.01,RB,0.0
Nyheim Hines,IND,1.0,13.66,0.11,1.02,8.92,0.05,0.04,0.01,RB,0.02
Jordan Howard,CHI,1.0,68.89,0.48,1.5,11.73,0.04,0.11,0.01,RB,0.0
Kareem Hunt,FA,1.0,79.46,0.62,3.16,23.64,0.12,0.12,0.0,RB,0.0
Carlos Hyde,JAX,1.0,56.63,0.51,2.46,18.57,0.07,0.09,0.0,RB,0.0
Chris Ivory,BUF,1.0,14.02,0.08,0.58,3.72,0.01,0.04,0.01,RB,0.0
Andy Janovich,DEN,1.0,1.56,0.01,0.33,2.75,0.02,0.01,0.0,RB,0.0
David Johnson,ARI,1.0,76.43,0.7,4.91,51.32,0.28,0.17,0.01,RB,0.0
Duke Johnson,CLE,1.0,25.54,0.25,3.68,30.63,0.15,0.05,0.01,RB,0.01
Kerryon Johnson,DET,1.0,36.74,0.28,1.83,15.49,0.08,0.08,0.01,RB,0.0
Ronald Jones,TB,1.0,14.2,0.11,0.92,7.6,0.03,0.04,0.01,RB,0.0
Taiwan Jones,BUF,1.0,1.65,0.01,0.0,0.66,0.0,0.01,0.0,RB,0.01
Kyle Juszczyk,SF,1.0,0.45,0.0,2.54,23.9,0.12,0.02,0.0,RB,0.0
Alvin Kamara,NO,1.0,71.29,0.61,5.41,53.64,0.34,0.11,0.01,RB,0.0
Rob Kelley,WAS,1.0,6.61,0.05,0.33,2.52,0.01,0.02,0.0,RB,0.01
John Kelly,LAR,1.0,12.97,0.09,0.67,5.24,0.02,0.04,0.0,RB,0.0
Dion Lewis,TEN,1.0,37.57,0.27,3.51,25.34,0.13,0.08,0.01,RB,0.0
Phillip Lindsay,DEN,1.0,9.86,0.07,0.4,3.26,0.02,0.03,0.0,RB,0.02
Zach Line,NO,1.0,1.31,0.02,0.45,3.27,0.02,0.01,0.0,RB,0.0
T.J. Logan,ARI,1.0,3.63,0.03,0.1,1.09,0.01,0.02,0.0,RB,0.01
Marshawn Lynch,OAK,1.0,52.61,0.38,1.52,11.32,0.04,0.07,0.01,RB,0.0
Marlon Mack,IND,1.0,13.42,0.12,0.91,7.58,0.04,0.03,0.0,RB,0.0
Tre Madden,SEA,1.0,0.08,0.0,0.17,1.58,0.0,0.01,0.0,RB,0.01
Doug Martin,OAK,1.0,30.89,0.22,0.86,6.86,0.04,0.06,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,40.31,0.21,5.15,49.68,0.29,0.09,0.01,RB,0.01
LeSean McCoy,BUF,1.0,71.0,0.4,3.36,28.36,0.14,0.12,0.01,RB,0.0
Christine Michael,FA,1.0,9.62,0.07,0.35,2.56,0.02,0.03,0.0,RB,0.0
Sony Michel,NE,1.0,7.1,0.05,0.06,0.83,0.0,0.02,0.0,RB,0.0
Lamar Miller,HOU,1.0,61.85,0.32,1.65,12.76,0.05,0.1,0.01,RB,0.0
Joe Mixon,CIN,1.0,62.87,0.41,1.96,16.04,0.07,0.1,0.0,RB,0.0
Ty Montgomery,BAL,1.0,28.95,0.2,1.81,14.38,0.07,0.06,0.0,RB,0.0
Alfred Morris,SF,1.0,51.28,0.3,1.03,7.47,0.03,0.08,0.0,RB,0.0
Raheem Mostert,SF,1.0,2.7,0.02,0.15,1.37,0.0,0.02,0.0,RB,0.01
Marcus Murphy,BUF,1.0,3.3,0.02,0.12,0.85,0.0,0.03,0.0,RB,0.03
Latavius Murray,MIN,1.0,34.09,0.3,1.02,7.48,0.04,0.06,0.01,RB,0.0
Detrez Newsome,LAC,1.0,4.56,0.04,0.27,2.34,0.01,0.02,0.0,RB,0.0
Roosevelt Nix,PIT,1.0,1.77,0.01,0.17,0.99,0.0,0.01,0.0,RB,0.0
Jamize Olawale,DAL,1.0,0.39,0.0,0.25,1.63,0.0,0.01,0.0,RB,0.0
Ricky Ortiz,ATL,1.0,1.3,0.01,0.38,2.91,0.01,0.01,0.0,RB,0.0
Rashaad Penny,SEA,1.0,15.18,0.1,0.92,7.54,0.03,0.04,0.0,RB,0.0
Adrian Peterson,WAS,1.0,46.49,0.25,1.51,11.42,0.04,0.11,0.0,RB,0.0
Bilal Powell,NYJ,1.0,55.37,0.38,1.63,12.91,0.05,0.09,0.01,RB,0.0
C.J. Prosise,SEA,1.0,12.53,0.08,1.44,13.41,0.05,0.03,0.0,RB,0.01
Jalen Richard,OAK,1.0,7.76,0.05,1.23,10.66,0.05,0.03,0.0,RB,0.0
Theo Riddick,DET,1.0,15.72,0.12,2.45,20.05,0.1,0.04,0.0,RB,0.0
Stevan Ridley,PIT,1.0,11.96,0.08,0.02,0.66,0.0,0.02,0.0,RB,0.0
Jacquizz Rodgers,TB,1.0,10.51,0.08,0.74,5.16,0.02,0.04,0.01,RB,0.0
Jaylen Samuels,PIT,1.0,19.0,0.14,0.82,6.66,0.02,0.04,0.0,RB,0.02
Anthony Sherman,KC,1.0,2.91,0.02,0.35,2.12,0.0,0.01,0.0,RB,0.0
Wendell Smallwood,PHI,1.0,6.32,0.04,0.31,2.62,0.01,0.02,0.01,RB,0.0
Ito Smith,ATL,1.0,3.72,0.02,0.27,2.27,0.0,0.02,0.0,RB,0.0
Keith Smith,OAK,1.0,0.36,0.0,0.31,2.36,0.02,0.01,0.0,RB,0.0
Rod Smith,DAL,1.0,14.63,0.15,1.2,10.38,0.04,0.03,0.0,RB,0.0
Shane Smith,FA,1.0,0.95,0.01,0.04,0.87,0.01,0.01,0.0,RB,0.01
Darren Sproles,PHI,1.0,17.25,0.12,1.77,13.37,0.05,0.03,0.01,RB,0.0
Jonathan Stewart,NYG,1.0,12.4,0.09,0.22,1.42,0.01,0.02,0.01,RB,0.0
De'Anthony Thomas,KC,1.0,0.0,0.0,0.53,5.37,0.03,0.02,0.01,RB,0.01
Chris Thompson,WAS,1.0,18.56,0.1,3.83,33.15,0.2,0.07,0.0,RB,0.0
Mark Walton,CIN,1.0,15.45,0.11,0.9,7.39,0.04,0.04,0.0,RB,0.0
Spencer Ware,KC,1.0,17.45,0.1,0.78,6.1,0.02,0.03,0.01,RB,0.0
Derek Watt,LAC,1.0,2.4,0.02,0.25,2.17,0.01,0.01,0.0,RB,0.0
James White,NE,1.0,19.26,0.25,3.2,28.54,0.18,0.05,0.0,RB,0.0
Jordan Wilkins,IND,1.0,53.58,0.4,1.76,14.34,0.08,0.09,0.0,RB,0.0
Damien Williams,KC,1.0,6.76,0.03,1.28,10.41,0.05,0.02,0.0,RB,0.0
Jamaal Williams,GB,1.0,57.12,0.38,2.58,23.17,0.15,0.1,0.0,RB,0.0
Jonathan Williams,IND,1.0,10.07,0.09,0.42,3.37,0.02,0.03,0.0,RB,0.0
T.J. Yeldon,JAX,1.0,19.53,0.15,2.63,21.23,0.06,0.05,0.01,RB,0.0
