Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,POS
Jordan Akins,HOU,1.0,0.0,0.0,0.65,7.03,0.04,0.01,0.0,TE
Dwayne Allen,NE,1.0,0.0,0.0,0.48,4.72,0.04,0.0,0.0,TE
Mark Andrews,BAL,1.0,0.13,0.0,1.52,18.75,0.12,0.02,0.0,TE
Dan Arnold,NO,1.0,0.0,0.01,0.68,7.47,0.05,0.01,0.0,TE
Antony Auclair,TB,1.0,0.0,0.0,0.31,2.96,0.02,0.01,0.0,TE
Nick Boyle,BAL,1.0,0.0,0.0,1.48,14.17,0.08,0.01,0.01,TE
Cameron Brate,TB,1.0,0.0,0.0,2.81,34.45,0.23,0.02,0.0,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.12,1.68,0.01,0.01,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,3.15,38.63,0.27,0.03,0.01,TE
Jake Butt,DEN,1.0,0.0,0.0,1.97,23.62,0.15,0.02,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.31,2.94,0.02,0.01,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,1.13,14.15,0.11,0.01,0.0,TE
Charles Clay,BUF,1.0,0.0,0.0,3.61,38.36,0.19,0.03,0.0,TE
Tyler Conklin,MIN,1.0,0.06,0.01,0.67,7.85,0.06,0.01,0.0,TE
Jared Cook,OAK,1.0,0.0,0.0,3.34,40.43,0.25,0.02,0.0,TE
Jason Croom,BUF,1.0,0.06,0.0,0.39,4.4,0.03,0.01,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.59,6.07,0.04,0.01,0.0,TE
Sean Culkin,LAC,1.0,0.0,0.0,0.47,4.92,0.04,0.01,0.0,TE
Darrell Daniels,ARI,1.0,0.0,0.0,0.49,5.3,0.03,0.01,0.0,TE
Vernon Davis,WAS,1.0,0.0,0.0,2.13,26.84,0.19,0.01,0.0,TE
A.J. Derby,MIA,1.0,0.0,0.0,1.57,17.66,0.11,0.02,0.0,TE
Seth DeValve,CLE,1.0,0.0,0.0,1.27,14.54,0.08,0.01,0.0,TE
Will Dissly,SEA,1.0,0.04,0.0,1.44,17.13,0.1,0.02,0.0,TE
Jack Doyle,IND,1.0,0.0,0.0,4.9,46.46,0.3,0.03,0.01,TE
Eric Ebron,IND,1.0,0.0,0.0,3.48,39.84,0.27,0.02,0.01,TE
Tyler Eifert,CIN,1.0,0.0,0.0,3.06,37.22,0.32,0.02,0.0,TE
Alex Ellis,KC,1.0,0.0,0.0,0.41,4.06,0.02,0.01,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,1.3,14.37,0.1,0.01,0.0,TE
Evan Engram,NYG,1.0,0.19,0.0,3.9,48.65,0.31,0.03,0.0,TE
Zach Ertz,PHI,1.0,0.0,0.0,5.01,56.13,0.38,0.03,0.0,TE
Gavin Escobar,FA,1.0,0.0,0.0,0.4,4.11,0.03,0.01,0.0,TE
Gerald Everett,LAR,1.0,0.29,0.0,1.15,12.95,0.08,0.02,0.0,TE
Darren Fells,CLE,1.0,0.0,0.0,0.61,5.81,0.05,0.01,0.0,TE
Antonio Gates,LAC,1.0,0.0,0.0,1.78,21.26,0.16,0.01,0.01,TE
Rico Gathers,DAL,1.0,0.0,0.0,0.47,5.13,0.03,0.01,0.0,TE
Mike Gesicki,MIA,1.0,0.03,0.0,2.27,28.28,0.18,0.02,0.0,TE
Dallas Goedert,PHI,1.0,0.0,0.0,1.98,24.86,0.16,0.02,0.0,TE
Jimmy Graham,GB,1.0,0.0,0.0,3.35,38.77,0.31,0.02,0.01,TE
Virgil Green,LAC,1.0,0.0,0.0,0.89,9.5,0.06,0.01,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,1.21,11.96,0.08,0.01,0.0,TE
Ryan Griffin,HOU,1.0,0.0,0.0,2.47,29.03,0.15,0.02,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.0,0.44,4.47,0.02,0.01,0.01,TE
Rob Gronkowski,NE,1.0,0.0,0.0,5.66,83.3,0.62,0.03,0.01,TE
Chris Herndon,NYJ,1.0,0.13,0.0,0.66,7.55,0.05,0.01,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,0.0,1.31,16.03,0.1,0.01,0.0,TE
Ryan Hewitt,IND,1.0,0.0,0.0,0.16,1.73,0.02,0.0,0.0,TE
Tyler Higbee,LAR,1.0,0.0,0.0,1.58,19.01,0.11,0.02,0.0,TE
Josh Hill,NO,1.0,0.0,0.0,1.46,16.44,0.12,0.01,0.0,TE
Jacob Hollister,NE,1.0,0.14,0.0,0.08,1.19,0.01,0.01,0.0,TE
Gabe Holmes,ARI,1.0,0.0,0.0,1.23,13.39,0.09,0.01,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,2.73,26.4,0.15,0.02,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,2.13,28.53,0.22,0.02,0.0,TE
Jesse James,PIT,1.0,0.07,0.0,2.61,26.73,0.15,0.02,0.01,TE
Blake Jarwin,DAL,1.0,0.0,0.0,1.86,22.24,0.13,0.02,0.0,TE
Travis Kelce,KC,1.0,0.0,0.0,5.1,62.18,0.44,0.03,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,0.7,6.87,0.04,0.01,0.0,TE
George Kittle,SF,1.0,0.0,0.0,3.24,37.67,0.26,0.02,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,1.25,12.63,0.1,0.01,0.0,TE
Matt LaCosse,DEN,1.0,0.0,0.0,0.42,4.33,0.03,0.01,0.0,TE
Jordan Leggett,NYJ,1.0,0.07,0.0,0.46,4.95,0.03,0.01,0.0,TE
Marcedes Lewis,GB,1.0,0.0,0.0,0.91,9.43,0.07,0.0,0.01,TE
Chris Manhertz,CAR,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,0.0,0.0,0.46,4.82,0.04,0.01,0.0,TE
Johnny Mundt,LAR,1.0,0.09,0.0,0.22,2.46,0.01,0.01,0.0,TE
David Njoku,CLE,1.0,0.21,0.0,1.82,24.05,0.15,0.02,0.01,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,1.11,12.26,0.08,0.01,0.0,TE
Greg Olsen,CAR,1.0,0.0,0.0,3.8,46.72,0.29,0.02,0.01,TE
Niles Paul,FA,1.0,0.0,0.0,1.1,11.78,0.06,0.01,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,0.24,1.93,0.01,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,0.0,0.18,2.08,0.02,0.01,0.0,TE
Jordan Reed,WAS,1.0,0.0,0.0,4.17,42.19,0.3,0.03,0.0,TE
Michael Roberts,DET,1.0,0.0,0.0,0.44,4.74,0.04,0.01,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,3.24,36.57,0.32,0.02,0.01,TE
Eric Saubert,ATL,1.0,0.0,0.0,0.22,2.35,0.01,0.01,0.0,TE
Dalton Schultz,DAL,1.0,0.05,0.0,0.69,8.03,0.05,0.01,0.0,TE
Ricky Seals-Jones,ARI,1.0,0.0,0.0,3.03,40.98,0.25,0.03,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,0.0,0.0,2.93,28.25,0.14,0.02,0.0,TE
Dion Sims,CHI,1.0,0.0,0.0,1.15,12.95,0.08,0.01,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,1.15,11.87,0.06,0.01,0.0,TE
Lee Smith,OAK,1.0,0.0,0.0,0.64,6.52,0.05,0.01,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.0,0.35,3.35,0.02,0.01,0.0,TE
Neal Sterling,NYJ,1.0,0.0,0.0,1.66,19.48,0.12,0.02,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.0,0.3,2.44,0.01,0.0,0.0,TE
Geoff Swaim,DAL,1.0,0.0,0.0,0.36,3.82,0.02,0.01,0.01,TE
Erik Swoope,IND,1.0,0.0,0.0,0.74,9.53,0.08,0.01,0.0,TE
Ian Thomas,CAR,1.0,0.06,0.0,1.1,12.98,0.09,0.01,0.0,TE
Jordan Thomas,HOU,1.0,0.13,0.0,0.42,4.75,0.03,0.01,0.0,TE
Logan Thomas,BUF,1.0,0.0,0.0,0.32,3.3,0.02,0.01,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.95,10.55,0.08,0.01,0.0,TE
Eric Tomlinson,NYJ,1.0,0.0,0.0,0.81,8.87,0.06,0.01,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.91,9.29,0.07,0.01,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,1.27,14.72,0.09,0.01,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,4.37,51.38,0.29,0.03,0.0,TE
Benjamin Watson,NO,1.0,0.0,0.0,3.29,33.43,0.23,0.01,0.01,TE
Cole Wick,TEN,1.0,0.0,0.0,0.32,3.39,0.02,0.01,0.0,TE
Maxx Williams,BAL,1.0,0.15,0.0,0.79,8.9,0.06,0.01,0.01,TE
Luke Willson,DET,1.0,0.0,0.0,1.2,13.15,0.11,0.02,0.0,TE
