Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
Jordan Akins,HOU,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mark Andrews,BAL,1.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jake Butt,DEN,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Derek Carrier,OAK,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Charles Clay,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Conklin,MIN,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jared Cook,OAK,1.0,9.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jason Croom,BUF,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Dissly,SEA,1.0,3.0,105.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,7.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,4.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,1.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Mike Gesicki,MIA,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,7.0,123.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
Blake Jarwin,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Tyler Kroft,CIN,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
