Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
DeAndre Hopkins,WR,HOU,0.0,0.0,0.0,0.0,0.0,7.6,118.0,0.7
Antonio Brown,WR,PIT,0.0,0.0,0.0,0.1,0.0,8.2,111.0,0.6
Michael Thomas,WR,NO,0.0,0.0,0.0,0.0,0.0,8.2,103.0,0.5
A.J. Green,WR,CIN,0.0,0.0,0.0,0.0,0.0,5.7,88.0,0.5
Keenan Allen,WR,LAC,0.0,0.0,0.0,0.6,0.0,5.9,89.2,0.4
Davante Adams,WR,GB,0.0,0.0,0.0,0.0,0.0,6.2,66.1,0.7
Julio Jones,WR,ATL,0.0,0.0,0.0,1.1,0.0,6.0,87.0,0.3
T.Y. Hilton,WR,IND,0.0,0.0,0.0,0.0,0.0,5.7,78.3,0.5
Odell Beckham,WR,NYG,0.0,0.0,0.0,1.2,0.0,6.5,72.0,0.4
Stefon Diggs,WR,MIN,0.0,0.0,0.0,0.8,0.0,5.3,66.4,0.5
Mike Evans,WR,TB,0.0,0.0,0.0,0.0,0.0,5.4,73.2,0.3
JuJu Smith-Schuster,WR,PIT,0.0,0.0,0.0,0.0,0.0,4.8,64.8,0.4
Robby Anderson,WR,NYJ,0.0,0.0,0.0,1.0,0.0,4.8,62.6,0.4
Tyreek Hill,WR,KC,0.0,0.0,0.0,9.7,0.0,5.6,68.6,0.4
Jarvis Landry,WR,CLE,0.0,0.0,0.0,-0.1,0.0,7.1,73.1,0.3
Demaryius Thomas,WR,HOU,0.0,0.0,0.0,0.0,0.0,5.7,67.6,0.4
Larry Fitzgerald,WR,ARI,0.0,0.0,0.0,0.0,0.0,6.6,69.1,0.4
Golden Tate,WR,PHI,0.0,0.0,0.0,1.1,0.0,5.8,63.2,0.4
Michael Crabtree,WR,BAL,0.0,0.0,0.0,0.0,0.0,5.8,51.7,0.5
Amari Cooper,WR,DAL,0.0,0.0,0.0,0.2,0.0,4.7,57.5,0.5
Marvin Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,3.9,53.5,0.5
Chris Hogan,WR,NE,0.0,0.0,0.0,1.3,0.0,3.6,53.3,0.5
Allen Robinson,WR,CHI,0.0,0.0,0.0,0.0,0.0,4.7,65.7,0.3
Ted Ginn,WR,NO,0.0,0.0,0.0,4.1,0.0,4.5,63.5,0.3
Adam Thielen,WR,MIN,0.0,0.0,0.0,0.6,0.0,5.3,68.7,0.3
Brandin Cooks,WR,LAR,0.0,0.0,0.0,2.4,0.0,3.7,54.1,0.4
Doug Baldwin,WR,SEA,0.0,0.0,0.0,-0.2,0.0,4.7,52.8,0.4
Nelson Agholor,WR,PHI,0.0,0.0,0.0,1.8,0.0,5.0,51.8,0.4
Josh Gordon,WR,NE,0.0,0.0,0.0,0.3,0.0,4.7,62.7,0.2
Cooper Kupp,WR,LAR,0.0,0.0,0.0,0.0,0.0,4.4,55.6,0.4
Quincy Enunwa,WR,NYJ,0.0,0.0,0.0,0.6,0.0,4.2,54.4,0.3
Tyrell Williams,WR,LAC,0.0,0.0,0.0,0.0,0.0,3.2,52.8,0.3
Robert Woods,WR,LAR,0.0,0.0,0.0,0.7,0.0,4.4,58.4,0.3
Keelan Cole,WR,JAX,0.0,0.0,0.0,0.0,0.0,3.1,58.2,0.3
Corey Davis,WR,TEN,0.0,0.0,0.0,0.0,0.0,5.4,58.4,0.3
Devin Funchess,WR,CAR,0.0,0.0,0.0,0.0,0.0,3.3,40.4,0.4
Sammy Watkins,WR,KC,0.0,0.0,0.0,0.0,0.0,3.6,44.2,0.4
Sterling Shepard,WR,NYG,0.0,0.0,0.0,1.0,0.0,4.7,51.1,0.2
Pierre Garcon,WR,SF,0.0,0.0,0.0,0.0,0.0,4.2,52.7,0.2
Emmanuel Sanders,WR,DEN,0.0,0.0,0.0,0.1,0.0,4.4,54.1,0.2
Marquise Goodwin,WR,SF,0.0,0.0,0.0,1.9,0.0,4.0,52.7,0.2
Kenny Stills,WR,MIA,0.0,0.0,0.0,0.0,0.0,3.8,48.0,0.4
Kenny Golladay,WR,DET,0.0,0.0,0.0,0.8,0.0,2.8,47.1,0.3
Jordy Nelson,WR,OAK,0.0,0.0,0.0,0.0,0.0,4.0,41.4,0.3
Michael Gallup,WR,DAL,0.0,0.0,0.0,1.1,0.0,3.4,43.5,0.3
DeSean Jackson,WR,TB,0.0,0.0,0.0,2.0,0.0,3.3,46.2,0.2
Christian Kirk,WR,ARI,0.0,0.0,0.0,0.9,0.0,3.2,43.0,0.2
Mohamed Sanu,WR,ATL,0.0,0.0,0.0,0.6,0.0,3.9,42.4,0.2
Chester Rogers,WR,IND,0.0,0.0,0.0,0.6,0.0,3.0,40.6,0.2
Paul Richardson,WR,WAS,0.0,0.0,0.0,0.1,0.0,2.8,40.9,0.2
Kelvin Benjamin,WR,KC,0.0,0.0,0.0,0.0,0.0,3.2,40.0,0.2
Allen Hurns,WR,DAL,0.0,0.0,0.0,0.0,0.0,3.4,42.6,0.2
Dede Westbrook,WR,JAX,0.0,0.0,0.0,0.0,0.0,3.6,44.9,0.2
Calvin Ridley,WR,ATL,0.0,0.0,0.0,0.9,0.0,3.4,47.0,0.2
Courtland Sutton,WR,DEN,0.0,0.0,0.0,0.8,0.0,3.4,44.6,0.2
Antonio Callaway,WR,CLE,0.0,0.0,0.0,0.9,0.0,3.4,44.2,0.2
Josh Doctson,WR,WAS,0.0,0.0,0.0,-0.8,0.0,2.8,37.4,0.3
Jamison Crowder,WR,WAS,0.0,0.0,0.0,1.4,0.0,4.4,49.4,0.2
D.J. Moore,WR,CAR,0.0,0.0,0.0,1.1,0.0,3.3,39.0,0.3
Randall Cobb,WR,GB,0.0,0.0,0.0,1.5,0.0,4.4,39.8,0.3
Mike Wallace,WR,PHI,0.0,0.0,0.0,0.9,0.0,2.5,39.5,0.3
John Brown,WR,BAL,0.0,0.0,0.0,1.2,0.0,3.8,39.1,0.3
Bruce Ellington,WR,DET,0.0,0.0,0.0,2.0,0.0,3.4,40.0,0.1
Phillip Dorsett,WR,NE,0.0,0.0,0.0,0.5,0.0,2.9,38.4,0.2
Laquon Treadwell,WR,MIN,0.0,0.0,0.0,0.0,0.0,2.7,32.1,0.2
Rishard Matthews,WR,NYJ,0.0,0.0,0.0,-0.1,0.0,2.3,30.5,0.2
Chad Williams,WR,ARI,0.0,0.0,0.0,4.8,0.0,2.7,36.0,0.2
Donte Moncrief,WR,JAX,0.0,0.0,0.0,-0.0,0.0,2.6,35.7,0.2
D.J. Chark,WR,JAX,0.0,0.0,0.0,1.1,0.0,2.5,35.0,0.2
Albert Wilson,WR,MIA,0.0,0.0,0.0,0.8,0.0,3.4,37.4,0.2
Taywan Taylor,WR,TEN,0.0,0.0,0.0,2.3,0.0,2.5,31.9,0.2
Ryan Grant,WR,IND,0.0,0.0,0.0,0.0,0.0,2.8,33.7,0.2
John Ross,WR,CIN,0.0,0.0,0.0,2.3,0.0,2.4,34.8,0.2
Adam Humphries,WR,TB,0.0,0.0,0.0,0.6,0.0,3.5,37.3,0.2
Austin Carr,WR,NO,0.0,0.0,0.0,1.1,0.0,2.7,36.8,0.2
Geronimo Allison,WR,GB,0.0,0.0,0.0,0.0,0.0,3.3,35.7,0.2
Travis Benjamin,WR,LAC,0.0,0.0,0.0,5.3,0.0,2.2,39.8,0.2
J.J. Nelson,WR,ARI,0.0,0.0,0.0,3.6,0.0,1.9,32.6,0.2
Taylor Gabriel,WR,CHI,0.0,0.0,0.0,2.4,0.0,2.5,32.2,0.1
Danny Amendola,WR,MIA,0.0,0.0,0.0,0.3,0.0,3.2,32.5,0.1
Chris Godwin,WR,TB,0.0,0.0,0.0,0.0,0.0,2.3,34.7,0.1
Keke Coutee,WR,HOU,0.0,0.0,0.0,1.2,0.0,2.0,30.8,0.1
