Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
New York Jets,DST,NYJ,9.7,0.9,0.6,2.1, ,0.2
Kansas City Chiefs,DST,KC,8.3,0.9,0.5,2.7, ,0.2
Philadelphia Eagles,DST,PHI,7.8,0.6,0.5,3.1, ,0.2
Los Angeles Chargers,DST,LAC,7.4,0.9,0.3,2.6, ,0.1
Washington Redskins,DST,WAS,7.4,1.3,0.6,2.8, ,0.2
Chicago Bears,DST,CHI,7.2,0.8,0.5,3.0, ,0.2
Los Angeles Rams,DST,LAR,7.1,0.7,0.6,3.2, ,0.2
San Francisco 49ers,DST,SF,6.1,0.6,0.4,2.9, ,0.2
New England Patriots,DST,NE,6.1,0.8,0.4,2.2, ,0.2
Buffalo Bills,DST,BUF,6.0,0.8,0.6,1.9, ,0.2
Atlanta Falcons,DST,ATL,5.9,0.8,0.5,2.9, ,0.2
Indianapolis Colts,DST,IND,5.8,1.0,0.5,2.3, ,0.2
New York Giants,DST,NYG,5.8,0.9,0.5,1.8, ,0.2
Dallas Cowboys,DST,DAL,5.6,0.5,0.6,3.2, ,0.2
New Orleans Saints,DST,NO,5.5,0.8,0.5,1.8, ,0.2
Tennessee Titans,DST,TEN,5.3,0.8,0.5,1.9, ,0.2
Carolina Panthers,DST,CAR,5.2,1.1,0.6,2.1, ,0.2
Detroit Lions,DST,DET,5.0,0.7,0.5,2.3, ,0.2
Jacksonville Jaguars,DST,JAX,4.8,0.9,0.5,1.7, ,0.2
Green Bay Packers,DST,GB,4.7,0.5,0.3,2.1, ,0.0
Cleveland Browns,DST,CLE,4.7,0.6,0.6,2.9, ,0.2
Pittsburgh Steelers,DST,PIT,4.5,0.5,0.5,2.3, ,0.2
Seattle Seahawks,DST,SEA,4.1,0.8,0.5,2.1, ,0.2
Arizona Cardinals,DST,ARI,3.8,0.7,0.6,1.8, ,0.2
Tampa Bay Buccaneers,DST,TB,3.6,0.3,0.5,2.0, ,0.1
Miami Dolphins,DST,MIA,3.4,0.8,0.5,2.3, ,0.2
Cincinnati Bengals,DST,CIN,2.8,0.7,0.4,1.5, ,0.2
Oakland Raiders,DST,OAK,1.3,0.4,0.3,0.9, ,0.0
Denver Broncos,DST,DEN,,,,, ,
Minnesota Vikings,DST,MIN,,,,, ,
Baltimore Ravens,DST,BAL,,,,, ,
Houston Texans,DST,HOU,,,,, ,
