Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,277.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,6.0,2.0,1.0,3.0,0.0,0.0,41.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,509.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Buffalo Bills,BUF,1.0,3.0,2.0,0.0,0.0,0.0,0.0,92.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,199.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,2.0,2.0,0.0,0.0,75.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,382.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,286.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,5.0,0.0,0.0,1.0,0.0,0.0,97.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,4.0,0.0,1.0,1.0,0.0,0.0,56.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,2.0,0.0,1.0,0.0,0.0,22.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,260.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,415.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,1.0,1.0,0.0,1.0,97.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,377.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,0.0,0.0,1.0,0.0,0.0,104.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,410.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,47.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,427.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,2.0,0.0,0.0,0.0,0.0,111.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,109.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,0.0,1.0,0.0,0.0,157.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,451.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,6.0,1.0,1.0,0.0,0.0,0.0,53.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,107.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,457.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,2.0,0.0,0.0,104.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,104.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,4.0,0.0,1.0,1.0,0.0,0.0,53.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,414.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,2.0,2.0,3.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
New Orleans Saints,NO,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,456.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,5.0,1.0,1.0,2.0,1.0,0.0,20.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,120.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
