Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
New York Jets,DST,NYJ,15.5,256.0,1.3,0.7,3.3,0.0,0.0,0.2
Kansas City Chiefs,DST,KC,16.5,314.0,1.2,0.7,3.3,0.0,0.0,0.2
Green Bay Packers,DST,GB,19.0,313.0,1.0,0.8,3.3,0.0,0.0,0.2
Chicago Bears,DST,CHI,19.0,347.0,1.0,0.6,2.9,0.0,0.1,0.30000000000000004
Los Angeles Chargers,DST,LAC,20.3,336.0,1.0,0.6,3.1,0.0,0.0,0.2
Philadelphia Eagles,DST,PHI,19.0,332.0,1.0,0.6,2.7,0.1,0.1,0.30000000000000004
New England Patriots,DST,NE,20.0,332.0,0.9,0.6,3.0,0.1,0.1,0.2
Jacksonville Jaguars,DST,JAX,23.5,389.0,0.9,0.5,2.3,0.1,0.0,0.30000000000000004
Buffalo Bills,DST,BUF,22.5,333.0,1.0,0.6,3.0,0.0,0.0,0.1
New Orleans Saints,DST,NO,23.8,410.0,0.8,0.5,2.7,0.0,0.0,0.2
Atlanta Falcons,DST,ATL,22.3,378.0,0.9,0.6,2.7,0.0,0.0,0.1
Tampa Bay Buccaneers,DST,TB,23.8,334.0,0.7,0.6,2.7,0.0,0.1,0.2
Pittsburgh Steelers,DST,PIT,23.8,387.0,0.8,0.5,2.4,0.1,0.1,0.2
Indianapolis Colts,DST,IND,24.5,352.0,1.1,0.6,3.1,0.0,0.0,0.1
Los Angeles Rams,DST,LAR,20.8,367.0,0.9,0.5,2.6,0.1,0.0,0.30000000000000004
New York Giants,DST,NYG,24.0,341.0,0.8,0.4,2.0,0.0,0.1,0.2
San Francisco 49ers,DST,SF,21.0,355.0,1.0,0.6,3.0,0.0,0.0,0.1
Detroit Lions,DST,DET,26.0,412.0,0.8,0.6,2.3,0.0,0.1,0.1
Tennessee Titans,DST,TEN,26.5,396.0,0.7,0.5,2.1,0.0,0.1,0.2
Washington Redskins,DST,WAS,27.3,370.0,0.8,0.6,2.7,0.0,0.0,0.1
Dallas Cowboys,DST,DAL,26.5,388.0,0.8,0.5,2.4,0.0,0.0,0.1
Seattle Seahawks,DST,SEA,30.3,443.0,0.7,0.5,2.1,0.1,0.1,0.1
Cincinnati Bengals,DST,CIN,29.8,457.0,0.8,0.5,2.2,0.0,0.1,0.1
Cleveland Browns,DST,CLE,27.8,440.0,0.6,0.4,2.0,0.0,0.0,0.2
Carolina Panthers,DST,CAR,27.3,422.0,0.8,0.5,2.5,0.0,0.1,0.1
Arizona Cardinals,DST,ARI,33.0,509.0,0.5,0.3,1.7,0.0,0.0,0.1
Miami Dolphins,DST,MIA,29.5,397.0,0.8,0.4,1.8,0.0,0.0,0.1
Oakland Raiders,DST,OAK,30.3,451.0,0.6,0.5,2.0,0.1,0.0,0.1
Houston Texans,DST,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baltimore Ravens,DST,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Vikings,DST,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver Broncos,DST,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
