Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,0.0,0.0,0.0,0.0,0.0,6.7,88.7,0.6
Chris Herndon,TE,NYJ,0.0,0.0,0.0,0.0,0.0,3.5,45.5,0.9
Jimmy Graham,TE,GB,0.0,0.0,0.0,0.0,0.0,5.8,67.7,0.5
George Kittle,TE,SF,0.0,0.0,0.0,0.0,0.0,5.0,76.3,0.3
Zach Ertz,TE,PHI,0.0,0.0,0.0,0.0,0.0,5.9,60.5,0.3
O.J. Howard,TE,TB,0.0,0.0,0.0,0.0,0.0,3.2,51.4,0.4
Greg Olsen,TE,CAR,0.0,0.0,0.0,0.0,0.0,3.8,48.3,0.4
Trey Burton,TE,CHI,0.0,0.0,0.0,0.2,0.0,3.7,47.0,0.4
Jordan Reed,TE,WAS,0.0,0.0,0.0,0.0,0.0,5.4,58.4,0.3
Jared Cook,TE,OAK,0.0,0.0,0.0,0.0,0.0,4.2,51.2,0.2
Vance McDonald,TE,PIT,0.0,0.0,0.0,0.0,0.0,4.2,55.5,0.2
Benjamin Watson,TE,NO,0.0,0.0,0.0,0.0,0.0,4.1,46.5,0.3
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,0.0,4.0,46.6,0.3
David Njoku,TE,CLE,0.0,0.0,0.0,0.0,0.0,4.4,44.3,0.3
Evan Engram,TE,NYG,0.0,0.0,0.0,1.8,0.0,3.2,35.3,0.4
Eric Ebron,TE,IND,0.0,0.0,0.0,-0.1,0.0,3.3,36.0,0.4
Vernon Davis,TE,WAS,0.0,0.0,0.0,0.0,0.0,2.9,46.1,0.2
C.J. Uzomah,TE,CIN,0.0,0.0,0.0,0.0,0.0,3.1,37.0,0.3
Jack Doyle,TE,IND,0.0,0.0,0.0,0.0,0.0,4.2,39.0,0.3
Ricky Seals-Jones,TE,ARI,0.0,0.0,0.0,0.0,0.0,2.5,34.5,0.2
Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,2.3,22.9,0.3
Geoff Swaim,TE,DAL,0.0,0.0,0.0,0.0,0.0,3.5,34.7,0.1
Cameron Brate,TE,TB,0.0,0.0,0.0,0.0,0.0,2.1,22.0,0.3
Ed Dickson,TE,SEA,0.0,0.0,0.0,0.0,0.0,1.9,26.2,0.2
Antonio Gates,TE,LAC,0.0,0.0,0.0,0.0,0.0,2.1,25.0,0.2
Michael Roberts,TE,DET,0.0,0.0,0.0,0.0,0.0,1.3,14.2,0.3
James O'Shaughnessy,TE,JAX,0.0,0.0,0.0,0.0,0.0,2.2,23.9,0.1
