Player,POS,Team,Receptions,Rec Yds,Rec TD
Travis Kelce,TE,KC,7,80,1
Zach Ertz,TE,PHI,7,75,1
George Kittle,TE,SF,6,70,1
Jared Cook,TE,OAK,5,60,1
Jack Doyle,TE,IND,4,55,1
David Njoku,TE,CLE,5,55,1
Greg Olsen,TE,CAR,5,55,1
O.J. Howard,TE,TB,5,50,1
Eric Ebron,TE,IND,4,45,1
Benjamin Watson,TE,NO,4,45,1
Trey Burton,TE,CHI,4,40,1
C.J. Uzomah,TE,CIN,4,40,1
Vernon Davis,TE,WAS,4,45,0
Jimmy Graham,TE,GB,4,45,0
Vance McDonald,TE,PIT,4,40,0
Jordan Reed,TE,WAS,4,40,0
Ed Dickson,TE,SEA,3,35,0
Ricky Seals-Jones,TE,ARI,3,35,0
Logan Thomas,TE,BUF,3,35,0
Evan Engram,TE,NYG,3,30,0
Chris Herndon,TE,NYJ,3,30,0
Austin Hooper,TE,ATL,3,30,0
Dallas Goedert,TE,PHI,2,25,0
James O'Shaughnessy,TE,JAX,2,25,0
Jonnu Smith,TE,TEN,2,25,0
Jesse James,TE,PIT,2,20,0
Blake Jarwin,TE,DAL,2,20,0
Nick Vannett,TE,SEA,2,20,0
Gerald Everett,TE,LAR,1,15,0
Antonio Gates,TE,LAC,2,15,0
Mike Gesicki,TE,MIA,1,15,0
Dwayne Allen,TE,NE,1,10,0
Cameron Brate,TE,TB,1,10,0
Demetrius Harris,TE,KC,1,10,0
Lance Kendricks,TE,GB,1,10,0
Geoff Swaim,TE,DAL,1,10,0
Tyler Higbee,TE,LAR,1,5,0
