Player,Team,Rush Yds,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush TD,2PT
Adam Humphries,TB,0.0,4.082892315099395,48.3503276059153,0.28213970149883943,0.0,0.0,0.0,0.0,0.0
Alex Erickson,CIN,0.0,2.616482780094965,33.1228931110414,0.2711642995344455,0.0,0.0,0.0,0.0,0.0
Allen Hurns,DAL,0.0,1.5482416981015035,18.6887422564044,0.1412315046430095,0.0,0.0,0.0,0.0,0.0
Allen Robinson,CHI,0.0,3.8389173124697322,50.351098854757026,0.45594674678596847,0.0,0.0,0.0,0.0,0.0
Alshon Jeffery,PHI,0.0,4.421496335390105,59.748270008540175,0.4759677221368518,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,0.7,4.276801394103749,57.193612277236014,0.3193475708926227,0.0,0.0,0.0,0.0,0.0
Andre Holmes,DEN,0.0,4.979973481753818,5.818231968250679,0.1,0.0,0.0,0.0,0.0,0.0
Andre Roberts,NYJ,0.0,0.2,11.81898168071443,0.09036369507485056,0.0,0.0,0.0,0.0,0.0
Anthony Miller,CHI,0.0,3.0072303272306375,39.36103712164297,0.3987322121005146,0.0,0.0,0.0,0.0,0.0
Antonio Brown,PIT,0.0,6.52421372643075,84.798621809646,0.7733608371981219,0.0,0.0,0.0,0.0,0.0
Antonio Callaway,CLE,0.0,3.0552234323055734,38.62286225398795,0.28867084946196025,0.0,0.0,0.0,0.0,0.0
Auden Tate,CIN,0.0,0.35,9.23927835622776,0.12711374052806798,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,1.3512531168560438,16.583535426366527,0.17600063235507257,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,NYG,0.0,1.4963291554397071,16.34701558343271,0.07952331756050524,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,LAR,2.4,4.213232246002401,68.2112230719296,0.43653772574243194,0.0,0.0,0.0,0.0,0.0
Brandon LaFell,OAK,0.0,3.0687702871422786,33.32355838238155,0.2,0.0,0.0,0.0,0.0,0.0
Brandon Powell,DET,0.0,0.2,6.419774342335991,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,CLE,0.0,1.0992861320508611,15.758541568921984,0.1,0.0,0.0,0.0,0.0,0.0
Brian Quick,FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,ATL,0.4,4.064456765492041,55.741983666408274,0.4141245106042989,0.0,0.0,0.0,0.0,0.0
Cameron Batson,TEN,0.0,2.390683135195599,27.691216984286118,0.20417348997194734,0.0,0.0,0.0,0.0,0.0
Charone Peake,NYJ,0.0,0.17,7.204811080041601,0.08057376038883185,0.0,0.0,0.0,0.0,0.0
Chester Rogers,IND,0.0,2.7383287261048963,30.094426423774756,0.19167178274964755,0.0,0.0,0.0,0.0,0.0
Chris Conley,KC,0.0,2.7347295483818677,36.667638988028024,0.27991757449820287,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,0.0,3.2953133145804183,41.621125823463295,0.3922010641373938,0.0,0.0,0.0,0.0,0.0
Chris Hogan,NE,0.0,2.422386848698738,31.933788598095823,0.1565159275698877,0.0,0.0,0.0,0.0,0.0
