Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,17.431942117763228,311.67995560266235,0.1611993097507766,2.8426015438404635,0.902827937049151,0.616933555107692,0.0,0.0
Atlanta Falcons,ATL,23.30585089042371,383.00605065811226,0.1,2.9,0.6576502469036765,0.5024770436548356,0.0,0.0
Baltimore Ravens,BAL,18.9,326.75270074820435,0.220131873486716,2.8097448613928164,0.9350651282495879,0.5046949742308757,0.0,0.0
Buffalo Bills,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carolina Panthers,CAR,23.85044403809536,367.51487300318536,0.1,3.140070388551527,0.8280108796433816,0.6,0.0,0.09
Chicago Bears,CHI,21.511621045624672,358.5636468251824,0.30000000000000004,2.8228728016006497,0.9,0.5729486244783007,0.0,0.06
Cincinnati Bengals,CIN,24.9,347.4845822865184,0.10224814739426116,2.6690953217850297,0.8488611884632786,0.609421740542655,0.0,0.09
Cleveland Browns,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Cowboys,DAL,27.039798755198042,388.23880253099696,0.10517262725496343,2.4377498207853545,0.5577075856316764,0.5555700677992761,0.0,0.0
Denver Broncos,DEN,27.962201461313484,398.7019200237729,0.15912144538804643,2.249100435506435,0.7902441863342868,0.5992766311652674,0.0,0.09
Detroit Lions,DET,26.72681237834355,402.10150748207644,0.18041237603086477,2.4,0.6248906527064912,0.5,0.0,0.1
Green Bay Packers,GB,25.997712212707064,387.3501353338826,0.13156002475295106,2.8071460577912473,0.8351632694497328,0.4074846103590926,0.0,0.0
Houston Texans,HOU,19.3,315.3,0.15524913958657985,2.6,0.6721697906720114,0.5661890445709026,0.0,0.0
Indianapolis Colts,IND,24.226546006076777,350.2390802778652,0.1,2.8319161675779436,0.8843030304582551,0.5180600611354788,0.0,0.0
Jacksonville Jaguars,JAX,25.9,394.97315417615056,0.19209994009330786,2.099378835532742,0.8850870293509043,0.5693178705897342,0.03,0.0
Kansas City Chiefs,KC,34.6,459.9565016542847,0.18338746111296314,2.364683183446124,0.751379310067481,0.7,0.0,0.0
Los Angeles Chargers,LAC,19.91965617930211,367.53613019484305,0.21864433094566685,2.9049270190913874,0.9686682919200673,0.4594033776997076,0.0,0.0
Los Angeles Rams,LAR,31.8,440.69317769496587,0.17743729094876645,2.245076787661335,0.771125836993477,0.64,0.0,0.0
Miami Dolphins,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Vikings,MIN,21.65713055691527,361.28396891772627,0.12434850924404858,2.6,0.8,0.48132854081652154,0.03,0.0
New England Patriots,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Orleans Saints,NO,25.2,387.0,0.18625615806208637,2.7822714604966667,0.7700045897111676,0.5,0.0,0.0
New York Giants,NYG,25.70554706355909,386.7799500535717,0.18812814649857426,2.187736528453546,1.1012100365236037,0.5476362310880523,0.0,0.08
New York Jets,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland Raiders,OAK,22.3,347.2468625545645,0.1435109703027406,2.5,1.037994228822137,0.36738074040617164,0.0,0.0
Philadelphia Eagles,PHI,33.4,436.30532674865424,0.12401984626018878,1.81,0.5527156078585809,0.48830998052680985,0.0,0.08
Pittsburgh Steelers,PIT,20.320029014455407,344.0693634955144,0.12147981229492535,2.8,0.9482167527779837,0.5,0.02,0.09
San Francisco 49ers,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle Seahawks,SEA,24.14587742551059,374.42895156652054,0.1,2.4071786930018617,0.6448475412756154,0.5,0.0,0.09
Tampa Bay Buccaneers,TB,28.398589715764178,385.1206937353073,0.18030598789788968,2.599710773932967,0.6647384971541459,0.4260374238419428,0.0,0.1
Tennessee Titans,TEN,26.068638031845165,375.63934940249226,0.09,2.2062220604025655,0.8116378911850737,0.5837266312665517,0.0,0.06
Washington Redskins,WAS,22.702020380285077,364.5457426277386,0.18774370060313553,3.288043374093261,0.9633448606350463,0.5899729122564841,0.0,0.0
