Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,19.77,324.2402906564633,0.11,2.24,0.75,0.6,0.0,0.0
Atlanta Falcons,ATL,23.0,380.253856979043,0.1,2.9,0.5,0.4,0.0,0.0
Baltimore Ravens,BAL,18.9,327.53106212088136,0.14,2.6990182922284376,0.8,0.4,0.0,0.0
Buffalo Bills,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carolina Panthers,CAR,24.3,356.53061516960804,0.1,2.67,0.7,0.6,0.0,0.09
Chicago Bears,CHI,19.90022723195721,357.3054165542083,0.16999999999999998,2.7971199594857934,1.03,0.5,0.0,0.06
Cincinnati Bengals,CIN,24.9,341.1923474046063,0.1,2.899849051603755,0.9067447392486712,0.4,0.0,0.09
Cleveland Browns,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Cowboys,DAL,23.30070669656279,383.2031308086308,0.1,2.4310835750035307,0.8,0.5,0.0,0.0
Denver Broncos,DEN,28.6,390.8497246713381,0.11,1.8230535013138613,0.8,0.4,0.0,0.09
Detroit Lions,DET,22.12,392.0,0.1,2.3017514136113277,0.9038503669359669,0.5,0.0,0.1
Green Bay Packers,GB,24.43,378.0995203990781,0.06532310466433289,3.1,0.4,0.3,0.0,0.0
Houston Texans,HOU,20.77270156768449,315.3,0.11,2.6,0.87,0.5,0.0,0.0
Indianapolis Colts,IND,23.75279790007,346.01506543316333,0.1,2.9433984585566813,1.1,0.5,0.0,0.0
Jacksonville Jaguars,JAX,23.612218076502387,387.4908501127576,0.12,1.9291220686346795,1.1,0.4,0.03,0.0
Kansas City Chiefs,KC,31.76769684379053,442.0,0.1,2.010619497573358,0.7,0.4,0.0,0.0
Los Angeles Chargers,LAC,21.5,370.2081213803837,0.14,2.29,0.9,0.4,0.0,0.0
Los Angeles Rams,LAR,31.8,429.0,0.1,2.1409116040246965,0.9,0.4,0.0,0.0
Miami Dolphins,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Vikings,MIN,21.5,354.27187836680196,0.10017084711384949,2.6,0.85,0.4,0.03,0.0
New England Patriots,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Orleans Saints,NO,25.05326458191184,387.0,0.13,2.711828406439296,0.9,0.5,0.0,0.0
New York Giants,NYG,23.524866233264817,385.96541447079153,0.12,2.167612780746171,1.6,0.5,0.0,0.08
New York Jets,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland Raiders,OAK,23.043413368497536,348.4975596649657,0.1,2.1990922119067813,1.4,0.3,0.0,0.0
Philadelphia Eagles,PHI,32.722929322493755,413.4,0.1,1.81,0.4,0.4,0.0,0.08
Pittsburgh Steelers,PIT,19.4,348.99454708040406,0.11,2.8,0.8,0.5,0.02,0.09
San Francisco 49ers,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle Seahawks,SEA,20.21,374.41042676241983,0.1,2.599507348647025,0.4,0.5,0.0,0.09
Tampa Bay Buccaneers,TB,28.5,383.0,0.13,2.5337531460961733,0.5,0.4,0.0,0.1
Tennessee Titans,TEN,24.719255122282764,369.2731471443652,0.0993518718052172,1.7,0.7,0.5,0.0,0.06
Washington Redskins,WAS,20.85,363.7622644500014,0.13,2.8,1.2,0.56,0.0,0.0
